,Codigo,Município,2021
276,292710,Rodelas,5
277,292720,Ruy Barbosa,434
278,292740,Salvador,1015
279,292750,Santa Bárbara,2
280,292760,Santa Brígida,10
281,292770,Santa Cruz Cabrália,11
282,292805,Santa Luzia,56
283,292810,Santa Maria da Vitória,737
284,292840,Santa Rita de Cássia,500
285,292850,Santa Teresinha,3
286,292800,Santaluz,8
287,292820,Santana,211
288,292830,Santanópolis,5
289,292860,Santo Amaro,2
290,292870,Santo Antônio de Jesus,20
291,292880,Santo Estêvão,42
292,292890,São Desidério,390
293,292910,São Felipe,1
294,292900,São Félix,1
295,292905,São Félix do Coribe,213
296,292920,São Francisco do Conde,8
297,292925,São Gabriel,16
298,292930,São Gonçalo dos Campos,7
299,292935,São José da Vitória,9
300,292937,São José do Jacuípe,1
301,292950,São Sebastião do Passé,13
302,292960,Sapeaçu,16
303,292975,Saubara,2
304,292980,Saúde,1
305,292990,Seabra,31
306,293000,Sebastião Laranjeiras,43
307,293010,Senhor do Bonfim,30
308,293020,Sento Sé,2
309,293015,Serra do Ramalho,177
310,293030,Serra Dourada,144
311,293050,Serrinha,7
312,293060,Serrolândia,12
313,293070,Simões Filho,57
314,293075,Sítio do Mato,34
315,293076,Sítio do Quinto,1
316,293077,Sobradinho,5
317,293080,Souto Soares,34
318,293090,Tabocas do Brejo Velho,1
319,293100,Tanhaçu,1
320,293110,Tanquinho,6
321,293120,Taperoá,10
322,293130,Tapiramutá,3
323,293135,Teixeira de Freitas,171
324,293140,Teodoro Sampaio,6
325,293150,Teofilândia,1
326,293160,Teolândia,10
327,293170,Terra Nova,11
328,293190,Tucano,5
329,293200,Uauá,1
330,293210,Ubaíra,32
331,293220,Ubaitaba,16
332,293230,Ubatã,3
333,293240,Uibaí,5
334,293245,Umburanas,185
335,293250,Una,413
336,293260,Urandi,24
337,293270,Uruçuca,12
338,293280,Utinga,3
339,293290,Valença,18
340,293300,Valente,13
341,293305,Várzea da Roça,1
342,293315,Várzea Nova,344
343,293320,Vera Cruz,23
344,293325,Vereda,10
345,293330,Vitória da Conquista,767
346,293340,Wagner,7
347,293345,Wanderley,1
348,293350,Wenceslau Guimarães,2
349,293360,Xique-Xique,97
