UF,Município,População 2010
BA,Malhada de Pedras,8468
BA,Manoel Vitorino,14387
BA,Mansidão,12592
BA,Maracás,24613
BA,Maragogipe,42815
BA,Maraú,19101
BA,Marcionílio Souza,10500
BA,Mascote,14640
BA,Mata de São João,40183
BA,Matina,11145
BA,Medeiros Neto,21560
BA,Miguel Calmon,26475
BA,Milagres,10306
BA,Mirangaba,16279
BA,Mirante,10507
BA,Monte Santo,52338
BA,Morpará,8280
BA,Morro do Chapéu,35164
BA,Mortugaba,12477
BA,Mucugê,10545
BA,Mucuri,36026
BA,Mulungu do Morro,12249
BA,Mundo Novo,24395
BA,Muniz Ferreira,7317
BA,Muquém de São Francisco,10272
BA,Muritiba,28899
BA,Mutuípe,21449
BA,Nazaré,27274
BA,Nilo Peçanha,12530
BA,Nordestina,12371
BA,Nova Canaã,16713
BA,Nova Fátima,7602
BA,Nova Ibiá,6648
BA,Nova Itarana,7435
BA,Nova Redenção,8034
BA,Nova Soure,24136
BA,Nova Viçosa,38556
BA,Novo Horizonte,10673
BA,Novo Triunfo,15051
BA,Olindina,24943
BA,Oliveira dos Brejinhos,21831
BA,Ouriçangas,8298
BA,Ourolândia,16425
BA,Palmas de Monte Alto,20775
BA,Palmeiras,8410
BA,Paramirim,21001
BA,Paratinga,29504
BA,Paripiranga,27778
BA,Pau Brasil,10852
BA,Paulo Afonso,108396
BA,Pé de Serra,13752
BA,Pedrão,6876
BA,Pedro Alexandre,16995
BA,Piatã,17982
BA,Pilão Arcado,32860
BA,Pindaí,15628
BA,Pindobaçu,20121
BA,Pintadas,10342
BA,Piraí do Norte,9799
BA,Piripá,12783
BA,Piritiba,22399
BA,Planaltino,8822
BA,Planalto,24481
BA,Poções,44701
BA,Pojuca,33066
BA,Ponto Novo,15742
BA,Porto Seguro,126929
BA,Potiraguá,9810
BA,Prado,27627
BA,Presidente Dutra,13750
BA,Presidente Jânio Quadros,13652
BA,Presidente Tancredo Neves,23846
BA,Queimadas,24602
BA,Quijingue,27228
BA,Quixabeira,9554
BA,Rafael Jambeiro,22874
BA,Remanso,38957
BA,Retirolândia,12055
BA,Riachão das Neves,21937
BA,Riachão do Jacuípe,33172
BA,Riacho de Santana,30646
BA,Ribeira do Amparo,14276
BA,Ribeira do Pombal,47518
BA,Ribeirão do Largo,8602
BA,Rio de Contas,13007
BA,Rio do Antônio,14815
BA,Rio do Pires,11918
BA,Rio Real,37164
BA,Rodelas,7775
BA,Ruy Barbosa,29887
BA,Salinas da Margarida,13456
BA,Salvador,2675656
BA,Santa Bárbara,19064
BA,Santa Brígida,15060
BA,Santa Cruz Cabrália,26264
BA,Santa Cruz da Vitória,6673
BA,Santa Inês,10363
BA,Santaluz,33838
BA,Santa Luzia,13344
BA,Santa Maria da Vitória,40309
BA,Santana,24750
BA,Santanópolis,8776
BA,Santa Rita de Cássia,26250
BA,Santa Teresinha,9648
BA,Santo Amaro,57800
BA,Santo Antônio de Jesus,90985
BA,Santo Estêvão,47880
BA,São Desidério,27659
BA,São Domingos,9226
BA,São Félix,14098
BA,São Félix do Coribe,13048
BA,São Felipe,20305
BA,São Francisco do Conde,33183
BA,São Gabriel,18427
BA,São Gonçalo dos Campos,33283
BA,São José da Vitória,5715
BA,São José do Jacuípe,10180
BA,São Miguel das Matas,10414
BA,São Sebastião do Passé,42153
BA,Sapeaçu,16585
BA,Sátiro Dias,18964
BA,Saubara,11201
BA,Saúde,11845
BA,Seabra,41798
BA,Sebastião Laranjeiras,10371
BA,Senhor do Bonfim,74419
BA,Serra do Ramalho,31638
BA,Sento Sé,37425
BA,Serra Dourada,18112
BA,Serra Preta,15401
BA,Serrinha,76762
BA,Serrolândia,12344
BA,Simões Filho,118047
BA,Sítio do Mato,12050
BA,Sítio do Quinto,12592
BA,Sobradinho,22000
BA,Souto Soares,15899
BA,Tabocas do Brejo Velho,11431
BA,Tanhaçu,20013
BA,Tanque Novo,16128
BA,Tanquinho,8008
BA,Taperoá,18748
BA,Tapiramutá,16516
BA,Teixeira de Freitas,138341
BA,Teodoro Sampaio,7895
BA,Teofilândia,21482
BA,Teolândia,14836
BA,Terra Nova,12803
BA,Tremedal,17029
BA,Tucano,52418
BA,Uauá,24294
BA,Ubaíra,19750
BA,Ubaitaba,20691
BA,Ubatã,25004
BA,Uibaí,13625
BA,Umburanas,17000
BA,Una,24110
BA,Urandi,16466
BA,Uruçuca,19837
BA,Utinga,18173
BA,Valença,88673
BA,Valente,24560
BA,Várzea da Roça,13786
BA,Várzea do Poço,8661
BA,Várzea Nova,13073
BA,Varzedo,9109
BA,Vera Cruz,37567
BA,Vereda,6800
BA,Vitória da Conquista,306866
BA,Wagner,8983
BA,Wanderley,12485
BA,Wenceslau Guimarães,22189
BA,Xique-Xique,45536
