,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Adustina,0,0,0,0,0,1,1,0,0,0
1,Água Fria,0,0,1,0,0,0,0,0,0,0
2,Aiquara,0,0,0,0,0,0,0,1,0,0
3,Alagoinhas,1,1,0,4,4,19,20,10,4,0
4,América Dourada,0,0,1,3,3,11,7,2,4,0
5,Anagé,0,0,0,0,0,0,0,1,0,0
6,Angical,0,0,1,0,0,0,0,0,0,0
7,Antônio Cardoso,0,0,0,0,0,1,0,1,1,0
8,Apuarema,0,0,0,0,0,1,0,0,0,0
9,Araci,0,2,2,1,1,7,7,0,0,0
10,Baianópolis,2,0,1,0,1,3,8,3,0,0
11,Barra,1,2,1,3,3,9,5,4,5,0
12,Barra do Choça,0,0,0,0,0,1,0,0,0,0
13,Barra do Mendes,0,0,0,0,1,1,0,1,0,0
14,Barreiras,58,90,209,261,234,0,0,683,263,79
15,Barrocas,0,0,0,0,0,0,0,1,0,0
16,Boa Vista do Tupim,0,0,0,0,0,0,0,1,0,0
17,Bom Jesus da Lapa,0,2,1,1,0,5,9,3,1,1
18,Bom Jesus da Serra,0,0,0,1,0,0,0,0,0,0
19,Boquira,0,0,1,0,0,0,4,0,1,0
20,Botuporã,0,0,0,0,1,0,0,0,1,0
21,Brejões,0,0,0,0,0,0,1,0,0,0
22,Brotas de Macaúbas,4,10,10,20,17,62,65,48,41,10
23,Brumado,0,0,0,0,1,0,2,0,1,0
24,Buritirama,0,0,0,1,0,3,1,0,0,0
25,Caculé,0,0,0,1,0,0,0,0,0,0
26,Caém,0,0,1,0,0,0,0,0,0,0
27,Caetanos,0,0,0,0,0,0,2,0,0,0
28,Caetité,0,0,0,0,0,0,0,1,0,0
29,Cafarnaum,1,2,2,2,3,11,13,2,2,2
30,Camacan,0,0,0,0,0,1,1,0,0,0
31,Camaçari,1,2,6,0,12,33,26,18,2,0
32,Camamu,0,0,0,0,0,0,1,0,0,0
33,Campo Alegre de Lourdes,1,0,1,0,0,5,2,3,1,0
34,Canápolis,0,0,0,0,1,1,0,0,0,0
35,Canarana,0,0,4,1,2,4,8,4,3,3
36,Candeias,0,0,0,0,1,3,9,1,2,0
37,Candiba,0,0,0,0,0,0,1,1,0,0
38,Cândido Sales,0,3,1,1,2,2,1,3,0,0
39,Cansanção,0,1,0,0,0,0,0,2,0,0
40,Capela do Alto Alegre,0,0,0,0,0,0,0,1,0,0
41,Caraíbas,0,0,0,0,0,1,0,0,0,0
42,Carinhanha,0,0,0,0,4,4,5,1,0,0
43,Catolândia,0,1,0,0,1,7,6,2,7,0
44,Catu,0,0,2,1,4,11,12,8,2,0
45,Caturama,0,2,0,1,3,5,13,1,0,0
46,Central,3,8,13,20,18,53,66,55,28,9
47,Cipó,0,0,0,0,0,1,1,0,0,0
48,Coaraci,0,0,1,1,0,5,14,8,2,1
49,Cocos,0,0,0,1,0,0,0,0,0,0
50,Conceição do Almeida,0,0,0,0,0,0,1,0,0,0
51,Conceição do Coité,0,1,1,0,0,0,0,0,0,1
52,Conceição do Jacuípe,0,0,0,0,0,4,0,0,0,0
53,Conde,0,0,0,0,1,0,0,3,1,0
54,Condeúba,0,1,0,0,0,0,0,0,0,0
55,Cordeiros,0,0,0,0,0,0,0,0,2,0
56,Coribe,0,0,1,0,1,1,3,1,2,0
57,Coronel João Sá,0,0,0,0,0,2,7,5,1,0
58,Correntina,0,1,0,0,0,0,1,1,0,0
59,Cotegipe,13,13,17,17,27,90,101,72,35,16
60,Cristópolis,2,1,10,6,3,23,39,17,4,2
61,Cruz das Almas,1,0,0,0,0,1,1,0,1,0
62,Dário Meira,5,9,13,16,18,60,88,60,32,12
63,Dias d'Ávila,0,1,0,0,0,3,4,3,0,0
64,Esplanada,0,1,0,0,0,3,4,1,0,0
65,Euclides da Cunha,0,0,0,0,0,0,0,1,0,0
66,Feira da Mata,0,0,0,0,0,1,1,0,0,0
67,Feira de Santana,9,4,3,5,12,81,71,61,14,4
68,Formosa do Rio Preto,0,3,1,0,0,4,3,2,3,1
69,Gandu,0,0,2,0,0,2,1,1,1,0
70,Gentio do Ouro,1,2,1,5,4,23,14,14,8,6
71,Glória,0,0,0,0,0,1,2,0,0,0
72,Guanambi,21,11,34,49,52,299,268,218,86,26
73,Iaçu,0,0,0,1,1,3,3,3,0,0
74,Ibicaraí,0,0,0,1,0,2,0,0,0,0
75,Ibicoara,0,0,0,0,0,2,0,1,0,0
76,Ibicuí,0,0,0,0,1,0,0,0,0,0
77,Ibipitanga,0,0,1,3,3,11,17,11,3,1
78,Ibirapitanga,0,0,0,0,0,1,0,0,0,0
79,Ibirataia,0,0,0,0,0,1,0,0,0,0
80,Ibitiara,1,1,6,3,2,2,9,6,3,2
81,Ibititá,0,0,0,0,1,5,2,6,2,1
82,Ibotirama,10,16,27,39,22,104,125,92,44,8
83,Ichu,0,0,0,0,0,0,0,1,0,0
84,Igaporã,0,0,0,0,0,2,0,0,1,0
85,Iguaí,0,0,0,1,0,1,1,3,0,0
86,Ilhéus,0,0,1,0,0,2,1,0,1,0
87,Inhambupe,0,0,1,4,0,2,2,1,0,0
88,Ipiaú,0,0,1,0,0,1,2,1,1,0
89,Ipupiara,0,0,2,3,2,14,23,12,6,2
90,Iraquara,0,0,0,0,0,0,1,0,0,0
91,Irará,0,0,0,0,0,0,1,0,0,0
92,Irecê,7,4,14,12,19,52,90,56,13,3
93,Itabuna,4,1,1,1,7,16,13,14,6,0
94,Itagibá,0,0,0,0,0,0,1,2,0,0
95,Itaguaçu da Bahia,3,1,1,1,1,6,5,4,4,0
96,Itajuípe,0,1,0,0,1,6,6,6,1,0
97,Itamaraju,19,2,7,10,28,109,113,66,40,7
98,Itambé,0,0,0,0,0,1,1,1,0,0
99,Itaparica,0,0,0,0,1,3,3,0,0,0
100,Itapetinga,1,5,8,5,5,39,74,45,21,3
101,Itapicuru,0,0,0,0,1,1,0,0,0,0
102,Itapitanga,0,0,0,1,0,0,0,0,0,0
103,Itarantim,0,0,0,1,1,0,0,0,0,0
104,Itatim,0,0,0,0,0,0,2,1,0,0
105,Itiruçu,0,4,3,1,4,7,12,9,4,5
106,Itororó,0,0,0,0,0,1,1,3,1,0
107,Iuiú,0,0,0,0,0,0,0,1,0,0
108,Jaborandi,0,0,0,0,0,1,1,2,0,0
109,Jacaraci,0,0,0,0,0,0,2,1,0,0
110,Jacobina,3,4,5,7,6,29,25,25,12,2
111,Jaguaquara,1,0,3,1,1,3,5,4,2,0
112,Jandaíra,0,0,0,0,0,1,0,1,1,0
113,Jequié,6,4,8,12,6,52,67,54,44,3
114,João Dourado,6,5,10,14,8,32,35,13,15,1
115,Juazeiro,0,0,0,0,0,8,3,3,0,0
116,Jussara,1,1,2,0,1,7,5,6,4,0
117,Lajedão,0,0,0,0,0,0,0,1,0,0
