,Município,Em Branco,Ignorado,Masculino,Feminino
199,Matina,0,0,1,8
200,Medeiros Neto,0,0,1,0
201,Miguel Calmon,0,0,12,53
202,Milagres,0,0,5,4
203,Mirangaba,0,0,5,23
204,Monte Santo,0,0,301,397
205,Morro do Chapéu,0,0,10,14
206,Mucugê,0,0,106,128
207,Mucuri,0,0,24,51
208,Mundo Novo,0,0,47,138
209,Muniz Ferreira,0,0,0,6
210,Muritiba,0,0,1,11
211,Mutuípe,0,0,6,6
212,Nazaré,0,0,0,4
213,Nilo Peçanha,0,0,10,17
214,Nordestina,0,2,58,81
215,Nova Canaã,0,0,64,76
216,Nova Fátima,0,0,14,24
217,Nova Ibiá,0,0,0,1
218,Nova Itarana,0,0,4,16
219,Nova Redenção,0,0,22,24
220,Nova Soure,0,0,10,7
221,Nova Viçosa,0,0,30,95
222,Novo Horizonte,0,0,4,29
223,Novo Triunfo,0,0,20,44
224,Olindina,0,0,2,10
225,Oliveira dos Brejinhos,0,0,6,13
226,Ourolândia,0,0,24,40
227,Palmas de Monte Alto,0,0,4,0
228,Palmeiras,0,0,0,2
229,Paratinga,0,0,10,13
230,Paripiranga,0,0,34,145
231,Pau Brasil,0,1,188,184
232,Paulo Afonso,0,0,407,725
233,Pé de Serra,0,0,1,7
234,Pilão Arcado,0,0,3,3
235,Pindaí,0,0,0,4
236,Pindobaçu,0,0,77,165
237,Pintadas,0,0,4,15
238,Piripá,0,0,6,11
239,Piritiba,0,0,103,146
240,Planaltino,0,0,0,2
241,Planalto,0,0,0,7
242,Poções,0,0,0,16
243,Pojuca,0,0,4,6
244,Ponto Novo,0,0,100,147
245,Porto Seguro,0,4,177,332
246,Potiraguá,0,0,0,1
247,Prado,0,0,0,13
248,Presidente Dutra,0,0,2,21
249,Presidente Tancredo Neves,0,0,4,8
250,Queimadas,0,0,16,65
251,Quijingue,0,0,290,528
252,Quixabeira,0,0,1,8
253,Rafael Jambeiro,0,0,3,7
254,Remanso,0,0,19,51
255,Retirolândia,0,0,100,196
256,Riachão do Jacuípe,0,0,65,125
257,Riacho de Santana,0,0,1,5
258,Ribeira do Amparo,0,0,211,234
259,Ribeira do Pombal,0,0,228,408
260,Rio do Antônio,0,0,0,2
261,Rio do Pires,0,0,1,0
262,Rio Real,0,1,90,128
263,Rodelas,0,0,8,34
264,Ruy Barbosa,0,0,305,444
265,Salinas da Margarida,0,0,0,2
266,Salvador,0,3,444,798
267,Santa Bárbara,0,0,1,2
268,Santa Brígida,0,0,282,600
269,Santa Cruz Cabrália,0,0,9,34
270,Santa Cruz da Vitória,0,0,21,43
271,Santa Inês,0,0,107,146
272,Santa Luzia,0,0,89,124
273,Santa Teresinha,0,0,0,10
274,Santaluz,0,0,885,1473
275,Santo Amaro,0,0,7,30
276,Santo Antônio de Jesus,0,0,178,350
277,Santo Estêvão,0,0,0,2
278,São Desidério,0,0,2,3
279,São Domingos,0,0,19,36
280,São Felipe,0,0,4,10
281,São Francisco do Conde,0,1,382,671
282,São Gabriel,0,0,4,2
283,São Gonçalo dos Campos,0,0,5,14
284,São José da Vitória,0,0,58,79
285,São José do Jacuípe,0,0,7,7
286,São Miguel das Matas,0,0,0,10
287,São Sebastião do Passé,0,0,4,7
288,Sapeaçu,0,0,0,2
289,Sátiro Dias,0,0,0,8
290,Saúde,0,0,1,7
291,Seabra,0,0,1,5
292,Sebastião Laranjeiras,0,0,0,4
293,Senhor do Bonfim,0,2,712,1243
294,Sento Sé,0,0,35,58
295,Serra do Ramalho,0,0,1,4
296,Serrinha,0,3,99,228
297,Serrolândia,0,0,119,194
298,Simões Filho,0,0,159,293
299,Sítio do Quinto,0,0,80,194
300,Sobradinho,0,0,22,72
301,Souto Soares,0,0,1,0
302,Tanque Novo,0,0,4,12
303,Tanquinho,0,0,2,3
304,Taperoá,0,0,0,1
305,Tapiramutá,0,0,66,125
306,Teixeira de Freitas,0,0,92,234
307,Teofilândia,0,0,3,10
308,Teolândia,0,0,4,4
309,Terra Nova,0,0,0,2
310,Tremedal,0,0,2,11
311,Tucano,0,0,84,152
312,Uauá,0,0,127,233
313,Ubaíra,0,0,4,5
314,Ubaitaba,0,0,14,30
315,Ubatã,0,0,20,51
316,Uibaí,0,0,2,16
317,Umburanas,0,0,4,6
318,Una,0,0,68,150
319,Uruçuca,0,0,38,30
320,Utinga,0,0,0,13
321,Valença,0,0,774,1485
322,Valente,0,0,50,84
323,Várzea da Roça,0,0,4,7
324,Várzea do Poço,0,0,17,17
325,Várzea Nova,0,0,0,1
326,Varzedo,0,0,7,9
327,Vera Cruz,0,0,14,29
328,Vitória da Conquista,0,0,30,52
329,Wagner,0,0,6,5
330,Wanderley,0,0,0,2
331,Wenceslau Guimarães,0,0,0,6
332,Xique-Xique,0,0,0,2
