,Município,Em Branco,Ignorado,Masculino,Feminino
0,Acajutiba,0,0,4,11
1,Adustina,0,0,0,1
2,Água Fria,0,0,47,40
3,Aiquara,0,0,2,2
4,Alagoinhas,0,1,455,723
5,Alcobaça,0,0,28,34
6,Amargosa,0,0,51,97
7,Amélia Rodrigues,0,0,9,18
8,América Dourada,0,0,16,16
9,Anagé,0,0,1,0
10,Andaraí,0,0,50,87
11,Anguera,0,0,40,54
12,Antas,0,0,2,5
13,Antônio Cardoso,0,0,15,14
14,Antônio Gonçalves,0,0,0,1
15,Aporá,0,0,7,12
16,Araças,0,0,1,2
17,Araci,0,0,12,27
18,Baixa Grande,0,0,4,24
19,Banzaê,0,0,0,2
20,Barra,0,0,2,0
21,Barra da Estiva,0,0,2,5
22,Barra do Choça,0,0,1,2
23,Barra do Mendes,0,0,0,2
24,Barra do Rocha,0,0,2,4
25,Barreiras,0,0,25,14
26,Barro Alto,0,0,9,22
27,Barrocas,0,0,16,42
28,Belo Campo,0,0,0,3
29,Biritinga,0,0,111,161
30,Boa Nova,0,0,7,13
31,Boa Vista do Tupim,0,0,17,30
32,Bom Jesus da Lapa,0,0,8,14
33,Boninal,0,0,0,1
34,Boquira,0,0,60,116
35,Botuporã,0,0,1,1
36,Brejões,0,0,5,20
37,Brotas de Macaúbas,0,0,2,2
38,Brumado,0,0,7,11
39,Buerarema,0,0,0,1
40,Cabaceiras do Paraguaçu,0,0,0,4
41,Cachoeira,0,0,50,55
42,Caculé,0,0,2,0
43,Caetanos,0,0,0,1
44,Cafarnaum,0,0,0,3
45,Cairu,0,0,1,1
46,Caldeirão Grande,0,0,0,1
47,Camacan,0,0,3,5
48,Camaçari,0,24,373,570
49,Camamu,0,0,1,4
50,Campo Formoso,0,0,5,11
51,Canarana,0,0,1,3
52,Canavieiras,0,0,1,3
53,Candeal,0,0,2,2
54,Candeias,0,1,110,168
55,Candiba,0,0,1,0
56,Cândido Sales,0,0,10,13
57,Cansanção,0,0,18,15
58,Capela do Alto Alegre,0,0,5,2
59,Capim Grosso,0,4,26,59
60,Caraíbas,0,0,4,4
61,Caravelas,0,0,25,28
62,Cardeal da Silva,0,0,0,1
63,Carinhanha,0,0,1,1
64,Casa Nova,0,0,25,26
65,Castro Alves,0,0,2,3
66,Catolândia,0,0,1,1
67,Catu,0,0,223,351
68,Caturama,0,0,8,13
69,Central,0,0,5,22
70,Cipó,0,0,9,33
71,Coaraci,0,0,3,9
72,Conceição da Feira,0,2,196,229
73,Conceição do Almeida,0,0,66,104
74,Conceição do Coité,0,0,353,488
75,Conceição do Jacuípe,0,0,304,442
76,Conde,0,1,40,73
77,Condeúba,0,0,2,6
78,Contendas do Sincorá,0,0,4,3
79,Coração de Maria,0,0,40,73
80,Coribe,0,0,2,1
81,Coronel João Sá,0,0,13,19
82,Cotegipe,0,0,1,3
83,Cravolândia,0,0,4,6
84,Crisópolis,0,0,8,21
85,Cruz das Almas,0,3,330,477
86,Curaçá,0,0,6,12
87,Dário Meira,0,0,4,4
88,Dias d'Ávila,0,0,35,49
89,Dom Basílio,0,0,2,1
90,Dom Macedo Costa,0,0,0,1
91,Elísio Medrado,0,0,0,3
92,Encruzilhada,0,0,1,2
93,Entre Rios,0,0,5,3
94,Érico Cardoso,0,0,0,1
95,Esplanada,0,6,63,99
96,Euclides da Cunha,0,0,38,44
97,Eunápolis,0,0,8,10
98,Fátima,0,0,2,6
99,Feira da Mata,0,0,0,1
100,Feira de Santana,0,2,2132,3861
101,Filadélfia,0,0,2,6
102,Firmino Alves,0,0,0,1
103,Floresta Azul,0,0,0,2
104,Gandu,0,0,5,19
105,Gavião,0,0,24,32
106,Glória,0,0,32,30
107,Gongogi,0,0,1,0
108,Governador Mangabeira,0,0,15,26
109,Guanambi,0,0,45,113
110,Heliópolis,0,0,0,1
111,Iaçu,0,0,47,119
112,Ibiassucê,0,0,0,1
113,Ibicaraí,0,0,0,1
114,Ibicuí,0,0,2,3
115,Ibipeba,0,0,8,9
116,Ibipitanga,0,0,126,198
117,Ibiquera,0,0,16,25
118,Ibirapitanga,0,0,1,3
119,Ibirapuã,0,0,2,2
120,Ibirataia,0,0,0,1
121,Ibitiara,0,0,5,9
122,Ibititá,0,0,0,1
123,Ibotirama,0,0,5,10
124,Ichu,0,0,23,58
125,Iguaí,0,0,0,1
126,Ilhéus,0,0,14,14
127,Inhambupe,0,0,17,44
128,Ipecaetá,0,0,13,20
129,Ipiaú,0,0,3,9
130,Ipirá,0,0,8,15
131,Ipupiara,0,0,1,2
132,Irajuba,0,0,30,91
133,Iramaia,0,0,2,4
134,Iraquara,0,0,7,14
135,Irará,0,0,178,257
136,Irecê,0,0,81,100
137,Itabela,0,0,1,1
138,Itaberaba,0,0,29,43
139,Itabuna,0,0,19,26
140,Itaeté,0,0,1,0
141,Itagibá,0,0,1,1
142,Itaguaçu da Bahia,0,0,0,5
143,Itajuípe,0,0,2,2
144,Itamaraju,0,0,5,16
145,Itamari,0,0,1,2
146,Itanhém,0,0,203,349
147,Itaparica,0,0,44,66
148,Itapetinga,0,0,2,4
149,Itapicuru,0,0,9,14
150,Itaquara,0,0,24,33
151,Itarantim,0,0,1,0
152,Itatim,0,0,3,11
153,Itiruçu,0,0,6,5
154,Itiúba,0,1,3,2
155,Itororó,0,0,1,1
156,Ituaçu,0,0,13,36
157,Jaborandi,0,0,1,3
158,Jacaraci,0,0,1,0
159,Jacobina,0,0,30,49
160,Jaguaquara,1,0,155,280
161,Jaguarari,0,0,1,0
162,Jaguaripe,0,0,2,0
163,Jandaíra,0,0,6,12
164,Jequié,0,0,143,236
165,Jeremoabo,0,0,0,2
166,Jitaúna,0,0,1,0
167,João Dourado,0,0,10,15
168,Juazeiro,0,0,21,34
169,Jussara,0,0,1,0
170,Lafaiete Coutinho,0,0,1,0
171,Laje,0,0,0,1
172,Lajedinho,0,0,1,1
173,Lajedo do Tabocal,0,0,4,2
174,Lamarão,0,0,4,14
175,Lapão,0,0,18,45
176,Lauro de Freitas,0,0,220,303
177,Lençóis,0,5,37,84
178,Licínio de Almeida,0,0,0,1
179,Livramento de Nossa Senhora,0,0,4,1
180,Luís Eduardo Magalhães,0,0,0,1
181,Macajuba,0,0,6,17
182,Macaúbas,0,0,38,71
183,Macururé,0,0,5,5
184,Madre de Deus,0,0,5,6
185,Maetinga,0,0,1,1
186,Maiquinique,0,0,3,2
187,Mairi,0,0,3,6
188,Malhada,0,0,0,1
189,Malhada de Pedras,0,0,3,1
190,Manoel Vitorino,0,0,205,354
191,Maracás,0,0,7,9
192,Maragogipe,0,0,38,66
193,Maraú,0,0,1,1
194,Marcionílio Souza,0,0,6,14
195,Mascote,0,0,4,0
196,Mata de São João,0,0,7,19
197,Medeiros Neto,0,0,30,46
198,Miguel Calmon,0,0,7,15
199,Milagres,0,0,5,3
200,Mirangaba,0,0,0,1
201,Mirante,0,0,1,1
202,Morpará,0,0,0,1
203,Morro do Chapéu,0,0,4,6
204,Mucuri,0,0,2,3
205,Mulungu do Morro,0,0,1,4
206,Muniz Ferreira,0,0,0,2
207,Muquém de São Francisco,0,0,2,2
208,Muritiba,0,0,45,59
209,Mutuípe,0,0,1,0
210,Nazaré,0,0,1,3
211,Nilo Peçanha,0,0,1,2
212,Nordestina,0,0,3,3
213,Nova Canaã,0,0,3,7
214,Nova Fátima,0,0,75,99
215,Nova Itarana,0,0,7,11
216,Nova Redenção,0,0,32,45
217,Nova Soure,0,1,13,24
218,Nova Viçosa,0,0,20,48
219,Olindina,0,0,89,125
220,Oliveira dos Brejinhos,0,0,8,23
221,Ouriçangas,0,0,52,60
