,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaré,0,1,0,0,0,0,0,0,0,0,0,0
1,Acajutiba,0,0,0,0,3,4,10,2,1,1,0,0
2,Adustina,0,0,0,0,1,0,0,0,0,0,0,0
3,Água Fria,0,0,0,0,0,0,0,0,0,0,1,1
4,Alagoinhas,0,0,0,0,1,0,5,20,16,22,27,4
5,Alcobaça,1,1,0,0,0,1,7,1,6,4,6,0
6,Amélia Rodrigues,0,0,0,0,2,0,0,0,0,0,0,0
7,América Dourada,0,0,0,8,17,4,2,0,0,0,0,0
8,Andorinha,0,0,0,0,0,0,1,0,0,0,0,0
9,Angical,0,0,1,0,0,0,0,0,0,0,0,0
10,Anguera,0,2,1,0,0,0,0,0,0,0,2,0
11,Antas,0,0,0,0,0,0,0,0,1,1,0,0
12,Aporá,0,0,0,0,0,0,0,0,1,0,0,0
13,Araças,0,0,0,0,0,0,0,1,1,0,0,0
14,Araci,0,0,1,1,0,4,0,0,0,1,0,0
15,Baianópolis,0,0,0,1,5,2,0,0,0,0,0,0
16,Banzaê,0,0,0,0,0,0,3,1,5,0,1,1
17,Barra,0,0,0,0,0,0,0,1,0,0,0,0
18,Barra do Choça,0,0,0,0,0,1,0,0,0,0,0,0
19,Barra do Mendes,0,0,0,0,3,1,0,0,0,0,0,0
20,Barreiras,0,0,0,1,3,4,1,0,0,0,0,2
21,Barro Alto,0,0,0,0,1,1,11,0,0,0,0,0
22,Biritinga,0,0,0,0,2,0,0,0,0,0,0,0
23,Boa Nova,0,0,0,0,0,0,1,0,0,0,0,0
24,Boa Vista do Tupim,0,0,0,0,0,0,0,1,0,0,0,0
25,Bom Jesus da Lapa,0,0,1,2,0,0,0,0,0,0,0,0
26,Boninal,0,0,1,2,0,0,0,0,0,0,0,0
27,Boquira,2,2,0,1,0,0,0,0,0,0,0,0
28,Botuporã,0,1,0,0,0,0,0,0,0,0,0,0
29,Brejões,0,0,0,0,0,0,0,0,0,0,1,3
30,Brotas de Macaúbas,1,1,7,0,1,2,0,1,1,0,3,1
31,Brumado,1,1,3,1,2,2,1,0,2,0,1,2
32,Buerarema,0,0,1,1,0,0,0,0,0,0,0,0
33,Cabaceiras do Paraguaçu,0,0,0,0,0,0,0,0,1,0,0,0
34,Cachoeira,0,0,0,0,0,1,5,0,0,0,0,0
35,Caetité,0,0,0,0,1,1,0,0,1,0,0,0
36,Cafarnaum,0,0,1,7,0,0,0,0,0,0,0,0
37,Cairu,0,0,0,1,1,0,0,0,0,0,0,0
38,Camacan,0,0,0,0,0,0,0,0,0,1,0,0
39,Camaçari,29,27,16,33,71,215,250,100,48,22,29,9
40,Campo Formoso,0,0,0,1,0,1,1,0,0,0,0,3
41,Canarana,1,2,1,2,2,0,0,0,0,0,0,0
42,Canavieiras,0,0,0,0,0,0,1,0,1,0,0,0
43,Candeal,0,1,2,0,0,0,1,0,0,0,0,0
44,Candeias,1,12,58,233,814,943,465,267,88,34,16,8
45,Candiba,0,0,0,0,1,0,0,0,0,0,0,0
46,Cândido Sales,0,0,0,0,1,0,0,0,0,1,0,0
47,Cansanção,0,0,0,0,0,0,0,0,1,0,0,0
48,Capela do Alto Alegre,0,0,2,1,0,0,0,0,0,0,0,0
49,Capim Grosso,3,14,10,1,0,2,4,1,0,7,5,1
50,Caravelas,0,0,0,0,0,0,3,0,6,3,0,8
51,Cardeal da Silva,0,0,0,0,1,0,1,5,1,0,0,0
52,Casa Nova,0,1,0,0,0,0,0,0,0,0,0,0
53,Castro Alves,0,0,0,0,0,0,1,0,0,0,0,0
54,Catu,0,0,0,0,1,0,15,17,24,10,18,21
55,Chorrochó,0,0,1,0,0,0,0,0,0,0,0,0
56,Cipó,1,0,0,0,0,0,0,4,6,3,0,0
57,Coaraci,0,0,0,0,0,1,0,0,0,0,0,0
58,Conceição da Feira,0,0,0,0,1,0,1,0,0,0,1,2
59,Conceição do Almeida,0,0,0,0,1,0,0,3,1,1,1,0
60,Conceição do Coité,0,0,0,0,0,0,0,0,1,0,0,0
61,Conceição do Jacuípe,0,0,0,0,5,3,2,1,4,2,1,1
62,Conde,0,0,0,0,1,4,10,11,9,45,49,12
63,Condeúba,0,0,0,0,0,0,0,0,0,0,0,1
64,Coração de Maria,1,4,0,3,0,0,1,0,0,0,0,0
65,Coribe,0,0,0,0,0,0,0,0,0,0,0,1
66,Correntina,0,0,0,0,1,0,0,0,0,0,0,0
67,Cotegipe,0,0,2,0,16,2,2,0,0,0,0,0
68,Crisópolis,0,0,0,0,0,1,1,0,1,2,1,0
69,Cruz das Almas,0,0,0,1,2,1,3,6,6,2,2,0
70,Curaçá,1,1,0,1,0,0,0,0,0,0,0,0
71,Dias d'Ávila,4,2,1,2,2,6,10,11,3,2,1,0
72,Entre Rios,0,0,0,72,81,59,42,40,26,2,6,0
73,Esplanada,0,0,0,0,18,48,122,73,44,32,14,2
74,Euclides da Cunha,0,0,0,2,3,0,0,0,0,0,0,0
75,Eunápolis,4,0,1,1,9,3,2,2,1,0,3,1
76,Feira de Santana,25,10,14,7,15,14,11,42,44,68,126,83
77,Filadélfia,0,0,0,1,1,6,2,0,0,0,0,0
78,Floresta Azul,0,1,0,0,0,0,0,0,0,0,0,0
79,Gandu,0,0,0,0,1,0,0,0,0,2,0,0
80,Gavião,0,0,0,1,6,6,2,1,0,0,0,0
81,Gentio do Ouro,1,0,0,0,0,0,0,0,0,0,0,0
82,Glória,0,0,1,0,1,0,0,0,0,0,0,0
83,Governador Mangabeira,0,0,0,0,1,0,0,1,0,0,0,0
84,Guanambi,1,0,0,2,3,1,0,1,1,0,0,2
85,Iaçu,0,0,0,1,1,2,1,0,0,3,0,0
86,Ibicaraí,0,0,1,0,0,0,0,0,0,0,0,0
87,Ibicoara,0,1,0,0,4,0,1,0,0,0,0,0
88,Ibipeba,0,0,0,1,0,1,0,0,0,0,0,0
89,Ibipitanga,1,1,0,0,6,2,2,0,0,0,0,0
90,Ibiquera,0,0,0,0,1,0,0,0,0,0,0,0
91,Ibirapitanga,0,0,0,0,0,0,1,0,0,0,0,0
92,Ibirapuã,1,0,0,0,0,0,0,0,0,0,0,0
93,Ibitiara,0,0,0,0,0,1,0,0,0,0,0,0
94,Ibititá,0,0,0,0,2,0,1,0,0,0,0,0
95,Ibotirama,0,0,0,0,0,1,0,0,0,0,0,0
