,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
87,291460 Irecê,1,1,1,0,0,1,0,0,0,0,0,0
88,291465 Itabela,62,6,1,2,0,0,2,2,0,0,0,0
89,291470 Itaberaba,2,2,0,2,1,0,0,0,0,0,0,0
90,291480 Itabuna,50,20,20,10,16,17,13,8,6,5,3,2
91,291490 Itacaré,0,0,1,1,1,0,1,0,0,0,5,0
92,291520 Itagibá,0,0,0,1,0,0,0,0,0,0,0,0
93,291530 Itagimirim,64,9,5,1,2,5,0,0,1,0,0,0
94,291540 Itaju do Colônia,2,0,0,0,0,0,0,0,0,0,0,0
95,291550 Itajuípe,0,1,0,0,0,1,0,2,0,0,0,0
96,291560 Itamaraju,10,44,271,54,26,26,35,16,7,7,4,0
97,291600 Itanhém,2,0,2,1,0,1,1,0,0,1,0,0
98,291610 Itaparica,0,0,0,0,0,0,0,0,1,0,0,0
99,291620 Itapé,0,0,0,0,0,0,0,0,1,0,0,1
100,291630 Itapebi,12,5,2,10,10,16,21,1,1,12,2,0
101,291640 Itapetinga,2,0,2,1,0,0,0,0,0,0,0,0
102,291650 Itapicuru,0,4,0,0,0,0,0,0,0,0,0,0
103,291660 Itapitanga,0,0,0,1,0,0,0,0,0,0,0,0
104,291680 Itarantim,35,150,233,35,24,147,50,0,0,0,0,0
105,291685 Itatim,0,0,0,0,0,0,0,0,0,0,1,0
106,291700 Itiúba,2,0,0,0,0,0,0,0,0,0,0,0
107,291710 Itororó,0,0,2,0,0,0,0,0,0,0,0,0
108,291720 Ituaçu,19,4,0,0,0,0,0,0,0,0,0,0
109,291730 Ituberá,0,0,0,2,0,0,0,0,0,0,0,0
110,291733 Iuiú,1,0,0,0,0,0,0,0,0,0,0,0
111,291735 Jaborandi,0,0,0,0,0,0,2,0,0,0,0,1
112,291740 Jacaraci,0,0,0,0,0,0,0,0,0,1,1,0
113,291750 Jacobina,0,0,1,0,0,0,0,0,0,0,0,0
114,291760 Jaguaquara,0,1,0,0,0,0,0,0,0,0,1,1
115,291770 Jaguarari,0,2,0,0,0,0,0,0,0,0,0,1
116,291790 Jandaíra,1,0,0,1,0,0,0,0,0,0,0,0
117,291800 Jequié,0,0,0,1,0,1,0,3,0,0,0,0
118,291835 João Dourado,0,0,1,0,0,0,0,0,0,0,0,0
119,291840 Juazeiro,0,2,1,0,2,0,0,2,1,2,1,1
120,291855 Jussari,2,0,2,0,0,0,0,0,0,0,0,0
121,291890 Lajedão,0,1,0,0,0,0,0,0,0,0,0,0
122,291920 Lauro de Freitas,0,1,2,0,8,5,6,0,0,0,2,1
123,291955 Luís Eduardo Magalhães,0,0,0,6,1,3,3,0,1,0,0,0
124,291960 Macajuba,1,1,1,0,0,0,0,0,0,0,0,0
125,291970 Macarani,0,0,0,0,0,1,0,0,0,0,0,0
126,291980 Macaúbas,2,4,0,0,0,2,0,2,0,0,0,1
127,292000 Maiquinique,0,0,1,0,0,0,0,0,0,0,0,0
128,292010 Mairi,6,33,26,0,0,0,0,0,0,0,1,0
129,292040 Manoel Vitorino,0,0,2,0,0,0,0,0,0,0,0,0
130,292050 Maracás,0,0,0,0,0,0,1,0,0,0,0,0
131,292070 Maraú,0,1,0,1,0,1,0,0,0,0,0,0
132,292080 Marcionílio Souza,0,1,0,0,0,0,0,0,0,0,0,0
133,292110 Medeiros Neto,55,44,6,6,1,0,0,3,2,0,0,0
134,292120 Miguel Calmon,1,2,2,4,1,0,0,0,2,3,1,8
135,292145 Mirante,2,0,0,0,0,0,0,0,0,0,0,0
136,292170 Morro do Chapéu,0,0,0,0,0,0,0,1,0,0,0,0
137,292200 Mucuri,52,60,87,29,3,5,4,2,0,0,1,1
138,292210 Mundo Novo,0,5,23,1,0,1,0,0,0,0,0,0
139,292240 Mutuípe,0,0,0,0,0,0,0,1,0,0,0,0
140,292265 Nordestina,0,0,0,0,1,0,0,0,0,0,0,0
141,292273 Nova Fátima,2,0,0,1,2,1,3,1,0,0,0,0
142,292300 Nova Viçosa,83,47,20,9,17,11,1,2,0,0,1,0
143,292303 Novo Horizonte,0,0,0,0,1,1,0,1,0,0,1,0
144,292320 Oliveira dos Brejinhos,0,0,1,1,1,0,0,0,0,0,0,0
145,292340 Palmas de Monte Alto,0,0,0,0,0,0,0,1,0,0,0,0
146,292360 Paramirim,0,0,0,0,0,0,0,0,0,0,1,0
147,292370 Paratinga,0,0,0,0,0,0,0,1,0,0,0,0
148,292380 Paripiranga,2,0,0,1,0,0,0,0,0,0,0,0
149,292390 Pau Brasil,0,1,0,0,0,0,0,0,0,0,0,0
150,292400 Paulo Afonso,0,3,1,1,1,0,1,0,0,0,0,1
151,292405 Pé de Serra,1,0,0,0,0,0,0,0,0,0,0,0
152,292460 Pindobaçu,0,0,0,0,1,0,0,2,1,0,0,0
153,292465 Pintadas,0,0,1,0,0,0,1,0,0,0,0,0
154,292480 Piritiba,0,16,29,1,7,3,0,1,0,0,0,0
155,292510 Poções,2,0,0,0,0,0,0,0,0,0,0,0
156,292530 Porto Seguro,215,67,63,70,92,146,80,43,8,11,4,6
157,292550 Prado,2,1,4,1,5,3,3,2,0,0,1,0
158,292575 Presidente Tancredo Neves,0,0,1,0,0,0,0,0,0,0,0,0
159,292580 Queimadas,0,1,0,2,0,0,0,0,0,0,0,0
160,292590 Quijingue,0,0,0,0,0,0,0,0,0,0,0,1
161,292593 Quixabeira,0,0,0,0,0,1,0,0,0,0,0,0
162,292600 Remanso,0,1,0,1,0,0,0,0,0,0,0,0
163,292630 Riachão do Jacuípe,0,1,2,4,4,2,5,3,2,1,0,0
164,292660 Ribeira do Pombal,0,0,0,0,0,0,0,12,9,0,12,21
165,292690 Rio do Pires,0,0,0,0,0,0,1,0,0,0,0,0
166,292700 Rio Real,4,3,11,2,1,0,1,0,0,0,2,0
167,292710 Rodelas,0,0,0,0,0,0,1,0,0,0,0,0
168,292720 Ruy Barbosa,0,1,1,0,0,0,0,0,0,0,0,0
169,292740 Salvador,53,31,27,19,57,57,60,21,11,12,13,5
170,292750 Santa Bárbara,0,0,2,0,0,1,2,1,1,0,0,0
171,292770 Santa Cruz Cabrália,71,18,0,1,8,20,15,8,4,2,3,2
172,292780 Santa Cruz da Vitória,0,1,0,0,0,0,0,0,0,0,0,0
173,292805 Santa Luzia,31,3,3,2,0,0,0,0,4,1,0,0
174,292810 Santa Maria da Vitória,0,0,1,0,0,0,0,1,0,0,0,0
175,292840 Santa Rita de Cássia,0,0,0,1,0,1,0,0,0,0,0,0
176,292800 Santaluz,2,0,0,0,1,0,0,1,0,0,1,0
177,292860 Santo Amaro,4,0,0,0,0,0,0,0,1,0,0,0
178,292870 Santo Antônio de Jesus,0,1,0,0,0,1,1,0,0,0,0,0
