,Município,Em Branco,Ignorado,Masculino,Feminino
0,Adustina,0,0,1,1
1,Água Fria,0,0,1,0
2,Aiquara,0,0,0,1
3,Alagoinhas,0,0,25,38
4,América Dourada,0,0,8,23
5,Anagé,0,0,0,1
6,Angical,0,0,1,0
7,Antônio Cardoso,0,0,2,1
8,Apuarema,0,0,0,1
9,Araci,0,0,9,11
10,Baianópolis,0,0,8,12
11,Barra,0,0,18,15
12,Barra do Choça,0,0,1,0
13,Barra do Mendes,0,0,2,1
14,Barreiras,1,1,0,0
15,Barrocas,0,0,1,0
16,Boa Vista do Tupim,0,0,0,1
17,Bom Jesus da Lapa,0,0,9,14
18,Bom Jesus da Serra,0,0,1,0
19,Boquira,0,0,2,4
20,Botuporã,0,0,0,2
21,Brejões,0,0,0,1
22,Brotas de Macaúbas,0,0,107,180
23,Brumado,0,0,2,2
24,Buritirama,0,0,3,2
25,Caculé,0,0,1,0
26,Caém,0,0,0,1
27,Caetanos,0,0,1,1
28,Caetité,0,0,0,1
29,Cafarnaum,0,0,11,29
30,Camacan,0,0,0,2
31,Camaçari,0,3,43,54
32,Camamu,0,0,1,0
33,Campo Alegre de Lourdes,0,0,5,8
34,Canápolis,0,0,0,2
35,Canarana,0,0,9,20
36,Candeias,0,0,7,9
37,Candiba,0,0,0,2
38,Cândido Sales,0,0,5,8
39,Cansanção,0,0,0,3
40,Capela do Alto Alegre,0,0,1,0
41,Caraíbas,0,0,0,1
42,Carinhanha,0,0,7,7
43,Catolândia,0,0,10,14
44,Catu,0,0,10,30
45,Caturama,0,0,10,15
46,Central,0,0,106,167
47,Cipó,0,0,1,1
48,Coaraci,0,0,14,18
49,Cocos,0,0,0,1
50,Conceição do Almeida,0,0,0,1
51,Conceição do Coité,0,0,0,3
52,Conceição do Jacuípe,0,0,3,1
53,Conde,0,0,3,2
54,Condeúba,0,0,1,0
55,Cordeiros,0,0,0,2
56,Coribe,0,0,4,5
57,Coronel João Sá,0,0,6,9
58,Correntina,0,0,1,2
59,Cotegipe,0,0,153,248
60,Cristópolis,0,0,51,56
61,Cruz das Almas,0,0,1,3
62,Dário Meira,0,0,136,177
63,Dias d'Ávila,0,0,3,8
64,Esplanada,0,0,5,4
65,Euclides da Cunha,0,0,1,0
66,Feira da Mata,0,0,0,2
67,Feira de Santana,0,0,113,151
68,Formosa do Rio Preto,0,0,4,13
69,Gandu,0,0,5,2
70,Gentio do Ouro,0,0,26,52
71,Glória,0,0,1,2
72,Guanambi,0,1,386,678
73,Iaçu,0,0,7,4
74,Ibicaraí,0,0,1,2
75,Ibicoara,0,0,1,2
76,Ibicuí,0,0,1,0
77,Ibipitanga,0,0,15,35
78,Ibirapitanga,0,0,1,0
79,Ibirataia,0,0,0,1
80,Ibitiara,0,0,12,23
81,Ibititá,0,0,8,9
82,Ibotirama,0,0,163,324
83,Ichu,0,0,0,1
84,Igaporã,0,0,0,3
85,Iguaí,0,0,3,3
86,Ilhéus,0,0,3,2
87,Inhambupe,0,0,4,6
88,Ipiaú,0,0,4,2
89,Ipupiara,0,0,25,39
90,Iraquara,0,0,0,1
91,Irará,0,0,0,1
92,Irecê,0,0,103,167
93,Itabuna,0,0,28,35
94,Itagibá,0,0,1,2
95,Itaguaçu da Bahia,0,0,9,17
96,Itajuípe,0,0,8,13
97,Itamaraju,0,1,163,237
98,Itambé,0,0,1,2
99,Itaparica,0,0,1,6
100,Itapetinga,0,0,76,130
101,Itapicuru,0,0,0,2
102,Itapitanga,0,0,0,1
103,Itarantim,0,0,1,1
104,Itatim,0,0,2,1
105,Itiruçu,0,0,15,34
106,Itororó,0,0,0,6
107,Iuiú,0,0,1,0
108,Jaborandi,0,0,1,3
109,Jacaraci,0,0,1,2
110,Jacobina,0,0,45,73
111,Jaguaquara,0,0,6,14
112,Jandaíra,0,0,1,2
113,Jequié,0,2,103,151
114,João Dourado,1,0,57,81
115,Juazeiro,0,0,4,10
116,Jussara,0,0,9,18
117,Lajedão,0,0,0,1
118,Lajedo do Tabocal,0,0,0,2
119,Lapão,0,0,2,4
120,Lauro de Freitas,0,0,4,4
121,Luís Eduardo Magalhães,0,0,249,388
122,Macajuba,0,0,0,3
123,Macarani,0,0,76,100
124,Macaúbas,0,9,654,906
125,Macururé,0,0,0,1
126,Madre de Deus,0,0,0,1
127,Manoel Vitorino,0,0,43,52
128,Mansidão,0,0,10,4
129,Maracás,0,0,1,1
130,Maragogipe,0,0,2,5
131,Mata de São João,0,0,2,3
132,Matina,0,1,145,219
133,Miguel Calmon,0,0,14,12
