,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Acajutiba,0,0,1,1,3,5,3,0,0,1,1,0
1,Adustina,0,0,0,0,0,0,0,1,0,0,0,0
2,Água Fria,1,0,0,1,11,46,25,2,1,0,0,0
3,Aiquara,0,0,0,1,0,2,0,0,0,0,0,1
4,Alagoinhas,3,5,17,100,165,356,384,103,18,8,10,10
5,Alcobaça,0,0,9,12,21,10,5,0,3,1,1,0
6,Amargosa,2,3,23,27,46,33,11,2,0,0,0,1
7,Amélia Rodrigues,0,0,0,0,6,3,1,9,8,0,0,0
8,América Dourada,1,0,0,2,10,8,7,2,0,0,1,1
9,Anagé,0,0,0,0,0,1,0,0,0,0,0,0
10,Andaraí,1,37,11,5,26,49,7,1,0,0,0,0
11,Anguera,0,0,0,1,19,36,23,6,8,0,0,1
12,Antas,2,2,1,0,1,1,0,0,0,0,0,0
13,Antônio Cardoso,0,0,0,3,5,18,3,0,0,0,0,0
14,Antônio Gonçalves,0,0,0,0,0,1,0,0,0,0,0,0
15,Aporá,0,3,0,0,16,0,0,0,0,0,0,0
16,Araças,0,0,0,0,0,0,0,2,0,1,0,0
17,Araci,0,2,1,4,4,7,13,1,1,5,1,0
18,Baixa Grande,0,0,0,1,5,5,11,5,1,0,0,0
19,Banzaê,1,1,0,0,0,0,0,0,0,0,0,0
20,Barra,0,0,0,1,0,0,0,0,0,1,0,0
21,Barra da Estiva,0,0,0,0,0,0,2,2,0,2,1,0
22,Barra do Choça,1,1,0,1,0,0,0,0,0,0,0,0
23,Barra do Mendes,0,0,0,1,0,1,0,0,0,0,0,0
24,Barra do Rocha,0,0,0,2,2,0,1,0,0,0,0,1
25,Barreiras,3,2,1,2,3,8,9,3,4,1,0,3
26,Barro Alto,4,6,21,0,0,0,0,0,0,0,0,0
27,Barrocas,0,0,0,3,33,15,5,2,0,0,0,0
28,Belo Campo,0,0,0,0,1,0,2,0,0,0,0,0
29,Biritinga,0,0,1,59,159,45,7,0,0,1,0,0
30,Boa Nova,0,0,0,1,8,2,0,0,0,0,6,3
31,Boa Vista do Tupim,0,0,3,0,0,0,0,0,12,26,6,0
32,Bom Jesus da Lapa,0,0,6,0,0,0,6,10,0,0,0,0
33,Boninal,0,0,0,0,0,0,0,0,0,1,0,0
34,Boquira,0,0,6,111,46,3,8,1,1,0,0,0
35,Botuporã,0,0,2,0,0,0,0,0,0,0,0,0
36,Brejões,2,0,5,13,2,2,0,0,0,0,0,1
37,Brotas de Macaúbas,0,0,0,0,0,0,1,1,0,0,0,2
38,Brumado,3,1,1,0,2,5,2,3,0,0,1,0
39,Buerarema,0,0,0,0,1,0,0,0,0,0,0,0
40,Cabaceiras do Paraguaçu,0,0,0,0,0,2,1,1,0,0,0,0
41,Cachoeira,0,0,0,9,41,42,11,1,1,0,0,0
42,Caculé,0,0,1,0,0,0,0,0,0,1,0,0
43,Caetanos,0,0,1,0,0,0,0,0,0,0,0,0
44,Cafarnaum,0,0,0,0,0,0,3,0,0,0,0,0
45,Cairu,1,0,1,0,0,0,0,0,0,0,0,0
46,Caldeirão Grande,0,0,0,0,0,0,0,0,1,0,0,0
47,Camacan,0,0,2,2,1,3,0,0,0,0,0,0
48,Camaçari,25,37,99,104,154,226,163,94,24,21,13,7
49,Camamu,0,0,0,2,2,1,0,0,0,0,0,0
50,Campo Formoso,1,0,1,2,3,4,5,0,0,0,0,0
51,Canarana,0,1,0,0,1,2,0,0,0,0,0,0
52,Canavieiras,0,2,1,0,0,1,0,0,0,0,0,0
53,Candeal,0,0,0,2,1,0,1,0,0,0,0,0
54,Candeias,5,32,52,29,44,45,28,14,19,4,1,6
55,Candiba,0,0,0,0,0,0,0,0,1,0,0,0
56,Cândido Sales,10,5,1,2,0,0,0,0,1,2,0,2
57,Cansanção,0,0,1,0,21,5,5,0,1,0,0,0
58,Capela do Alto Alegre,0,0,0,0,1,2,1,1,1,1,0,0
59,Capim Grosso,3,1,0,6,17,43,13,0,1,0,2,3
60,Caraíbas,0,6,1,0,0,1,0,0,0,0,0,0
61,Caravelas,6,2,7,16,5,15,0,2,0,0,0,0
62,Cardeal da Silva,0,0,0,0,0,1,0,0,0,0,0,0
63,Carinhanha,0,0,0,0,0,0,0,0,0,0,0,2
64,Casa Nova,0,0,0,32,11,8,0,0,0,0,0,0
65,Castro Alves,0,0,1,0,0,1,1,0,0,1,1,0
66,Catolândia,0,0,0,0,0,0,1,0,0,0,1,0
67,Catu,21,15,10,50,127,144,109,48,20,10,13,7
68,Caturama,0,0,0,1,0,0,0,0,1,0,11,8
69,Central,0,0,0,0,9,12,1,2,1,0,0,2
70,Cipó,1,2,0,2,4,8,9,8,6,2,0,0
71,Coaraci,0,0,9,1,2,0,0,0,0,0,0,0
72,Conceição da Feira,5,9,39,200,141,25,4,1,0,1,2,0
73,Conceição do Almeida,2,0,0,4,60,51,36,14,0,2,0,1
74,Conceição do Coité,1,0,121,162,237,146,161,9,3,0,1,0
75,Conceição do Jacuípe,0,1,17,49,153,261,211,31,15,6,2,0
76,Conde,12,1,2,27,47,10,13,2,0,0,0,0
77,Condeúba,0,1,5,2,0,0,0,0,0,0,0,0
78,Contendas do Sincorá,0,0,0,1,1,4,1,0,0,0,0,0
79,Coração de Maria,1,0,2,21,46,18,21,2,1,0,0,1
80,Coribe,0,1,2,0,0,0,0,0,0,0,0,0
81,Coronel João Sá,0,0,0,0,0,0,0,0,2,3,17,10
82,Cotegipe,0,0,0,0,0,2,1,0,0,0,0,1
83,Cravolândia,0,0,0,0,2,4,4,0,0,0,0,0
84,Crisópolis,0,0,0,0,6,15,5,1,1,1,0,0
85,Cruz das Almas,2,5,24,55,174,356,115,46,24,8,1,0
86,Curaçá,0,1,0,0,5,4,6,2,0,0,0,0
87,Dário Meira,0,0,0,1,5,2,0,0,0,0,0,0
88,Dias d'Ávila,1,0,4,3,11,27,12,1,3,10,4,8
89,Dom Basílio,0,0,0,1,1,1,0,0,0,0,0,0
90,Dom Macedo Costa,0,0,0,0,0,0,0,0,0,0,0,1
91,Elísio Medrado,0,0,0,2,1,0,0,0,0,0,0,0
92,Encruzilhada,0,0,0,0,1,0,1,1,0,0,0,0
93,Entre Rios,1,2,3,1,1,0,0,0,0,0,0,0
94,Érico Cardoso,0,0,0,0,0,0,0,1,0,0,0,0
95,Esplanada,19,36,23,8,13,36,9,6,11,6,1,0
96,Euclides da Cunha,0,0,0,0,7,26,39,8,0,0,0,2
97,Eunápolis,2,0,0,1,10,2,3,0,0,0,0,0
98,Fátima,0,0,0,0,0,0,1,5,1,1,0,0
99,Feira da Mata,0,0,0,0,0,1,0,0,0,0,0,0
100,Feira de Santana,206,409,381,805,1438,1389,727,241,177,104,77,41
101,Filadélfia,0,0,1,1,2,3,0,0,0,0,1,0
102,Firmino Alves,0,0,0,0,1,0,0,0,0,0,0,0
103,Floresta Azul,0,0,0,1,0,0,0,1,0,0,0,0
104,Gandu,0,3,4,0,2,1,0,1,2,1,2,8
105,Gavião,0,1,4,0,1,10,11,24,5,0,0,0
106,Glória,0,0,0,0,0,3,32,20,4,3,0,0
107,Gongogi,0,0,0,0,0,0,1,0,0,0,0,0
108,Governador Mangabeira,0,2,9,5,9,9,4,3,0,0,0,0
109,Guanambi,1,0,1,18,56,41,26,5,2,2,3,3
110,Heliópolis,0,0,1,0,0,0,0,0,0,0,0,0
111,Iaçu,0,0,0,1,14,62,52,6,4,7,16,4
112,Ibiassucê,0,0,0,0,1,0,0,0,0,0,0,0
113,Ibicaraí,0,0,0,1,0,0,0,0,0,0,0,0
114,Ibicuí,0,0,0,4,1,0,0,0,0,0,0,0
115,Ibipeba,0,0,2,1,1,7,6,0,0,0,0,0
116,Ibipitanga,0,0,0,0,22,123,132,35,11,1,0,0
117,Ibiquera,0,1,0,5,3,21,2,5,3,1,0,0
118,Ibirapitanga,0,0,0,0,4,0,0,0,0,0,0,0
119,Ibirapuã,0,0,1,1,1,0,0,0,0,0,1,0
120,Ibirataia,0,1,0,0,0,0,0,0,0,0,0,0
121,Ibitiara,0,0,0,0,10,1,3,0,0,0,0,0
122,Ibititá,0,0,0,1,0,0,0,0,0,0,0,0
123,Ibotirama,0,0,1,2,4,3,3,1,1,0,0,0
124,Ichu,0,0,1,5,14,50,10,1,0,0,0,0
125,Iguaí,0,0,0,0,1,0,0,0,0,0,0,0
126,Ilhéus,4,0,5,1,5,1,5,2,1,1,2,1
127,Inhambupe,1,0,0,1,6,13,22,13,4,1,0,0
128,Ipecaetá,0,0,0,0,1,14,11,5,0,2,0,0
129,Ipiaú,1,1,3,0,3,1,2,1,0,0,0,0
130,Ipirá,0,0,0,0,4,0,11,5,1,0,1,1
131,Ipupiara,0,0,0,0,2,1,0,0,0,0,0,0
132,Irajuba,0,0,8,12,52,29,0,20,0,0,0,0
133,Iramaia,0,0,0,0,0,6,0,0,0,0,0,0
134,Iraquara,0,0,3,5,12,1,0,0,0,0,0,0
135,Irará,0,14,70,134,150,46,13,1,1,5,1,0
136,Irecê,0,0,0,18,90,24,28,1,8,2,8,2
137,Itabela,0,0,0,0,0,0,1,0,0,0,0,1
138,Itaberaba,2,0,0,4,3,35,26,1,0,0,1,0
139,Itabuna,1,4,1,0,1,2,4,9,4,4,9,6
140,Itaeté,0,0,0,1,0,0,0,0,0,0,0,0
141,Itagibá,0,0,0,1,1,0,0,0,0,0,0,0
142,Itaguaçu da Bahia,0,0,0,0,0,0,1,4,0,0,0,0
143,Itajuípe,0,1,0,0,0,0,1,0,0,1,0,1
144,Itamaraju,0,0,0,0,2,1,10,2,2,1,1,2
145,Itamari,0,0,0,0,0,2,1,0,0,0,0,0
146,Itanhém,0,5,20,121,300,96,6,3,1,0,0,0
147,Itaparica,0,0,17,19,26,32,8,5,1,0,1,1
148,Itapetinga,0,0,0,1,0,1,0,1,0,0,3,0
149,Itapicuru,0,0,0,1,6,6,6,1,3,0,0,0
150,Itaquara,0,0,5,12,9,12,13,6,0,0,0,0
151,Itarantim,1,0,0,0,0,0,0,0,0,0,0,0
152,Itatim,0,0,0,1,5,5,1,2,0,0,0,0
153,Itiruçu,0,0,0,3,3,3,2,0,0,0,0,0
154,Itiúba,2,0,0,0,0,2,0,0,2,0,0,0
155,Itororó,0,0,0,0,0,0,0,0,0,1,0,1
156,Ituaçu,0,0,0,1,8,13,20,7,0,0,0,0
157,Jaborandi,0,0,1,0,1,2,0,0,0,0,0,0
158,Jacaraci,0,0,1,0,0,0,0,0,0,0,0,0
159,Jacobina,0,0,1,1,0,16,25,9,7,12,3,5
160,Jaguaquara,0,15,157,101,109,41,3,3,1,1,1,4
161,Jaguarari,1,0,0,0,0,0,0,0,0,0,0,0
162,Jaguaripe,1,0,0,0,0,0,0,0,0,0,0,1
163,Jandaíra,0,0,0,0,14,2,0,0,1,0,1,0
164,Jequié,1,2,4,27,36,31,96,48,47,39,18,30
165,Jeremoabo,0,0,0,0,0,0,0,1,0,1,0,0
166,Jitaúna,0,0,0,0,1,0,0,0,0,0,0,0
167,João Dourado,1,0,1,3,11,4,1,0,0,1,1,2
168,Juazeiro,2,1,2,14,9,12,8,4,2,1,0,0
169,Jussara,0,0,0,0,0,0,1,0,0,0,0,0
170,Lafaiete Coutinho,0,1,0,0,0,0,0,0,0,0,0,0
171,Laje,0,0,0,0,0,0,1,0,0,0,0,0
172,Lajedinho,0,0,0,2,0,0,0,0,0,0,0,0
173,Lajedo do Tabocal,0,0,0,0,0,2,1,1,0,0,1,1
174,Lamarão,0,0,0,3,13,1,0,0,0,0,0,1
175,Lapão,0,0,0,0,7,6,44,6,0,0,0,0
176,Lauro de Freitas,15,38,38,111,87,112,73,19,17,7,2,4
177,Lençóis,1,1,9,77,31,6,1,0,0,0,0,0
