,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
127,Maiquinique,0,0,0,0,0,0,0,1,0,0
128,Mairi,0,1,0,0,1,13,11,14,18,8
129,Manoel Vitorino,0,1,0,0,0,0,1,0,0,0
130,Maracás,0,0,0,0,0,0,1,0,0,0
131,Maraú,0,0,0,0,0,2,0,1,0,0
132,Marcionílio Souza,0,1,0,0,0,0,0,0,0,0
133,Medeiros Neto,1,5,5,11,10,33,26,18,7,1
134,Miguel Calmon,0,0,2,3,2,5,4,6,2,0
135,Mirante,0,0,0,0,1,0,1,0,0,0
136,Morro do Chapéu,1,0,0,0,0,0,0,0,0,0
137,Mucuri,5,5,3,11,18,57,74,48,23,0
138,Mundo Novo,0,0,2,1,4,6,6,9,2,0
139,Mutuípe,0,0,1,0,0,0,0,0,0,0
140,Nordestina,0,0,0,0,0,0,0,0,1,0
141,Nova Fátima,0,2,0,0,0,3,2,1,2,0
142,Nova Viçosa,7,11,6,4,13,58,35,31,23,3
143,Novo Horizonte,0,0,0,0,1,3,0,0,0,0
144,Oliveira dos Brejinhos,0,0,0,0,0,1,1,1,0,0
145,Palmas de Monte Alto,0,0,0,0,0,0,1,0,0,0
146,Paramirim,0,0,0,0,0,0,1,0,0,0
147,Paratinga,0,0,0,1,0,0,0,0,0,0
148,Paripiranga,0,0,0,0,2,1,0,0,0,0
149,Pau Brasil,0,0,0,0,0,1,0,0,0,0
150,Paulo Afonso,1,0,0,0,0,1,4,2,0,0
151,Pé de Serra,0,0,0,0,0,1,0,0,0,0
152,Pindobaçu,0,0,0,0,0,1,3,0,0,0
153,Pintadas,0,0,1,0,0,1,0,0,0,0
154,Piritiba,1,0,1,8,7,11,13,11,5,0
155,Poções,0,0,0,0,0,0,0,1,1,0
156,Porto Seguro,20,19,40,55,68,244,194,107,53,4
157,Prado,0,1,0,1,0,7,9,3,1,0
158,Presidente Tancredo Neves,0,0,0,0,0,0,1,0,0,0
159,Queimadas,1,1,0,0,0,0,0,0,1,0
160,Quijingue,0,0,0,0,0,1,0,0,0,0
161,Quixabeira,0,0,0,0,0,0,1,0,0,0
162,Remanso,0,0,0,0,1,1,0,0,0,0
163,Riachão do Jacuípe,0,2,2,1,3,3,5,6,2,0
164,Ribeira do Pombal,2,2,1,5,4,8,10,15,6,1
165,Rio do Pires,0,0,0,0,0,1,0,0,0,0
166,Rio Real,1,1,1,1,4,2,6,5,2,1
167,Rodelas,0,0,0,0,0,0,0,0,1,0
168,Ruy Barbosa,0,0,0,0,0,0,0,1,1,0
169,Salvador,7,14,20,23,27,89,98,62,21,5
170,Santa Bárbara,0,0,1,0,1,2,1,1,1,0
171,Santa Cruz Cabrália,3,1,3,14,11,46,39,26,8,1
172,Santa Cruz da Vitória,0,0,0,0,0,0,0,0,1,0
173,Santa Luzia,1,0,1,4,2,8,9,8,11,0
174,Santa Maria da Vitória,0,0,0,0,0,1,1,0,0,0
175,Santa Rita de Cássia,0,0,0,0,0,0,1,1,0,0
176,Santaluz,0,0,0,2,0,1,0,1,1,0
177,Santo Amaro,2,0,0,1,1,0,1,0,0,0
178,Santo Antônio de Jesus,0,0,1,0,0,1,1,0,0,0
179,Santo Estêvão,0,0,0,0,0,1,0,0,0,0
180,São Desidério,0,0,2,1,2,3,4,0,2,0
181,São Domingos,0,1,0,0,0,2,0,0,0,0
182,São Félix do Coribe,0,0,0,1,0,2,0,0,0,0
183,São Francisco do Conde,5,5,5,18,43,134,73,40,19,1
184,São Gonçalo dos Campos,0,0,0,0,2,2,3,0,0,0
185,São José do Jacuípe,0,0,0,0,0,0,0,1,0,0
186,São Sebastião do Passé,0,0,0,0,1,0,1,1,0,0
187,Seabra,0,0,0,0,1,0,0,1,0,0
188,Sebastião Laranjeiras,0,0,0,0,0,0,0,1,0,0
189,Senhor do Bonfim,0,0,4,0,2,4,0,3,2,1
190,Sento Sé,0,0,0,0,1,0,0,1,0,0
191,Serra Preta,0,0,0,0,0,1,0,0,0,0
192,Serrinha,0,0,0,0,0,1,0,1,0,0
193,Serrolândia,0,0,0,0,0,0,1,0,0,0
194,Simões Filho,0,4,3,4,16,40,39,9,11,2
195,Sobradinho,0,0,0,0,0,0,1,0,0,0
196,Tanhaçu,1,0,0,0,0,0,0,0,0,0
197,Tanque Novo,0,0,0,0,0,1,0,0,0,0
198,Tanquinho,0,0,0,0,0,1,2,1,1,0
199,Taperoá,0,0,0,0,0,1,0,0,0,0
200,Tapiramutá,13,25,32,36,33,105,103,40,27,8
201,Teixeira de Freitas,24,29,55,123,210,648,535,391,151,29
202,Teolândia,0,0,0,0,0,0,0,0,1,0
203,Tremedal,0,0,1,0,0,1,0,0,0,0
204,Tucano,0,0,0,0,0,1,2,2,0,0
205,Uauá,0,0,0,0,0,0,1,0,0,0
206,Ubaitaba,0,0,0,0,0,0,0,2,0,0
207,Uibaí,0,0,0,0,0,0,1,0,0,0
208,Una,0,1,0,1,0,7,3,4,1,0
209,Uruçuca,1,6,2,12,5,23,24,15,3,1
210,Valença,0,0,1,0,0,0,0,0,0,0
211,Valente,0,3,0,1,1,3,2,4,1,0
212,Várzea Nova,1,0,0,1,0,1,1,0,0,0
213,Vera Cruz,0,1,0,1,1,1,2,1,3,0
214,Vereda,0,0,0,0,0,1,0,1,0,0
215,Vitória da Conquista,3,0,1,2,0,6,9,7,0,0
216,Wanderley,0,0,0,0,0,1,2,1,0,0
217,Wenceslau Guimarães,0,0,0,0,0,1,0,0,0,0
218,Xique-Xique,0,0,0,0,0,0,0,0,1,0
