,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Adustina,0,0,0,0,0,0,0,1,1,0,0,0
1,Água Fria,0,0,0,1,0,0,0,0,0,0,0,0
2,Aiquara,0,1,0,0,0,0,0,0,0,0,0,0
3,Alagoinhas,15,8,11,2,10,5,2,1,0,3,2,4
4,América Dourada,0,6,21,2,2,0,0,0,0,0,0,0
5,Anagé,0,0,1,0,0,0,0,0,0,0,0,0
6,Angical,0,1,0,0,0,0,0,0,0,0,0,0
7,Antônio Cardoso,0,1,0,0,0,0,0,0,1,1,0,0
8,Apuarema,0,0,0,1,0,0,0,0,0,0,0,0
9,Araci,1,2,4,2,1,0,0,0,1,1,2,6
10,Baianópolis,0,0,0,4,7,2,3,4,0,0,0,0
11,Barra,0,0,0,3,21,8,0,1,0,0,0,0
12,Barra do Choça,1,0,0,0,0,0,0,0,0,0,0,0
13,Barra do Mendes,1,0,0,1,0,0,1,0,0,0,0,0
14,Barreiras,60,658,2535,629,179,143,67,36,9,2,9,7
15,Barrocas,0,0,0,0,0,0,0,0,0,1,0,0
16,Boa Vista do Tupim,0,0,0,0,0,0,0,0,0,1,0,0
17,Bom Jesus da Lapa,0,0,2,0,1,2,2,2,0,0,1,13
18,Bom Jesus da Serra,0,0,0,0,0,0,0,0,0,1,0,0
19,Boquira,0,0,0,0,3,1,0,0,1,0,1,0
20,Botuporã,0,0,0,0,0,0,0,1,0,0,0,1
21,Brejões,0,0,0,0,0,1,0,0,0,0,0,0
22,Brotas de Macaúbas,0,1,4,9,91,85,93,2,1,0,1,0
23,Brumado,0,0,1,1,1,0,1,0,0,0,0,0
24,Buritirama,0,0,0,4,1,0,0,0,0,0,0,0
25,Caculé,0,0,0,1,0,0,0,0,0,0,0,0
26,Caém,0,0,0,0,0,0,0,0,1,0,0,0
27,Caetanos,1,0,1,0,0,0,0,0,0,0,0,0
28,Caetité,0,0,0,0,1,0,0,0,0,0,0,0
29,Cafarnaum,1,1,3,5,4,16,4,0,3,1,2,0
30,Camacan,0,1,1,0,0,0,0,0,0,0,0,0
31,Camaçari,5,9,6,8,23,13,3,0,2,5,17,9
32,Camamu,0,0,0,0,0,0,1,0,0,0,0,0
33,Campo Alegre de Lourdes,0,0,0,0,0,1,8,3,0,0,1,0
34,Canápolis,0,0,0,0,0,0,2,0,0,0,0,0
35,Canarana,0,0,0,3,19,4,2,0,1,0,0,0
36,Candeias,1,2,1,0,1,4,1,1,3,0,1,1
37,Candiba,0,0,0,0,1,0,0,0,1,0,0,0
38,Cândido Sales,1,5,2,1,2,0,0,0,1,0,0,1
39,Cansanção,1,0,0,2,0,0,0,0,0,0,0,0
40,Capela do Alto Alegre,1,0,0,0,0,0,0,0,0,0,0,0
41,Caraíbas,1,0,0,0,0,0,0,0,0,0,0,0
42,Carinhanha,0,0,1,3,3,6,0,0,0,0,1,0
43,Catolândia,0,4,13,5,2,0,0,0,0,0,0,0
44,Catu,2,4,2,3,7,3,8,4,4,0,2,1
45,Caturama,10,7,4,2,0,1,0,0,0,1,0,0
46,Central,133,49,45,24,8,6,0,4,0,2,1,1
47,Cipó,1,1,0,0,0,0,0,0,0,0,0,0
48,Coaraci,0,0,0,0,0,0,0,0,0,0,0,32
49,Cocos,0,0,0,0,0,0,0,0,0,0,1,0
50,Conceição do Almeida,0,0,0,1,0,0,0,0,0,0,0,0
51,Conceição do Coité,0,0,0,0,0,2,0,0,1,0,0,0
52,Conceição do Jacuípe,1,0,1,1,0,0,1,0,0,0,0,0
53,Conde,1,1,1,0,1,1,0,0,0,0,0,0
54,Condeúba,0,0,0,0,0,0,0,1,0,0,0,0
55,Cordeiros,0,0,0,0,0,0,0,0,0,2,0,0
56,Coribe,0,0,0,0,1,6,1,1,0,0,0,0
57,Coronel João Sá,4,7,4,0,0,0,0,0,0,0,0,0
58,Correntina,0,2,0,0,1,0,0,0,0,0,0,0
59,Cotegipe,0,0,28,121,185,41,18,8,0,0,0,0
60,Cristópolis,0,6,32,20,27,12,8,2,0,0,0,0
61,Cruz das Almas,0,0,0,0,1,1,1,0,0,0,1,0
62,Dário Meira,0,0,46,154,74,29,5,4,0,0,0,1
