,Codigo,Município,2016,2017,2018,2019,2020,2021
131,291110,Formosa do Rio Preto,1,1,-,-,-,17
132,291120,Gandu,84,2,1,3,24,7
133,291125,Gavião,1,-,-,16,56,-
134,291130,Gentio do Ouro,2,-,-,1,-,78
135,291140,Glória,37,5,-,2,62,3
136,291150,Gongogi,4,169,-,-,1,-
137,291160,Governador Mangabeira,-,-,-,2,41,-
138,291170,Guanambi,374,2,2,11,158,1065
139,291180,Guaratinga,2,7,-,-,-,-
140,291185,Heliópolis,257,1,-,-,1,-
141,291190,Iaçu,75,1,1,8,166,11
142,291200,Ibiassucê,2,-,-,-,1,-
143,291210,Ibicaraí,283,5,1,1,1,3
144,291220,Ibicoara,-,1,-,6,-,3
145,291230,Ibicuí,2,1,-,-,5,1
146,291240,Ibipeba,3,-,-,2,17,-
147,291250,Ibipitanga,4,1,1,12,324,50
148,291260,Ibiquera,14,-,-,1,41,-
149,291270,Ibirapitanga,19,7,-,1,4,1
150,291280,Ibirapuã,-,203,-,1,4,-
151,291290,Ibirataia,7,-,-,-,1,1
152,291300,Ibitiara,2,-,-,1,14,35
153,291310,Ibititá,-,-,-,3,1,17
154,291320,Ibotirama,4,2,-,1,15,487
155,291330,Ichu,4,-,-,-,81,1
156,291340,Igaporã,28,-,1,-,-,3
157,291345,Igrapiúna,21,-,-,-,-,-
158,291350,Iguaí,1,-,-,-,1,6
159,291360,Ilhéus,8926,58,19,18,28,5
160,291370,Inhambupe,88,1,-,45,61,10
161,291380,Ipecaetá,2,176,5,-,33,-
162,291390,Ipiaú,516,6,1,1,12,6
163,291400,Ipirá,23,2,9,3,23,-
164,291410,Ipupiara,-,3,-,-,3,64
165,291420,Irajuba,-,-,-,-,121,-
166,291430,Iramaia,-,-,-,-,6,-
167,291440,Iraquara,36,8,-,-,21,1
168,291450,Irará,4,-,2,13,435,1
169,291460,Irecê,22,4,4,2,181,270
170,291465,Itabela,7,75,6,3,2,-
171,291470,Itaberaba,8352,7,2,1,72,-
172,291480,Itabuna,26313,170,29,16,45,63
173,291490,Itacaré,323,9,8,2,-,-
174,291500,Itaeté,34,-,-,-,1,-
175,291510,Itagi,-,-,-,1,-,-
176,291520,Itagibá,62,1,-,1,2,3
177,291530,Itagimirim,3,87,1,-,-,-
178,291535,Itaguaçu da Bahia,-,-,1,-,5,26
179,291540,Itaju do Colônia,1008,2,-,3,-,-
180,291550,Itajuípe,236,4,-,8,4,21
181,291560,Itamaraju,75,500,59,18,21,401
182,291570,Itamari,2,-,-,-,3,-
183,291580,Itambé,-,-,-,-,-,3
184,291600,Itanhém,58,8,210,8,552,-
185,291610,Itaparica,29,1,-,3,110,7
186,291620,Itapé,160,2,-,-,-,-
187,291630,Itapebi,35,92,5,1,-,-
188,291640,Itapetinga,998,5,-,2,6,206
189,291650,Itapicuru,280,4,1,6,23,2
190,291660,Itapitanga,704,1,-,-,-,1
191,291670,Itaquara,-,-,-,-,57,-
192,291680,Itarantim,1,674,-,-,1,2
193,291685,Itatim,10,1,-,-,14,3
194,291690,Itiruçu,4,-,-,2,11,49
195,291700,Itiúba,1411,2,6,2,6,-
196,291710,Itororó,25,2,-,-,2,6
197,291720,Ituaçu,5,23,-,-,49,-
198,291730,Ituberá,111,2,1,2,-,-
199,291733,Iuiú,106,1,-,-,-,1
200,291735,Jaborandi,6,3,11,2,4,4
201,291740,Jacaraci,5,2,2,9,1,3
202,291750,Jacobina,779,1,4,8,79,118
203,291760,Jaguaquara,30,3,4,6,436,20
204,291770,Jaguarari,3331,3,3,2,1,-
205,291780,Jaguaripe,-,-,-,-,2,-
206,291790,Jandaíra,222,2,-,5,18,3
207,291800,Jequié,43,5,1,6,379,256
208,291810,Jeremoabo,50,-,-,1,2,-
209,291820,Jiquiriçá,14,-,-,-,-,-
210,291830,Jitaúna,-,-,-,-,1,-
211,291835,João Dourado,28,1,-,-,25,139
212,291840,Juazeiro,956,12,14,18,55,14
213,291850,Jussara,5,-,-,-,1,27
214,291855,Jussari,87,4,-,-,-,-
215,291860,Jussiape,4,-,-,-,-,-
