,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaré,0,0,1,0
1,Adustina,0,0,0,1
2,Alagoinhas,0,0,0,2
3,Alcobaça,0,0,7,10
4,Amargosa,0,0,1,0
5,Andaraí,0,0,0,3
6,Angical,0,0,1,0
7,Apuarema,0,0,0,1
8,Araças,0,0,0,1
9,Araci,0,0,0,1
10,Barra,0,0,0,1
11,Barreiras,0,0,1,8
12,Belmonte,0,0,9,22
13,Bom Jesus da Lapa,0,0,1,4
14,Bonito,0,0,1,0
15,Brejolândia,0,0,5,3
16,Brotas de Macaúbas,0,0,3,1
17,Brumado,0,0,1,1
18,Buritirama,0,0,1,1
19,Cachoeira,0,0,2,0
20,Caém,0,0,0,2
21,Caldeirão Grande,0,0,1,0
22,Camacan,0,0,0,1
23,Camaçari,0,3,82,194
24,Camamu,0,0,0,3
25,Campo Alegre de Lourdes,0,0,0,1
26,Canápolis,0,0,1,1
27,Canavieiras,0,0,1,0
28,Candeias,0,0,1,4
29,Caravelas,0,0,0,3
30,Casa Nova,0,0,4,11
31,Catu,0,0,0,1
32,Caturama,0,0,1,0
33,Cícero Dantas,0,0,1,0
34,Cipó,0,0,1,0
35,Coaraci,0,0,1,0
36,Conceição da Feira,0,0,0,1
37,Condeúba,0,0,1,0
38,Coração de Maria,0,0,50,98
39,Cotegipe,0,0,0,3
40,Cristópolis,0,0,0,1
41,Cruz das Almas,0,0,0,2
42,Curaçá,0,0,0,2
43,Dias d'Ávila,0,0,1,5
44,Dom Basílio,0,0,2,0
45,Eunápolis,0,0,18,35
46,Feira de Santana,0,0,67,172
47,Filadélfia,0,0,3,2
48,Gandu,0,0,0,1
49,Guanambi,0,0,1,1
50,Iaçu,0,0,0,1
51,Ibicaraí,0,0,1,0
52,Ibipitanga,0,0,1,0
53,Igaporã,0,0,1,0
54,Ilhéus,0,0,5,14
55,Ipecaetá,0,0,3,2
56,Ipiaú,0,0,1,0
57,Ipirá,0,0,4,5
58,Irará,0,0,1,1
59,Irecê,0,0,0,4
60,Itabela,0,0,1,5
61,Itaberaba,0,0,2,0
62,Itabuna,0,0,15,14
63,Itacaré,0,0,1,7
64,Itagimirim,0,0,0,1
65,Itaguaçu da Bahia,0,0,1,0
66,Itamaraju,0,0,27,32
67,Itanhém,0,0,69,141
68,Itapebi,0,0,3,2
69,Itapicuru,0,0,1,0
70,Itiúba,0,0,2,4
71,Ituberá,0,0,1,0
72,Jaborandi,0,0,6,5
73,Jacaraci,0,0,2,0
74,Jacobina,0,0,0,4
75,Jaguaquara,0,0,1,3
76,Jaguarari,0,0,1,2
77,Jequié,0,0,1,0
78,Juazeiro,0,0,5,9
79,Lamarão,0,0,0,1
80,Lauro de Freitas,0,0,2,5
81,Livramento de Nossa Senhora,0,0,0,1
82,Luís Eduardo Magalhães,0,0,1,6
83,Macaúbas,0,0,2,2
84,Mairi,0,0,1,1
85,Malhada,0,0,1,2
86,Manoel Vitorino,0,0,1,0
87,Maracás,0,0,1,3
88,Marcionílio Souza,0,0,1,0
89,Mascote,0,0,1,0
90,Mata de São João,0,0,0,2
91,Medeiros Neto,0,0,3,4
92,Miguel Calmon,0,0,2,4
93,Morpará,0,0,0,1
94,Mucuri,0,0,4,9
95,Nilo Peçanha,0,0,0,1
96,Nova Fátima,0,0,0,1
97,Nova Viçosa,0,0,3,1
98,Novo Horizonte,0,0,1,1
99,Oliveira dos Brejinhos,0,0,0,3
100,Paramirim,0,0,3,5
101,Paratinga,0,0,1,3
102,Paripiranga,0,0,0,4
103,Pau Brasil,0,0,1,1
104,Paulo Afonso,0,0,0,2
105,Pé de Serra,0,0,1,4
106,Pilão Arcado,0,0,2,3
107,Pindobaçu,0,0,0,1
108,Piripá,0,0,0,1
109,Pojuca,0,0,2,0
110,Porto Seguro,0,0,18,24
111,Prado,0,0,4,3
112,Presidente Dutra,0,0,1,1
113,Presidente Jânio Quadros,0,0,1,0
114,Remanso,0,0,0,1
115,Riachão do Jacuípe,0,0,2,3
116,Riacho de Santana,0,0,1,0
117,Ribeira do Pombal,0,0,68,99
118,Rio de Contas,0,0,1,2
119,Rio do Pires,0,0,1,0
120,Rio Real,0,0,3,1
121,Salvador,0,0,52,93
122,Santa Bárbara,0,0,1,0
123,Santa Cruz Cabrália,0,0,12,12
124,Santa Luzia,0,0,2,1
125,Santa Maria da Vitória,0,0,1,1
126,Santo Amaro,0,0,0,1
127,Santo Antônio de Jesus,0,0,1,1
128,São Desidério,0,0,6,3
129,São Félix do Coribe,0,0,2,5
130,São Francisco do Conde,0,0,24,23
131,São Gonçalo dos Campos,0,0,0,1
132,São José da Vitória,0,0,1,0
133,Seabra,0,0,0,1
134,Sebastião Laranjeiras,0,0,0,1
135,Senhor do Bonfim,0,0,1,0
136,Sento Sé,0,0,1,0
137,Serra Dourada,0,0,0,3
138,Serrolândia,0,0,0,3
139,Simões Filho,0,0,1,3
140,Sítio do Mato,0,0,0,1
