,Codigo,Município,2021
0,290010,Abaíra,1
1,290020,Abaré,2
2,290030,Acajutiba,3
3,290035,Adustina,9
4,290040,Água Fria,1
5,290060,Aiquara,9
6,290070,Alagoinhas,92
7,290080,Alcobaça,3
8,290100,Amargosa,4
9,290110,Amélia Rodrigues,1
10,290115,América Dourada,43
11,290120,Anagé,2
12,290130,Andaraí,2
13,290135,Andorinha,5
14,290140,Angical,486
15,290160,Antas,2
16,290170,Antônio Cardoso,13
17,290195,Apuarema,4
18,290200,Aracatu,5
19,290210,Araci,50
20,290240,Aurelino Leal,5
21,290250,Baianópolis,68
22,290270,Barra,94
23,290280,Barra da Estiva,4
24,290290,Barra do Choça,13
25,290300,Barra do Mendes,221
26,290310,Barra do Rocha,7
27,290320,Barreiras,6642
28,290323,Barro Alto,28
29,290330,Barro Preto,4
30,290327,Barrocas,2
31,290340,Belmonte,5
32,290350,Belo Campo,2
33,290360,Biritinga,1
34,290370,Boa Nova,5
35,290380,Boa Vista do Tupim,1
36,290390,Bom Jesus da Lapa,594
37,290395,Bom Jesus da Serra,1
38,290405,Bonito,4
39,290410,Boquira,18
40,290420,Botuporã,56
41,290430,Brejões,16
42,290440,Brejolândia,3
43,290450,Brotas de Macaúbas,325
44,290460,Brumado,56
45,290470,Buerarema,13
46,290475,Buritirama,11
47,290480,Caatiba,4
48,290490,Cachoeira,2
49,290500,Caculé,3
50,290510,Caém,5
51,290515,Caetanos,9
52,290520,Caetité,12
53,290530,Cafarnaum,84
54,290540,Cairu,1
55,290560,Camacan,8
56,290570,Camaçari,224
57,290580,Camamu,4
58,290590,Campo Alegre de Lourdes,12
59,290600,Campo Formoso,15
60,290610,Canápolis,77
61,290620,Canarana,182
62,290630,Canavieiras,30
63,290640,Candeal,4
64,290650,Candeias,52
65,290660,Candiba,12
66,290670,Cândido Sales,18
67,290680,Cansanção,4
68,290685,Capela do Alto Alegre,2
69,290687,Capim Grosso,1
70,290689,Caraíbas,11
71,290690,Caravelas,34
72,290710,Carinhanha,293
73,290720,Casa Nova,11
74,290730,Castro Alves,2
75,290740,Catolândia,49
76,290750,Catu,19
77,290755,Caturama,12
78,290760,Central,9
79,290780,Cícero Dantas,6
80,290800,Coaraci,282
81,290810,Cocos,46
82,290820,Conceição da Feira,5
83,290830,Conceição do Almeida,5
84,290840,Conceição do Coité,14
85,290850,Conceição do Jacuípe,10
86,290860,Conde,4
87,290870,Condeúba,6
88,290880,Contendas do Sincorá,5
89,290890,Coração de Maria,3
90,290900,Cordeiros,3
91,290910,Coribe,167
92,290920,Coronel João Sá,27
93,290930,Correntina,556
94,290940,Cotegipe,177
95,290970,Cristópolis,65
96,290980,Cruz das Almas,12
97,290990,Curaçá,8
98,291000,Dário Meira,128
99,291005,Dias d'Ávila,25
100,291010,Dom Basílio,10
101,291030,Elísio Medrado,3
102,291040,Encruzilhada,8
103,290050,Érico Cardoso,2
104,291060,Esplanada,10
105,291070,Euclides da Cunha,4
106,291072,Eunápolis,18
107,291075,Fátima,4
108,291077,Feira da Mata,67
109,291080,Feira de Santana,729
110,291085,Filadélfia,1
111,291110,Formosa do Rio Preto,861
112,291120,Gandu,54
113,291130,Gentio do Ouro,19
114,291140,Glória,1
115,291150,Gongogi,1
116,291160,Governador Mangabeira,6
117,291165,Guajeru,1
118,291170,Guanambi,1744
119,291180,Guaratinga,1
120,291185,Heliópolis,1
121,291190,Iaçu,8
122,291200,Ibiassucê,1
123,291210,Ibicaraí,6
124,291220,Ibicoara,6
125,291230,Ibicuí,14
126,291240,Ibipeba,50
127,291250,Ibipitanga,21
128,291270,Ibirapitanga,4
129,291290,Ibirataia,12
130,291300,Ibitiara,13
131,291310,Ibititá,4
132,291320,Ibotirama,603
133,291330,Ichu,2
134,291340,Igaporã,164
135,291350,Iguaí,56
136,291360,Ilhéus,126
137,291370,Inhambupe,18
138,291380,Ipecaetá,2
139,291390,Ipiaú,176
140,291400,Ipirá,5
141,291410,Ipupiara,193
142,291440,Iraquara,3
143,291450,Irará,2
144,291460,Irecê,376
145,291465,Itabela,5
146,291470,Itaberaba,155
147,291480,Itabuna,649
148,291490,Itacaré,5
149,291510,Itagi,7
150,291520,Itagibá,180
151,291535,Itaguaçu da Bahia,34
152,291550,Itajuípe,162
153,291560,Itamaraju,205
154,291570,Itamari,12
155,291580,Itambé,12
156,291590,Itanagra,1
157,291600,Itanhém,1
158,291610,Itaparica,4
159,291620,Itapé,5
