,Codigo,Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,290010,Abaíra,0,0,0,0,1,1,0,0,0,0,0,0
1,290020,Abaré,0,0,1,12,96,188,24,0,0,0,0,0
2,290030,Acajutiba,0,9,1,4,11,8,7,1,3,1,0,0
3,290035,Adustina,4,6,4,11,3,4,2,3,1,2,0,0
4,290040,Água Fria,2,0,0,18,39,29,10,8,0,0,0,0
5,290060,Aiquara,4,0,2,1,3,4,2,0,0,0,0,0
6,290070,Alagoinhas,20,24,14,105,223,358,369,100,23,11,14,14
7,290080,Alcobaça,2,1,8,12,10,7,4,0,0,0,1,0
8,290090,Almadina,0,0,13,20,9,6,1,0,1,0,0,0
9,290100,Amargosa,15,113,489,505,271,60,10,7,1,3,0,0
10,290110,Amélia Rodrigues,5,0,1,7,8,4,4,6,9,0,0,0
11,290115,América Dourada,4,1,0,8,32,19,8,1,3,0,1,1
12,290120,Anagé,0,0,0,10,13,1,0,0,1,0,0,1
13,290130,Andaraí,4,54,19,10,13,19,1,0,0,0,0,0
14,290135,Andorinha,0,0,3,5,19,15,7,5,3,1,1,0
15,290140,Angical,0,0,0,0,3,5,6,3,4,1,1,2
16,290150,Anguera,0,0,1,5,36,43,15,0,5,0,0,1
17,290160,Antas,7,2,18,5,4,3,2,2,0,0,0,1
18,290170,Antônio Cardoso,0,0,4,10,10,8,10,2,0,0,3,0
19,290180,Antônio Gonçalves,1,3,7,10,13,55,12,5,2,2,2,1
20,290190,Aporá,2,3,1,0,11,0,0,0,0,0,0,0
21,290195,Apuarema,1,0,5,14,23,11,8,2,1,3,0,0
22,290205,Araças,1,0,1,1,0,5,2,0,0,0,2,1
23,290200,Aracatu,0,0,3,9,15,6,9,1,2,1,2,8
24,290210,Araci,16,41,64,37,51,67,47,3,9,20,8,10
25,290220,Aramari,0,1,0,1,0,0,0,0,0,0,0,0
26,290225,Arataca,0,0,0,0,2,0,0,0,0,0,0,0
