,Codigo,Município,2020
228,291920,Lauro de Freitas,583
229,291930,Lençóis,161
230,291940,Licínio de Almeida,82
231,291950,Livramento de Nossa Senhora,447
232,291955,Luís Eduardo Magalhães,230
233,291960,Macajuba,151
234,291970,Macarani,151
235,291980,Macaúbas,261
236,291992,Madre de Deus,48
237,291995,Maetinga,7
238,292000,Maiquinique,93
239,292010,Mairi,39
240,292020,Malhada,16
241,292030,Malhada de Pedras,54
242,292040,Manoel Vitorino,337
243,292050,Maracás,239
244,292060,Maragogipe,252
245,292070,Maraú,144
246,292080,Marcionílio Souza,473
247,292090,Mascote,41
248,292100,Mata de São João,107
249,292110,Medeiros Neto,306
250,292120,Miguel Calmon,98
251,292130,Milagres,109
252,292140,Mirangaba,61
253,292145,Mirante,90
254,292150,Monte Santo,7
255,292160,Morpará,204
256,292170,Morro do Chapéu,277
257,292180,Mortugaba,14
258,292200,Mucuri,175
259,292205,Mulungu do Morro,114
260,292210,Mundo Novo,20
261,292220,Muniz Ferreira,5
262,292230,Muritiba,82
263,292240,Mutuípe,37
264,292250,Nazaré,14
265,292260,Nilo Peçanha,97
266,292265,Nordestina,24
267,292270,Nova Canaã,302
268,292273,Nova Fátima,224
269,292275,Nova Ibiá,107
270,292280,Nova Itarana,101
271,292285,Nova Redenção,227
272,292290,Nova Soure,127
273,292300,Nova Viçosa,157
274,292303,Novo Horizonte,13
275,292305,Novo Triunfo,9
276,292310,Olindina,48
277,292320,Oliveira dos Brejinhos,180
278,292330,Ouriçangas,151
279,292335,Ourolândia,209
280,292340,Palmas de Monte Alto,69
281,292350,Palmeiras,177
282,292360,Paramirim,102
283,292370,Paratinga,545
284,292380,Paripiranga,60
285,292390,Pau Brasil,6
286,292400,Paulo Afonso,1809
287,292405,Pé de Serra,274
288,292410,Pedrão,48
289,292420,Pedro Alexandre,1
290,292430,Piatã,1
291,292440,Pilão Arcado,3
292,292450,Pindaí,6
293,292460,Pindobaçu,54
294,292465,Pintadas,10
295,292467,Piraí do Norte,12
296,292470,Piripá,269
297,292480,Piritiba,75
298,292490,Planaltino,6
299,292500,Planalto,119
300,292510,Poções,72
301,292520,Pojuca,408
302,292525,Ponto Novo,43
303,292530,Porto Seguro,603
304,292540,Potiraguá,4
305,292550,Prado,83
306,292560,Presidente Dutra,809
307,292570,Presidente Jânio Quadros,42
308,292575,Presidente Tancredo Neves,45
309,292580,Queimadas,16
310,292590,Quijingue,144
311,292593,Quixabeira,177
312,292595,Rafael Jambeiro,71
313,292600,Remanso,53
314,292610,Retirolândia,51
315,292620,Riachão das Neves,88
316,292630,Riachão do Jacuípe,190
317,292640,Riacho de Santana,94
318,292650,Ribeira do Amparo,1
319,292660,Ribeira do Pombal,421
320,292665,Ribeirão do Largo,76
321,292670,Rio de Contas,22
322,292680,Rio do Antônio,187
323,292690,Rio do Pires,129
324,292700,Rio Real,439
325,292710,Rodelas,8
326,292720,Ruy Barbosa,50
327,292730,Salinas da Margarida,4
328,292740,Salvador,12122
329,292750,Santa Bárbara,75
330,292760,Santa Brígida,8
331,292770,Santa Cruz Cabrália,178
332,292790,Santa Inês,13
333,292805,Santa Luzia,62
334,292810,Santa Maria da Vitória,367
335,292840,Santa Rita de Cássia,306
336,292850,Santa Teresinha,107
337,292800,Santaluz,424
338,292820,Santana,24
339,292830,Santanópolis,94
340,292860,Santo Amaro,106
341,292870,Santo Antônio de Jesus,922
342,292880,Santo Estêvão,371
343,292890,São Desidério,117
344,292895,São Domingos,228
