,Codigo,Município,Em Branco,Ignorado,Masculino,Feminino
158,291330,Ichu,1,1,46,43
159,291340,Igaporã,0,0,2,4
160,291345,Igrapiúna,0,0,3,4
161,291350,Iguaí,0,2,168,189
162,291360,Ilhéus,1,0,253,325
163,291370,Inhambupe,0,0,113,169
164,291380,Ipecaetá,0,0,14,34
165,291390,Ipiaú,0,0,399,499
166,291400,Ipirá,0,0,22,26
167,291410,Ipupiara,0,0,30,41
168,291420,Irajuba,0,0,91,129
169,291430,Iramaia,0,0,66,61
170,291440,Iraquara,0,0,270,463
171,291450,Irará,0,0,226,371
172,291460,Irecê,0,0,279,414
173,291465,Itabela,0,0,5,9
174,291470,Itaberaba,1,3,0,0
175,291480,Itabuna,0,5,460,552
176,291490,Itacaré,0,0,154,192
177,291500,Itaeté,0,0,136,145
178,291510,Itagi,0,0,4,6
179,291520,Itagibá,0,1,95,112
180,291530,Itagimirim,0,0,31,24
181,291535,Itaguaçu da Bahia,0,0,17,26
182,291540,Itaju do Colônia,0,0,3,5
183,291550,Itajuípe,0,0,56,56
184,291560,Itamaraju,0,0,77,82
185,291570,Itamari,0,0,12,16
186,291580,Itambé,0,0,51,83
187,291590,Itanagra,0,0,0,3
188,291600,Itanhém,0,1,258,334
189,291610,Itaparica,0,0,30,46
190,291620,Itapé,0,0,5,7
191,291630,Itapebi,0,0,7,8
192,291640,Itapetinga,0,0,198,243
193,291650,Itapicuru,0,1,81,95
194,291660,Itapitanga,0,0,1,0
195,291670,Itaquara,0,0,58,98
196,291680,Itarantim,0,0,13,17
197,291685,Itatim,0,0,26,33
198,291690,Itiruçu,0,0,58,91
199,291700,Itiúba,0,0,20,40
200,291710,Itororó,0,0,26,44
201,291720,Ituaçu,0,0,36,76
202,291730,Ituberá,0,0,6,7
203,291733,Iuiú,0,0,3,0
204,291735,Jaborandi,0,0,134,205
205,291740,Jacaraci,0,0,248,346
206,291750,Jacobina,0,1,352,472
207,291760,Jaguaquara,0,1,960,0
208,291770,Jaguarari,0,0,139,127
209,291780,Jaguaripe,0,0,3,2
210,291790,Jandaíra,0,0,4,3
211,291800,Jequié,0,7,0,0
212,291810,Jeremoabo,0,0,39,49
213,291820,Jiquiriçá,0,0,9,5
214,291830,Jitaúna,0,0,7,6
215,291835,João Dourado,0,0,23,27
216,291840,Juazeiro,0,0,870,0
217,291850,Jussara,0,0,21,32
218,291855,Jussari,0,0,13,13
219,291860,Jussiape,0,0,25,41
220,291870,Lafaiete Coutinho,0,0,40,66
221,291875,Lagoa Real,0,0,73,76
222,291880,Laje,0,0,50,70
223,291890,Lajedão,0,0,2,2
224,291900,Lajedinho,0,0,4,5
225,291905,Lajedo do Tabocal,0,0,13,21
226,291910,Lamarão,0,0,96,129
227,291915,Lapão,0,0,111,160
228,291920,Lauro de Freitas,0,0,261,322
229,291930,Lençóis,0,6,59,96
230,291940,Licínio de Almeida,0,0,39,43
231,291950,Livramento de Nossa Senhora,0,0,220,227
232,291955,Luís Eduardo Magalhães,0,0,102,128
233,291960,Macajuba,0,0,60,91
234,291970,Macarani,0,0,66,85
235,291980,Macaúbas,0,0,101,160
236,291992,Madre de Deus,0,0,25,23
237,291995,Maetinga,0,0,2,5
238,292000,Maiquinique,0,0,56,37
239,292010,Mairi,0,0,16,23
240,292020,Malhada,0,0,6,10
241,292030,Malhada de Pedras,0,0,25,29
242,292040,Manoel Vitorino,0,0,145,192
243,292050,Maracás,0,0,121,118
244,292060,Maragogipe,0,0,110,142
245,292070,Maraú,0,0,78,66
246,292080,Marcionílio Souza,0,0,217,256
247,292090,Mascote,0,0,19,22
248,292100,Mata de São João,0,0,41,66
