,Codigo,Município,Em Branco,Ignorado,Masculino,Feminino
0,290010,Abaíra,0,0,1,0
1,290020,Abaré,0,0,0,2
2,290030,Acajutiba,0,0,1,2
3,290035,Adustina,0,0,4,5
4,290040,Água Fria,0,0,1,0
5,290060,Aiquara,0,0,3,6
6,290070,Alagoinhas,0,0,37,55
7,290080,Alcobaça,0,0,1,2
8,290100,Amargosa,0,0,4,0
9,290110,Amélia Rodrigues,0,0,1,0
10,290115,América Dourada,0,0,16,27
11,290120,Anagé,0,0,2,0
12,290130,Andaraí,0,0,1,1
13,290135,Andorinha,0,0,2,3
14,290140,Angical,1,0,211,274
15,290160,Antas,0,0,1,1
16,290170,Antônio Cardoso,0,0,6,7
17,290195,Apuarema,0,0,0,4
18,290200,Aracatu,0,0,3,2
19,290210,Araci,0,0,26,24
20,290240,Aurelino Leal,0,0,3,2
21,290250,Baianópolis,0,0,32,36
22,290270,Barra,0,0,31,63
23,290280,Barra da Estiva,0,0,0,4
24,290290,Barra do Choça,1,0,5,7
25,290300,Barra do Mendes,0,0,88,133
26,290310,Barra do Rocha,0,0,4,3
27,290320,Barreiras,0,2,0,0
28,290323,Barro Alto,0,0,12,16
29,290330,Barro Preto,0,0,2,2
30,290327,Barrocas,0,0,1,1
31,290340,Belmonte,0,0,4,1
32,290350,Belo Campo,0,0,1,1
33,290360,Biritinga,0,0,0,1
34,290370,Boa Nova,0,0,1,4
35,290380,Boa Vista do Tupim,0,0,1,0
36,290390,Bom Jesus da Lapa,0,0,224,370
37,290395,Bom Jesus da Serra,0,0,0,1
38,290405,Bonito,0,0,4,0
39,290410,Boquira,0,0,8,10
40,290420,Botuporã,0,0,25,31
41,290430,Brejões,0,0,4,12
42,290440,Brejolândia,0,0,1,2
43,290450,Brotas de Macaúbas,0,0,136,189
44,290460,Brumado,0,0,23,33
45,290470,Buerarema,0,0,5,8
46,290475,Buritirama,0,0,6,5
47,290480,Caatiba,0,0,3,1
48,290490,Cachoeira,0,0,1,1
49,290500,Caculé,0,0,3,0
50,290510,Caém,0,0,1,4
51,290515,Caetanos,0,0,4,5
52,290520,Caetité,0,0,6,6
53,290530,Cafarnaum,0,0,26,58
54,290540,Cairu,0,0,0,1
55,290560,Camacan,0,0,4,4
56,290570,Camaçari,0,4,112,108
57,290580,Camamu,0,0,3,1
58,290590,Campo Alegre de Lourdes,1,0,5,6
59,290600,Campo Formoso,0,0,7,8
60,290610,Canápolis,0,0,31,46
61,290620,Canarana,0,0,76,106
62,290630,Canavieiras,0,0,15,15
63,290640,Candeal,0,0,2,2
64,290650,Candeias,0,0,24,28
65,290660,Candiba,0,0,4,8
66,290670,Cândido Sales,0,0,10,8
67,290680,Cansanção,0,0,1,3
68,290685,Capela do Alto Alegre,0,0,1,1
69,290687,Capim Grosso,0,0,1,0
70,290689,Caraíbas,0,0,7,4
71,290690,Caravelas,0,0,16,18
72,290710,Carinhanha,0,0,123,170
73,290720,Casa Nova,0,0,5,6
74,290730,Castro Alves,0,0,2,0
75,290740,Catolândia,0,0,18,31
76,290750,Catu,0,0,4,15
77,290755,Caturama,0,0,5,7
78,290760,Central,0,0,4,5
79,290780,Cícero Dantas,0,0,0,6
80,290800,Coaraci,0,1,136,145
81,290810,Cocos,0,0,14,32
82,290820,Conceição da Feira,0,0,3,2
83,290830,Conceição do Almeida,0,0,1,4
84,290840,Conceição do Coité,0,0,4,10
85,290850,Conceição do Jacuípe,0,0,7,3
86,290860,Conde,0,0,1,3
87,290870,Condeúba,0,0,4,2
88,290880,Contendas do Sincorá,0,0,3,2
89,290890,Coração de Maria,0,0,1,2
90,290900,Cordeiros,0,0,0,3
91,290910,Coribe,0,0,68,99
92,290920,Coronel João Sá,0,0,13,14
93,290930,Correntina,0,5,218,333
94,290940,Cotegipe,0,0,68,109
95,290970,Cristópolis,0,1,31,33
96,290980,Cruz das Almas,0,0,2,10
97,290990,Curaçá,0,0,3,5
98,291000,Dário Meira,0,0,52,76
99,291005,Dias d'Ávila,0,0,12,13
100,291010,Dom Basílio,0,0,4,6
101,291030,Elísio Medrado,0,0,2,1
102,291040,Encruzilhada,0,0,4,4
103,290050,Érico Cardoso,0,0,0,2
104,291060,Esplanada,0,0,5,5
105,291070,Euclides da Cunha,0,0,4,0
106,291072,Eunápolis,0,0,5,13
107,291075,Fátima,0,0,3,1
108,291077,Feira da Mata,0,0,36,31
109,291080,Feira de Santana,0,1,366,362
110,291085,Filadélfia,0,0,1,0
111,291110,Formosa do Rio Preto,0,0,324,537
112,291120,Gandu,0,0,25,29
113,291130,Gentio do Ouro,0,0,10,9
114,291140,Glória,0,0,0,1
115,291150,Gongogi,0,0,0,1
116,291160,Governador Mangabeira,0,0,2,4
117,291165,Guajeru,0,0,1,0
118,291170,Guanambi,0,3,738,0
119,291180,Guaratinga,0,0,1,0
120,291185,Heliópolis,0,0,0,1
121,291190,Iaçu,0,0,1,7
122,291200,Ibiassucê,0,0,0,1
123,291210,Ibicaraí,0,0,2,4
124,291220,Ibicoara,0,0,2,4
125,291230,Ibicuí,0,0,8,6
126,291240,Ibipeba,0,0,28,22
127,291250,Ibipitanga,0,0,8,13
128,291270,Ibirapitanga,0,0,2,2
129,291290,Ibirataia,0,0,4,8
130,291300,Ibitiara,0,0,4,9
131,291310,Ibititá,0,0,1,3
132,291320,Ibotirama,0,0,210,393
133,291330,Ichu,0,0,2,0
134,291340,Igaporã,0,0,55,109
135,291350,Iguaí,0,0,25,31
136,291360,Ilhéus,0,0,57,69
137,291370,Inhambupe,0,0,5,13
138,291380,Ipecaetá,0,0,2,0
139,291390,Ipiaú,0,0,75,101
140,291400,Ipirá,0,0,3,2
141,291410,Ipupiara,0,0,74,119
142,291440,Iraquara,0,0,2,1
143,291450,Irará,0,0,1,1
144,291460,Irecê,0,0,144,232
145,291465,Itabela,0,0,4,1
146,291470,Itaberaba,0,0,79,76
147,291480,Itabuna,0,4,303,342
148,291490,Itacaré,0,0,2,3
149,291510,Itagi,0,0,1,6
150,291520,Itagibá,0,0,77,103
151,291535,Itaguaçu da Bahia,0,0,14,20
152,291550,Itajuípe,0,1,75,86
153,291560,Itamaraju,0,0,76,129
154,291570,Itamari,0,0,5,7
155,291580,Itambé,0,0,6,6
156,291590,Itanagra,0,0,0,1
157,291600,Itanhém,0,0,0,1
158,291610,Itaparica,0,0,0,4
159,291620,Itapé,0,0,2,3
160,291630,Itapebi,0,0,16,11
161,291640,Itapetinga,0,0,84,133
162,291650,Itapicuru,0,0,4,8
163,291660,Itapitanga,0,0,0,3
164,291670,Itaquara,0,0,0,1
165,291680,Itarantim,0,0,3,1
166,291685,Itatim,0,0,4,5
167,291690,Itiruçu,0,0,24,36
168,291700,Itiúba,0,0,2,0
169,291710,Itororó,0,0,62,66
170,291720,Ituaçu,0,0,0,4
171,291730,Ituberá,0,0,1,5
172,291733,Iuiú,0,0,61,80
173,291735,Jaborandi,0,0,95,86
174,291740,Jacaraci,0,0,5,7
175,291750,Jacobina,0,1,517,650
176,291760,Jaguaquara,0,0,103,169
177,291770,Jaguarari,0,0,3,1
178,291790,Jandaíra,0,0,1,3
179,291800,Jequié,0,1,154,176
180,291810,Jeremoabo,0,0,1,3
181,291830,Jitaúna,0,0,0,1
182,291835,João Dourado,0,0,16,27
183,291840,Juazeiro,0,0,80,65
184,291845,Jucuruçu,0,0,1,0
185,291850,Jussara,0,0,49,83
186,291855,Jussari,0,0,2,1
187,291870,Lafaiete Coutinho,0,0,0,1
188,291875,Lagoa Real,0,0,0,4
189,291880,Laje,0,0,1,0
190,291900,Lajedinho,0,0,1,0
191,291905,Lajedo do Tabocal,0,0,2,1
192,291915,Lapão,0,0,17,26
193,291920,Lauro de Freitas,0,0,35,24
194,291930,Lençóis,0,0,0,5
195,291950,Livramento de Nossa Senhora,0,0,7,10
196,291955,Luís Eduardo Magalhães,0,10,0,0
197,291960,Macajuba,0,0,0,3
198,291970,Macarani,0,0,34,47
199,291980,Macaúbas,0,1,207,325
200,291992,Madre de Deus,0,0,5,8
201,291995,Maetinga,0,0,0,1
202,292000,Maiquinique,0,0,2,4
203,292010,Mairi,0,0,1,1
204,292020,Malhada,0,0,70,96
205,292030,Malhada de Pedras,0,0,3,1
206,292040,Manoel Vitorino,0,0,4,5
207,292045,Mansidão,0,0,113,143
208,292050,Maracás,0,0,18,14
209,292060,Maragogipe,0,0,3,8
210,292080,Marcionílio Souza,0,0,1,0
211,292100,Mata de São João,0,0,1,2
212,292105,Matina,0,3,80,113
213,292120,Miguel Calmon,0,0,33,49
214,292140,Mirangaba,0,0,5,5
215,292145,Mirante,0,0,3,2
216,292160,Morpará,0,0,5,11
217,292170,Morro do Chapéu,0,0,34,52
218,292180,Mortugaba,0,0,1,1
219,292200,Mucuri,0,0,137,117
220,292205,Mulungu do Morro,0,0,4,4
221,292210,Mundo Novo,0,0,0,1
222,292225,Muquém de São Francisco,0,0,131,194
223,292230,Muritiba,0,0,5,4
224,292240,Mutuípe,0,0,0,1
225,292265,Nordestina,0,0,3,8
226,292270,Nova Canaã,0,0,200,365
227,292273,Nova Fátima,0,0,3,0
228,292275,Nova Ibiá,0,0,0,3
229,292280,Nova Itarana,0,0,2,0
230,292290,Nova Soure,0,0,1,4
231,292300,Nova Viçosa,0,0,9,4
232,292303,Novo Horizonte,0,0,4,7
233,292305,Novo Triunfo,0,0,0,1
234,292320,Oliveira dos Brejinhos,0,0,55,80
235,292330,Ouriçangas,0,0,0,1
236,292335,Ourolândia,0,0,154,211
237,292340,Palmas de Monte Alto,0,0,16,30
238,292350,Palmeiras,0,0,0,1
239,292360,Paramirim,0,0,4,5
240,292370,Paratinga,0,0,69,95
241,292380,Paripiranga,0,0,1,0
242,292390,Pau Brasil,0,0,1,4
243,292400,Paulo Afonso,0,0,17,48
244,292405,Pé de Serra,0,0,3,1
245,292440,Pilão Arcado,0,0,2,3
246,292450,Pindaí,0,0,29,45
247,292460,Pindobaçu,0,0,2,0
248,292465,Pintadas,0,0,1,1
249,292470,Piripá,0,0,6,4
