,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
0,Abaíra,0,0,0,0,0,0,0,1,0,0,290010
1,Abaré,0,0,0,0,1,1,0,0,0,0,290020
2,Acajutiba,0,0,0,0,0,3,0,0,0,0,290030
3,Adustina,0,0,0,0,1,4,2,2,0,0,290035
4,Água Fria,1,0,0,0,0,0,0,0,0,0,290040
5,Aiquara,0,0,0,2,0,2,1,4,0,0,290060
6,Alagoinhas,2,1,1,7,8,32,23,14,3,0,290070
7,Alcobaça,1,0,1,0,0,0,1,0,0,0,290080
8,Amargosa,0,1,0,0,0,2,0,0,0,1,290100
9,Amélia Rodrigues,1,0,0,0,0,0,0,0,0,0,290110
10,América Dourada,0,0,2,4,4,12,10,5,6,0,290115
11,Anagé,0,1,0,0,0,0,1,0,0,0,290120
12,Andaraí,0,0,0,1,0,1,0,0,0,0,290130
13,Andorinha,0,0,2,0,0,2,0,1,0,0,290135
14,Angical,10,5,28,37,36,127,120,75,36,12,290140
15,Antas,1,0,0,0,1,0,0,0,0,0,290160
16,Antônio Cardoso,0,0,0,0,1,4,2,4,1,1,290170
17,Apuarema,0,0,1,0,0,2,1,0,0,0,290195
18,Aracatu,0,0,1,0,0,1,1,1,1,0,290200
19,Araci,2,4,2,5,5,13,15,1,3,0,290210
20,Aurelino Leal,1,1,0,0,0,0,1,1,1,0,290240
21,Baianópolis,5,3,5,7,7,11,20,5,5,0,290250
22,Barra,1,1,6,3,5,26,30,16,6,0,290270
23,Barra da Estiva,0,0,0,1,0,0,1,1,1,0,290280
24,Barra do Choça,1,1,0,0,1,5,2,2,1,0,290290
25,Barra do Mendes,2,9,11,19,17,52,55,36,18,2,290300
26,Barra do Rocha,0,0,0,0,2,2,2,1,0,0,290310
27,Barreiras,106,210,426,525,496,0,0,809,291,73,290320
28,Barro Alto,2,0,2,0,6,6,4,3,4,1,290323
29,Barro Preto,1,0,0,0,0,1,1,0,1,0,290330
30,Barrocas,1,0,0,0,0,0,0,1,0,0,290327
31,Belmonte,0,0,0,0,0,2,2,1,0,0,290340
32,Belo Campo,0,0,0,1,0,0,1,0,0,0,290350
33,Biritinga,0,0,0,0,0,1,0,0,0,0,290360
34,Boa Nova,0,0,0,1,1,2,1,0,0,0,290370
35,Boa Vista do Tupim,0,0,1,0,0,0,0,0,0,0,290380
36,Bom Jesus da Lapa,7,22,45,38,53,169,157,81,19,2,290390
37,Bom Jesus da Serra,0,0,0,0,0,0,1,0,0,0,290395
38,Bonito,1,0,0,0,0,0,3,0,0,0,290405
39,Boquira,1,0,2,1,0,9,3,1,1,0,290410
40,Botuporã,0,2,1,6,8,22,11,4,2,0,290420
41,Brejões,0,0,0,1,2,5,5,2,1,0,290430
42,Brejolândia,0,0,0,0,0,1,1,1,0,0,290440
43,Brotas de Macaúbas,9,11,12,28,21,62,81,51,42,8,290450
44,Brumado,1,4,3,3,6,13,14,9,2,1,290460
45,Buerarema,1,2,1,1,1,2,2,2,1,0,290470
46,Buritirama,0,0,1,0,2,2,4,1,1,0,290475
47,Caatiba,0,0,0,0,0,2,2,0,0,0,290480
48,Cachoeira,0,0,0,0,0,0,1,1,0,0,290490
49,Caculé,1,0,0,2,0,0,0,0,0,0,290500
50,Caém,0,0,0,0,2,1,2,0,0,0,290510
51,Caetanos,3,2,0,0,0,1,3,0,0,0,290515
52,Caetité,1,1,0,1,0,4,3,2,0,0,290520
53,Cafarnaum,4,4,9,7,5,27,19,6,2,1,290530
54,Cairu,0,0,0,0,0,0,1,0,0,0,290540
55,Camacan,0,0,0,0,1,2,5,0,0,0,290560
56,Camaçari,5,10,9,10,21,79,65,20,3,1,290570
57,Camamu,1,0,1,0,0,0,1,1,0,0,290580
58,Campo Alegre de Lourdes,0,0,1,0,0,4,3,3,1,0,290590
59,Campo Formoso,3,4,2,0,0,2,3,1,0,0,290600
60,Canápolis,4,0,6,4,9,18,25,9,2,0,290610
61,Canarana,2,4,17,12,18,53,41,26,7,2,290620
62,Canavieiras,0,2,3,3,2,8,7,5,0,0,290630
63,Candeal,0,1,0,0,0,2,1,0,0,0,290640
64,Candeias,1,1,3,6,6,16,15,2,2,0,290650
65,Candiba,1,1,0,0,1,3,3,2,0,1,290660
66,Cândido Sales,0,5,1,2,2,4,2,2,0,0,290670
67,Cansanção,0,1,0,0,0,2,1,0,0,0,290680
68,Capela do Alto Alegre,0,0,0,0,0,1,0,1,0,0,290685
69,Capim Grosso,0,0,0,0,0,1,0,0,0,0,290687
70,Caraíbas,0,1,1,0,2,4,3,0,0,0,290689
71,Caravelas,3,6,4,3,3,8,4,3,0,0,290690
