,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
99,Conceição do Almeida,2,6,5,11,14,45,55,43,24,6,290830
100,Conceição do Coité,17,33,74,63,70,150,142,88,40,10,290840
101,Conceição do Jacuípe,3,28,42,49,49,193,163,69,34,14,290850
102,Conde,1,0,1,3,2,12,11,4,4,0,290860
103,Condeúba,2,4,17,12,41,82,63,23,9,4,290870
104,Contendas do Sincorá,0,2,12,15,18,40,25,7,6,2,290880
105,Coração de Maria,16,8,21,24,26,98,82,55,16,4,290890
106,Cordeiros,1,1,0,0,0,1,0,1,0,0,290900
107,Coribe,4,6,11,20,15,38,39,29,12,1,290910
108,Coronel João Sá,0,4,8,8,5,34,19,6,4,0,290920
109,Correntina,1,5,13,24,54,106,74,36,7,2,290930
110,Cotegipe,3,0,5,3,7,25,23,4,5,1,290940
111,Cravolândia,1,0,3,4,5,21,7,19,5,0,290950
112,Crisópolis,0,0,0,2,2,2,3,1,2,0,290960
113,Cristópolis,0,0,0,0,2,4,3,2,1,0,290970
114,Cruz das Almas,11,18,34,37,36,200,206,130,49,11,290980
115,Curaçá,3,7,10,17,21,76,59,42,5,4,290990
116,Dário Meira,6,6,10,13,13,22,17,7,4,0,291000
117,Dias d'Ávila,8,6,9,9,12,34,48,17,2,1,291005
118,Dom Basílio,0,0,2,11,11,25,26,12,8,0,291010
119,Dom Macedo Costa,0,0,3,1,4,12,8,3,0,0,291020
120,Elísio Medrado,2,0,2,0,5,5,7,2,1,0,291030
121,Encruzilhada,3,4,12,10,17,50,47,17,6,0,291040
122,Entre Rios,6,7,20,21,26,68,33,18,6,0,291050
123,Érico Cardoso,2,0,5,4,4,31,18,9,4,0,290050
124,Esplanada,3,10,18,20,33,63,31,19,9,2,291060
125,Euclides da Cunha,10,17,34,39,42,103,78,51,22,5,291070
126,Eunápolis,15,46,82,84,119,261,125,67,16,5,291072
127,Fátima,6,5,8,19,9,47,47,26,14,3,291075
128,Feira da Mata,0,3,1,1,0,1,4,2,0,0,291077
129,Feira de Santana,237,344,461,487,371,0,0,916,341,98,291080
130,Filadélfia,4,3,11,9,5,18,11,4,5,1,291085
131,Firmino Alves,0,3,5,15,9,33,15,6,4,0,291090
132,Floresta Azul,0,0,0,0,2,3,4,1,0,0,291100
133,Formosa do Rio Preto,0,0,0,0,0,1,0,0,0,0,291110
134,Gandu,0,8,16,23,29,66,75,39,9,2,291120
135,Gavião,2,1,6,4,3,10,8,6,2,0,291125
136,Gentio do Ouro,0,1,2,0,0,7,2,1,0,0,291130
137,Glória,0,1,2,3,6,13,9,3,1,1,291140
138,Gongogi,0,0,1,2,2,4,5,3,1,0,291150
139,Governador Mangabeira,1,2,7,7,13,52,37,28,15,3,291160
140,Guajeru,1,1,1,0,2,7,3,4,0,0,291165
141,Guanambi,18,20,33,50,67,167,141,90,38,15,291170
142,Guaratinga,3,2,1,3,3,4,2,0,0,0,291180
143,Heliópolis,1,0,2,2,4,10,4,2,0,0,291185
144,Iaçu,5,8,11,21,14,78,88,51,20,5,291190
145,Ibiassucê,3,7,19,20,27,75,78,48,19,3,291200
146,Ibicaraí,6,6,31,24,13,23,16,6,4,4,291210
147,Ibicoara,0,0,0,1,1,5,4,1,0,0,291220
148,Ibicuí,2,8,6,16,35,42,31,20,3,1,291230
149,Ibipeba,4,3,5,4,9,26,21,30,13,1,291240
150,Ibipitanga,2,2,14,19,27,87,67,38,24,4,291250
151,Ibiquera,2,4,6,8,12,20,16,12,1,0,291260
152,Ibirapitanga,0,2,5,10,12,27,17,8,3,0,291270
153,Ibirapuã,1,2,3,4,2,12,11,8,1,1,291280
154,Ibirataia,10,11,28,34,46,79,60,27,12,4,291290
155,Ibitiara,2,1,4,6,4,12,17,10,5,3,291300
156,Ibititá,0,3,7,7,11,37,22,15,14,1,291310
157,Ibotirama,3,4,2,6,11,30,23,4,4,0,291320
158,Ichu,1,0,4,5,11,18,24,13,12,3,291330
159,Igaporã,0,0,0,1,1,2,2,0,0,0,291340
160,Igrapiúna,0,1,0,1,1,2,1,1,0,0,291345
161,Iguaí,3,7,38,31,58,100,65,35,18,4,291350
162,Ilhéus,8,10,22,38,70,195,144,66,20,5,291360
163,Inhambupe,3,9,16,24,26,76,74,37,15,2,291370
164,Ipecaetá,1,2,2,3,4,10,13,10,2,1,291380
165,Ipiaú,5,28,62,70,114,289,195,99,30,6,291390
166,Ipirá,5,2,3,6,4,9,11,8,0,0,291400
167,Ipupiara,1,1,6,4,4,26,22,4,2,1,291410
168,Irajuba,4,7,14,15,16,45,52,42,18,7,291420
169,Iramaia,4,2,11,12,15,37,29,9,7,0,291430
170,Iraquara,2,16,28,47,48,218,179,107,72,16,291440
171,Irará,3,21,29,47,52,159,135,96,41,14,291450
172,Irecê,8,13,35,41,51,180,207,119,30,9,291460
173,Itabela,0,1,3,1,1,2,3,1,0,2,291465
