,Município,Em Branco,Ignorado,Masculino,Feminino
0,Alagoinhas,0,0,15,24
1,América Dourada,0,0,2,3
2,Andorinha,0,0,1,0
3,Angical,0,0,0,2
4,Antônio Cardoso,0,0,0,1
5,Araci,0,0,1,4
6,Barra,0,0,3,3
7,Barra do Choça,0,0,1,0
8,Barra do Mendes,0,0,0,1
9,Barreiras,0,0,9,12
10,Boa Vista do Tupim,0,0,0,1
11,Bom Jesus da Lapa,0,0,1,3
12,Boquira,0,0,0,2
13,Botuporã,0,0,1,1
14,Brotas de Macaúbas,0,0,3,4
15,Brumado,0,0,2,9
16,Cabaceiras do Paraguaçu,0,0,0,1
17,Caculé,0,0,1,0
18,Caetité,0,0,1,4
19,Cafarnaum,0,0,0,5
20,Camacan,0,0,0,1
21,Camaçari,0,0,17,25
22,Campo Alegre de Lourdes,0,0,5,7
23,Candeias,0,0,0,4
24,Candiba,0,0,0,1
25,Cândido Sales,0,0,5,6
26,Carinhanha,0,0,14,22
27,Catolândia,0,0,1,0
28,Catu,0,0,2,15
29,Caturama,0,0,1,2
30,Cícero Dantas,0,0,0,1
31,Coaraci,0,0,1,1
32,Cocos,0,0,0,1
33,Conceição do Jacuípe,0,0,1,1
34,Conde,0,0,0,1
35,Condeúba,0,0,1,3
36,Contendas do Sincorá,0,0,1,0
37,Cordeiros,0,0,2,3
38,Cotegipe,0,0,2,11
39,Cruz das Almas,0,0,0,1
40,Dário Meira,0,0,6,8
41,Dias d'Ávila,0,0,2,4
42,Dom Basílio,0,0,1,1
43,Érico Cardoso,0,0,0,1
44,Esplanada,0,0,3,1
45,Feira de Santana,0,0,10,31
46,Formosa do Rio Preto,0,0,0,3
47,Glória,0,0,0,1
48,Guanambi,0,0,133,225
49,Iaçu,0,0,1,1
50,Ibicoara,0,0,1,1
51,Ibipitanga,0,0,2,5
52,Ibotirama,0,0,18,51
53,Igaporã,0,0,0,1
54,Ilhéus,0,0,1,4
55,Inhambupe,0,0,2,5
56,Ipiaú,0,0,2,3
57,Ipirá,0,0,1,0
58,Ipupiara,0,0,2,5
59,Irecê,0,0,0,1
60,Itaberaba,0,0,3,1
61,Itabuna,0,0,16,31
62,Itagi,0,0,1,1
63,Itaguaçu da Bahia,0,0,1,1
64,Itajuípe,0,0,4,3
65,Itamari,0,0,0,1
66,Itanhém,0,0,0,1
67,Itaparica,0,0,1,0
68,Itapetinga,0,0,8,21
69,Itapicuru,0,0,0,1
70,Itarantim,0,0,1,1
71,Itatim,0,0,1,1
72,Itiruçu,0,0,2,5
73,Itororó,0,0,1,3
74,Jaborandi,0,0,0,2
75,Jacaraci,0,0,0,2
76,Jacobina,0,0,6,12
77,Jaguaquara,0,0,4,2
78,Jandaíra,0,0,1,0
79,Jequié,0,0,11,26
80,Jiquiriçá,0,0,0,1
81,Jitaúna,0,0,0,1
82,Juazeiro,0,0,2,5
83,Jussara,0,0,0,2
84,Lapão,0,0,1,0
85,Lauro de Freitas,0,0,2,1
86,Livramento de Nossa Senhora,0,0,0,2
87,Luís Eduardo Magalhães,0,0,28,40
88,Macaúbas,0,0,49,133
89,Maiquinique,0,0,0,1
90,Malhada de Pedras,0,0,0,1
91,Manoel Vitorino,0,0,1,3
92,Mansidão,0,0,1,0
93,Maracás,0,0,0,1
94,Mata de São João,0,0,1,0
95,Matina,0,0,0,1
96,Miguel Calmon,0,0,6,8
97,Milagres,0,0,1,0
98,Morro do Chapéu,0,0,0,2
99,Mucuri,0,0,0,1
100,Mulungu do Morro,0,0,0,2
101,Muquém de São Francisco,0,0,1,2
102,Muritiba,0,0,3,1
103,Nova Canaã,0,0,6,31
104,Nova Fátima,0,0,0,1
105,Ourolândia,0,0,1,7
106,Paulo Afonso,0,0,5,9
107,Pindaí,0,0,5,1
108,Piritiba,0,0,1,0
109,Poções,0,0,2,4
110,Porto Seguro,0,0,0,1
111,Prado,0,0,0,1
112,Presidente Dutra,0,0,1,3
113,Presidente Tancredo Neves,0,0,0,2
114,Remanso,0,0,0,1
115,Riachão do Jacuípe,0,0,2,1
116,Rio de Contas,0,0,1,0
117,Rio do Pires,0,0,42,46
118,Rio Real,0,0,11,12
119,Salvador,0,0,43,69
120,Santa Cruz Cabrália,0,0,1,2
121,Santa Maria da Vitória,0,0,0,1
122,Santo Estêvão,0,0,3,2
123,São Desidério,0,0,118,131
124,São Domingos,0,0,0,1
125,São Felipe,0,0,0,2
126,São Félix do Coribe,0,0,1,0
127,São Gabriel,0,0,1,2
128,São José da Vitória,0,0,0,1
129,Sátiro Dias,0,0,1,0
130,Saubara,0,0,1,0
131,Seabra,0,0,3,6
132,Sebastião Laranjeiras,0,0,1,0
133,Senhor do Bonfim,0,0,0,1
134,Serrolândia,0,0,0,3
135,Simões Filho,0,0,2,0
136,Tanquinho,0,0,0,1
137,Tapiramutá,0,0,1,0
138,Teixeira de Freitas,0,0,2,16
139,Teolândia,0,0,3,0
140,Uibaí,0,0,0,1
141,Una,0,0,0,1
142,Urandi,0,0,1,1
143,Uruçuca,0,0,1,0
144,Valença,0,0,0,2
145,Valente,0,0,1,0
146,Várzea Nova,0,0,47,91
147,Vera Cruz,0,0,0,2
148,Vitória da Conquista,0,0,18,34
149,Xique-Xique,0,0,1,2
