,Município,Em Branco,Ignorado,Masculino,Feminino
0,Água Fria,0,0,1,0
1,Alagoinhas,0,0,1,2
2,América Dourada,0,0,5,13
3,Anguera,0,0,1,2
4,Antas,0,0,0,3
5,Antônio Gonçalves,0,0,0,1
6,Arataca,0,0,0,1
7,Baixa Grande,0,0,0,2
8,Barra,0,0,1,7
9,Barreiras,0,0,15,59
10,Barrocas,0,0,1,0
11,Belmonte,0,0,9,19
12,Bom Jesus da Lapa,0,0,5,12
13,Bom Jesus da Serra,0,0,0,1
14,Boninal,0,0,0,1
15,Bonito,0,0,1,0
16,Boquira,0,0,2,3
17,Botuporã,0,0,0,1
18,Brejões,0,0,1,0
19,Brotas de Macaúbas,0,0,1,1
20,Brumado,0,0,0,4
21,Buritirama,0,0,1,3
22,Caculé,0,0,1,0
23,Caetité,0,0,1,0
24,Cafarnaum,0,0,0,1
25,Camaçari,0,0,14,25
26,Campo Formoso,0,0,0,1
27,Canavieiras,0,0,0,1
28,Candeias,0,0,0,5
29,Casa Nova,0,0,15,22
30,Catu,0,0,1,0
31,Cipó,0,0,0,1
32,Coaraci,0,0,1,1
33,Conde,0,0,2,0
34,Condeúba,0,0,2,1
35,Cotegipe,0,0,19,38
36,Cristópolis,0,0,1,0
37,Curaçá,0,0,0,1
38,Dias d'Ávila,0,0,3,4
39,Dom Basílio,0,0,0,3
40,Esplanada,0,0,1,0
41,Eunápolis,0,0,2,6
42,Feira de Santana,0,0,42,81
43,Governador Mangabeira,0,0,0,1
44,Guanambi,0,0,2,6
45,Ibipitanga,0,0,0,1
46,Ibotirama,0,0,1,2
47,Igaporã,0,0,1,0
48,Ilhéus,0,0,2,4
49,Ipirá,0,0,6,12
50,Irará,0,0,0,1
51,Irecê,0,0,0,1
52,Itabela,0,0,1,3
53,Itabuna,0,0,1,2
54,Itajuípe,0,0,1,0
55,Itamaraju,0,0,3,3
56,Itanhém,0,0,1,0
57,Itatim,0,0,0,1
58,Jaborandi,0,0,3,5
59,Jacaraci,0,0,1,0
60,Jacobina,0,0,2,1
61,Jaguaquara,0,0,1,0
62,Jaguarari,0,0,0,4
63,Juazeiro,0,0,2,6
64,Jussiape,0,0,0,5
65,Lauro de Freitas,0,0,0,4
66,Livramento de Nossa Senhora,0,0,0,1
67,Luís Eduardo Magalhães,0,0,0,1
68,Macaúbas,0,0,2,8
69,Madre de Deus,0,0,1,1
70,Malhada,0,0,8,5
71,Manoel Vitorino,0,0,0,4
72,Maracás,0,0,2,2
73,Marcionílio Souza,0,0,1,0
74,Mata de São João,0,0,0,1
75,Miguel Calmon,0,0,0,1
76,Mirante,0,0,0,1
77,Morpará,0,0,0,2
78,Morro do Chapéu,0,0,0,2
79,Mucugê,0,0,0,1
80,Mucuri,0,0,0,1
81,Muritiba,0,0,0,1
82,Mutuípe,0,0,0,1
83,Nova Fátima,0,0,4,7
84,Nova Itarana,0,0,0,1
85,Ourolândia,0,0,2,0
86,Palmas de Monte Alto,0,0,1,0
87,Paramirim,0,0,32,61
88,Paratinga,0,0,25,75
89,Paripiranga,0,0,0,1
90,Paulo Afonso,0,0,4,2
91,Pé de Serra,0,0,105,235
92,Pedrão,0,0,0,1
93,Planaltino,0,0,0,1
94,Poções,0,0,0,1
95,Pojuca,0,0,0,1
96,Porto Seguro,0,0,3,17
97,Prado,0,0,1,0
98,Presidente Tancredo Neves,0,0,0,3
99,Queimadas,0,0,1,0
100,Remanso,0,0,7,11
101,Riachão das Neves,0,0,0,1
102,Riachão do Jacuípe,0,0,22,31
103,Riacho de Santana,0,0,5,2
104,Ribeira do Pombal,0,0,9,14
105,Rio Real,0,0,1,1
106,Rodelas,0,0,1,0
107,Salvador,0,1,60,81
108,Santa Bárbara,0,0,0,2
109,Santa Cruz Cabrália,0,0,1,2
110,Santa Luzia,0,0,1,0
111,Santa Maria da Vitória,0,0,0,1
112,Santaluz,0,0,1,1
113,Santo Estêvão,0,0,2,3
114,São Desidério,0,0,0,2
115,São Felipe,0,0,4,4
116,São Félix do Coribe,0,0,0,1
117,São Francisco do Conde,0,0,1,0
118,São Sebastião do Passé,0,0,1,0
119,Senhor do Bonfim,0,0,1,1
120,Sento Sé,0,0,0,1
121,Serra do Ramalho,0,0,0,2
122,Serra Dourada,0,0,0,4
123,Serra Preta,0,0,0,2
124,Serrolândia,0,0,3,1
125,Sítio do Mato,0,0,1,1
126,Sobradinho,0,0,1,1
127,Tanquinho,0,0,3,3
128,Taperoá,0,0,0,3
129,Teixeira de Freitas,0,0,12,27
130,Teofilândia,0,0,0,1
131,Tucano,0,0,0,1
132,Uauá,0,0,0,1
133,Una,0,0,0,2
134,Utinga,0,0,1,0
135,Valença,0,0,5,0
136,Várzea Nova,0,0,1,0
137,Vera Cruz,0,0,0,5
138,Vitória da Conquista,0,0,4,11
