,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaré,1,1,0,0,0,2,1,1,0,0
1,Água Fria,0,0,1,0,0,1,0,2,0,0
2,Aiquara,1,3,0,9,4,9,17,8,0,0
3,Alagoinhas,3,8,6,2,6,22,16,15,5,1
4,Alcobaça,1,2,3,3,6,12,5,8,1,0
5,Almadina,0,1,2,1,3,2,6,4,0,1
6,Amargosa,1,2,2,2,2,6,8,9,2,0
7,América Dourada,4,12,14,13,7,42,24,2,0,0
8,Andaraí,0,0,0,0,0,1,2,2,1,0
9,Andorinha,0,1,1,0,0,2,1,0,0,0
10,Angical,0,0,0,0,0,1,0,0,0,0
11,Anguera,0,1,0,2,0,6,1,1,1,0
12,Antas,1,0,2,2,5,17,15,11,4,1
13,Antônio Cardoso,0,0,0,1,0,2,0,0,0,0
14,Antônio Gonçalves,2,2,8,10,6,24,20,12,9,0
15,Aporá,1,0,0,1,1,3,2,0,1,0
16,Apuarema,0,0,0,0,0,3,2,0,0,0
17,Aracatu,0,1,0,0,0,1,1,0,0,0
18,Araci,0,0,0,0,0,1,0,1,0,0
19,Arataca,0,1,2,1,4,13,11,7,2,0
20,Aratuípe,0,0,0,0,0,1,0,0,0,0
21,Aurelino Leal,0,0,0,0,0,1,1,1,0,0
22,Baixa Grande,0,0,0,2,3,3,2,2,0,1
23,Banzaê,0,3,0,0,0,1,0,0,0,0
24,Barra,1,0,1,1,2,7,3,1,2,0
25,Barra da Estiva,0,0,1,1,0,3,7,0,0,0
26,Barra do Choça,0,1,6,5,4,6,5,0,1,0
27,Barra do Mendes,0,0,0,0,1,1,0,0,0,0
28,Barra do Rocha,0,3,4,3,2,17,12,6,3,0
29,Barreiras,7,8,10,9,13,30,29,8,4,0
30,Barro Preto,3,2,6,6,10,35,29,13,4,2
31,Barrocas,2,1,1,1,7,10,13,5,2,1
32,Belmonte,2,3,0,2,3,13,6,6,4,1
33,Belo Campo,0,1,0,2,0,2,2,1,0,0
34,Boa Nova,0,3,7,3,4,7,4,0,0,0
35,Boa Vista do Tupim,15,8,22,19,47,69,46,35,20,5
36,Bom Jesus da Lapa,0,1,0,0,0,6,5,0,5,0
37,Bom Jesus da Serra,0,0,0,0,0,1,0,0,0,0
38,Boninal,0,0,1,0,0,3,0,1,0,0
39,Bonito,0,1,1,0,3,2,0,0,0,0
40,Boquira,1,1,3,4,4,12,16,2,3,0
41,Botuporã,2,5,4,16,10,28,31,14,6,1
42,Brejões,2,0,2,4,3,15,11,2,2,0
43,Brotas de Macaúbas,1,2,0,2,2,14,7,7,0,0
44,Brumado,16,67,62,49,60,194,188,86,18,0
45,Buerarema,12,19,21,11,35,68,77,65,43,9
46,Buritirama,0,0,0,0,0,2,2,1,0,0
47,Caatiba,0,0,0,0,2,11,4,0,0,0
48,Cabaceiras do Paraguaçu,4,3,4,5,3,18,12,3,2,0
49,Cachoeira,1,1,2,2,3,7,5,4,0,0
50,Caculé,3,1,7,5,12,24,17,7,1,0
51,Caém,0,0,0,2,1,3,1,1,0,0
52,Caetanos,1,0,1,0,0,1,4,1,1,0
53,Caetité,0,0,0,0,6,11,6,1,1,1
54,Cafarnaum,1,2,1,1,1,3,0,0,0,0
55,Cairu,2,0,0,1,2,3,3,0,0,0
56,Caldeirão Grande,6,7,5,14,10,41,26,13,7,2
57,Camacan,6,8,10,29,27,141,67,50,35,11
58,Camaçari,4,5,4,4,3,20,10,4,1,0
59,Camamu,3,10,7,8,12,41,39,19,10,10
60,Campo Alegre de Lourdes,0,0,0,1,0,1,1,0,0,0
61,Campo Formoso,8,47,48,90,93,228,229,126,79,21
62,Canavieiras,2,0,0,3,2,20,14,11,4,0
63,Candeal,1,0,0,0,0,0,1,0,0,0
64,Candeias,14,16,16,12,11,35,21,10,4,1
65,Candiba,2,0,0,0,0,0,0,0,0,0
66,Cândido Sales,11,9,14,19,18,37,41,22,10,4
67,Cansanção,7,9,19,18,51,104,48,32,14,1
68,Canudos,1,3,10,10,19,37,38,31,19,3
69,Capela do Alto Alegre,0,0,0,2,1,2,4,2,0,1
70,Capim Grosso,3,2,3,8,10,26,21,15,13,1
