,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Acajutiba,0,0,1,0,0,0,0,2,0,0
1,Adustina,1,0,2,0,0,0,0,0,0,0
2,Água Fria,0,0,0,0,0,0,0,1,0,0
3,Alagoinhas,1,3,2,1,4,18,9,5,1,0
4,América Dourada,1,1,1,5,0,1,2,2,0,0
5,Andorinha,0,0,0,1,0,3,3,0,0,0
6,Anguera,0,0,0,0,1,2,0,0,1,0
7,Antônio Cardoso,0,0,0,0,0,2,0,0,0,0
8,Apuarema,0,0,0,0,0,0,1,0,0,0
9,Aracatu,0,0,0,0,0,1,0,0,0,0
10,Araci,0,0,0,0,0,0,0,1,0,0
11,Barra,0,0,1,0,0,1,1,0,0,0
12,Barra do Choça,0,0,0,0,0,0,0,1,0,0
13,Barra do Mendes,0,0,1,0,0,0,2,0,0,0
14,Barra do Rocha,0,0,0,0,0,0,1,0,0,0
15,Barreiras,2,5,4,5,4,21,8,1,0,0
16,Barrocas,1,0,0,0,0,0,0,0,0,0
17,Belmonte,0,0,1,0,1,2,0,0,0,0
18,Belo Campo,2,1,0,0,0,0,0,0,0,0
19,Boa Nova,0,0,1,0,0,0,0,0,0,0
20,Bom Jesus da Lapa,0,0,0,0,0,0,0,1,0,0
21,Boninal,0,0,1,0,0,0,1,0,0,0
22,Bonito,0,0,1,0,0,0,0,0,0,0
23,Boquira,0,0,0,1,2,2,3,1,0,0
24,Botuporã,0,0,0,0,0,0,0,1,0,0
25,Brotas de Macaúbas,1,1,1,2,2,3,2,2,0,0
26,Brumado,0,3,2,0,2,2,10,1,0,0
27,Buritirama,0,0,0,0,0,1,0,0,0,0
28,Caatiba,0,0,0,0,0,0,1,0,0,0
29,Cachoeira,0,0,0,0,0,1,0,0,0,0
30,Caém,0,2,0,0,0,0,0,1,0,0
31,Caetité,0,0,0,0,0,0,0,1,0,0
32,Cairu,0,0,0,0,0,0,1,0,0,0
33,Camacan,0,0,0,0,1,0,0,0,0,0
34,Camaçari,7,33,16,13,9,32,19,16,3,0
35,Campo Alegre de Lourdes,0,0,0,0,0,0,1,0,0,0
36,Campo Formoso,0,0,0,0,1,1,1,0,0,0
37,Candeal,0,0,0,0,0,1,0,0,0,0
38,Candeias,1,0,0,1,1,4,2,2,1,0
39,Cândido Sales,0,2,0,0,0,1,2,0,0,0
40,Cansanção,0,0,0,0,0,2,1,1,0,0
41,Capela do Alto Alegre,0,0,0,1,0,1,2,0,0,0
42,Capim Grosso,1,0,1,0,1,7,3,1,0,0
43,Caravelas,0,0,0,1,0,0,0,0,0,0
44,Casa Nova,0,0,0,0,1,1,1,0,0,0
45,Catu,0,0,1,2,2,5,5,0,0,0
46,Chorrochó,0,0,0,0,0,1,0,0,0,0
47,Cipó,0,0,0,0,0,1,0,0,0,0
48,Conceição do Almeida,0,0,0,0,0,0,1,0,0,0
49,Conceição do Jacuípe,0,2,3,3,0,1,1,0,0,0
50,Conde,0,2,1,2,2,10,4,2,1,0
51,Contendas do Sincorá,0,0,0,0,0,0,1,0,0,0
52,Cotegipe,2,0,0,1,0,7,4,1,0,0
53,Crisópolis,0,1,0,0,0,0,0,1,0,0
54,Cruz das Almas,0,0,0,0,0,2,1,0,0,0
55,Dias d'Ávila,0,1,0,1,3,5,4,1,0,1
56,Dom Basílio,0,0,0,1,0,1,1,0,0,0
57,Entre Rios,0,0,1,2,2,4,6,1,1,1
58,Érico Cardoso,0,0,0,0,1,3,1,0,1,0
59,Esplanada,4,15,22,19,23,74,48,36,10,1
60,Euclides da Cunha,1,2,0,2,1,5,2,0,0,0
61,Eunápolis,0,1,1,0,0,6,3,0,0,0
62,Feira de Santana,6,3,6,4,1,12,9,5,1,0
63,Filadélfia,0,1,0,0,1,2,3,3,2,0
64,Formosa do Rio Preto,0,0,1,0,0,0,0,0,0,0
65,Gavião,1,1,1,3,1,6,4,3,0,0
66,Governador Mangabeira,0,0,0,0,0,0,2,0,0,0
67,Guajeru,0,0,0,0,0,0,2,0,0,0
68,Guanambi,0,1,2,0,0,1,1,0,0,0
69,Heliópolis,0,1,0,0,0,0,0,0,0,0
70,Iaçu,0,0,0,0,0,0,3,1,0,0
71,Ibicoara,0,0,1,0,2,2,2,0,0,0
72,Ibipitanga,1,1,1,4,5,11,9,2,0,0
73,Ibirataia,0,0,0,0,1,0,0,0,0,0
74,Ibititá,0,1,0,0,0,0,0,0,0,0
75,Ibotirama,0,0,0,0,0,1,1,0,0,0
76,Ilhéus,0,0,0,1,1,2,3,1,3,0
77,Inhambupe,1,2,5,1,2,7,2,2,1,0
78,Ipecaetá,0,0,0,0,0,0,0,0,1,0
79,Irará,0,0,0,0,0,0,1,0,0,0
80,Irecê,0,0,0,1,0,1,0,0,0,0
81,Itabela,0,0,0,1,0,1,1,1,0,0
82,Itaberaba,0,0,3,2,3,4,3,5,1,0
83,Itabuna,0,1,1,2,0,5,5,2,2,0
84,Itagi,0,0,0,0,0,1,0,0,0,0
85,Itajuípe,2,0,0,0,0,0,0,1,0,0
86,Itamaraju,0,0,0,0,0,0,0,1,0,0
87,Itanagra,0,0,0,0,0,1,0,0,0,0
88,Itaparica,0,1,1,1,1,0,1,0,0,0
89,Itapetinga,0,0,0,0,0,1,0,0,0,0
90,Itapicuru,0,0,0,1,0,1,0,0,0,0
91,Itatim,0,1,0,0,0,0,0,0,0,0
92,Ituberá,0,0,1,0,0,1,0,0,0,0
93,Jaborandi,0,0,0,0,0,0,1,1,0,0
94,Jacaraci,0,0,0,1,0,0,1,0,0,0
95,Jacobina,0,1,5,0,2,5,3,1,0,0
96,Jaguaquara,1,3,0,1,0,3,2,0,1,0
97,Jaguarari,0,0,0,0,0,0,1,0,0,0
98,Jandaíra,0,0,0,0,1,2,0,0,0,0
99,Jequié,2,1,1,3,6,6,2,1,1,0
100,Juazeiro,1,5,1,2,4,4,9,6,0,0
101,Jussiape,0,0,0,0,0,2,0,0,0,0
102,Lapão,2,3,0,7,13,26,19,3,2,0
103,Lauro de Freitas,0,0,3,1,0,4,2,2,2,0
104,Lençóis,1,1,0,0,1,2,0,1,0,0
105,Licínio de Almeida,0,0,1,0,0,0,0,0,0,0
106,Livramento de Nossa Senhora,0,0,2,0,0,1,2,0,0,0
107,Luís Eduardo Magalhães,0,0,1,0,1,0,4,0,0,0
108,Macaúbas,1,4,1,3,6,8,8,3,0,0
109,Madre de Deus,1,1,0,0,0,2,2,1,1,0
110,Maetinga,1,0,0,0,0,0,0,0,0,0
111,Mairi,0,0,0,0,0,1,0,0,0,0
112,Malhada,0,0,1,0,0,0,0,0,0,0
113,Manoel Vitorino,0,0,0,0,0,0,1,0,0,0
114,Maracás,1,0,1,1,0,1,2,0,3,0
115,Maragogipe,0,0,0,0,0,0,0,1,0,0
116,Mascote,0,0,0,0,0,1,0,0,1,0
117,Mata de São João,0,1,1,0,0,4,5,0,0,0
118,Miguel Calmon,0,0,0,0,0,1,0,0,0,0
119,Mirangaba,0,0,1,0,0,1,1,0,0,0
120,Monte Santo,0,0,0,0,0,1,0,0,0,0
121,Morpará,1,18,3,0,1,1,0,0,0,0
122,Morro do Chapéu,1,0,2,2,1,6,2,2,1,0
123,Mucuri,0,1,4,2,2,9,3,1,1,0
124,Muritiba,0,0,0,0,0,5,3,1,2,0
125,Mutuípe,0,0,2,0,0,3,0,0,1,0
126,Nova Fátima,0,1,1,1,2,3,6,2,1,0
127,Nova Viçosa,0,0,0,1,0,0,1,2,0,0
128,Novo Horizonte,0,0,1,0,0,0,1,0,0,0
129,Oliveira dos Brejinhos,0,0,0,0,0,0,1,0,0,0
130,Ourolândia,0,0,0,0,0,1,2,0,0,0
131,Palmeiras,0,0,1,0,1,1,1,0,0,0
132,Paramirim,1,3,5,7,8,45,43,18,9,1
133,Paratinga,1,0,0,0,1,1,0,0,0,0
134,Paulo Afonso,0,0,2,0,0,3,1,0,0,0
135,Pé de Serra,1,2,1,0,2,0,1,0,0,0
136,Piatã,0,0,0,0,0,0,1,0,0,0
137,Pintadas,0,0,1,3,0,2,1,0,0,0
138,Piritiba,0,0,1,0,0,0,0,1,0,0
139,Pojuca,0,0,0,1,0,0,0,0,0,0
140,Ponto Novo,2,2,3,1,1,3,2,1,0,0
141,Porto Seguro,1,1,2,5,3,10,7,6,1,0
142,Prado,0,0,0,0,1,1,0,0,0,0
143,Presidente Dutra,0,0,0,0,0,1,0,0,0,0
144,Presidente Jânio Quadros,1,0,0,0,1,0,2,0,0,0
145,Presidente Tancredo Neves,0,1,0,0,1,3,1,2,0,0
146,Quijingue,0,0,0,0,0,0,0,1,0,0
147,Rafael Jambeiro,1,1,0,0,0,0,3,2,0,0
148,Remanso,0,2,1,0,1,4,2,1,1,0
149,Riachão do Jacuípe,0,13,11,8,22,27,28,16,4,1
150,Ribeira do Pombal,0,0,0,0,0,1,0,0,0,0
151,Rio Real,9,20,29,34,41,90,62,23,8,3
152,Rodelas,0,0,0,0,0,1,0,0,0,0
153,Ruy Barbosa,0,0,0,1,0,3,0,1,0,0
154,Salvador,58,110,103,82,79,219,162,79,30,3
155,Santa Bárbara,0,2,7,11,14,30,20,10,0,1
156,Santa Luzia,0,0,0,0,1,0,0,0,0,0
157,Santaluz,0,0,0,0,0,1,0,0,0,0
158,Santanópolis,0,0,0,3,1,2,2,4,2,0
159,Santo Amaro,0,0,0,1,0,3,3,1,1,0
160,Santo Antônio de Jesus,1,0,0,2,0,1,2,1,0,0
161,Santo Estêvão,2,4,2,4,2,5,9,4,0,0
162,São Desidério,1,3,1,0,0,1,0,1,1,0
163,São Francisco do Conde,0,2,7,3,0,17,5,9,0,0
164,São Gonçalo dos Campos,0,0,0,0,0,1,0,0,0,0
165,São José do Jacuípe,0,0,0,1,0,0,0,0,0,0
166,São Sebastião do Passé,0,0,0,0,1,5,3,2,1,0
167,Seabra,1,0,6,1,2,9,5,4,1,0
168,Sebastião Laranjeiras,0,0,0,0,0,1,2,1,0,0
169,Senhor do Bonfim,2,0,1,0,0,0,1,1,0,0
170,Serra Dourada,1,0,0,1,0,0,1,1,0,0
171,Serrinha,0,0,1,0,0,0,0,0,0,0
172,Serrolândia,0,0,0,0,2,3,4,2,0,0
173,Simões Filho,3,12,6,0,4,15,17,4,0,0
174,Tanquinho,0,0,0,0,0,0,1,0,0,0
175,Taperoá,1,0,0,0,0,0,0,0,0,0
176,Teixeira de Freitas,0,0,0,0,0,3,3,1,0,0
177,Teodoro Sampaio,0,0,0,0,0,2,0,0,0,0
178,Terra Nova,0,0,0,0,0,1,0,0,0,0
179,Tremedal,1,0,0,0,0,0,0,0,0,0
180,Tucano,0,0,1,2,1,2,2,0,0,0
181,Uauá,0,0,0,0,0,2,0,0,0,0
182,Ubaíra,0,0,1,1,2,6,1,1,0,0
183,Ubaitaba,0,0,1,1,0,0,0,0,0,0
184,Ubatã,0,0,0,0,1,0,0,0,0,0
