,Codigo,Município,2016,2017,2018,2019,2020,2021
132,291185,Heliópolis,8,0,0,1,0,0
133,291190,Iaçu,65,0,0,4,24,2
134,291200,Ibiassucê,10,2,0,0,0,0
135,291210,Ibicaraí,74,1,0,0,0,0
136,291220,Ibicoara,0,0,0,7,0,2
137,291230,Ibicuí,1,0,0,0,0,0
138,291250,Ibipitanga,27,0,1,34,78,7
139,291260,Ibiquera,7,0,0,0,0,0
140,291270,Ibirapitanga,33,0,0,0,0,0
141,291280,Ibirapuã,108,0,0,0,0,0
142,291290,Ibirataia,20,0,0,1,0,0
143,291300,Ibitiara,31,0,0,0,5,0
144,291310,Ibititá,0,0,0,1,0,0
145,291320,Ibotirama,2,0,3,2,5,69
146,291330,Ichu,1,0,0,0,0,0
147,291340,Igaporã,7,0,1,0,0,1
148,291345,Igrapiúna,18,0,0,0,0,0
149,291350,Iguaí,2,0,0,0,2,0
150,291360,Ilhéus,2762,16,6,11,5,5
151,291370,Inhambupe,47,1,0,23,45,7
152,291380,Ipecaetá,1,5,0,1,0,0
153,291390,Ipiaú,552,3,0,0,11,5
154,291400,Ipirá,5,2,18,0,1,1
155,291410,Ipupiara,0,0,0,0,0,7
156,291420,Irajuba,52,0,0,0,0,0
157,291440,Iraquara,23,8,0,0,1,0
158,291450,Irará,27,4,1,1,0,0
159,291460,Irecê,16,2,1,2,2,1
160,291465,Itabela,251,19,4,4,1,0
161,291470,Itaberaba,1571,10,0,21,6,4
162,291480,Itabuna,17645,451,3,18,43,47
163,291490,Itacaré,201,3,0,0,0,0
164,291500,Itaeté,45,0,0,0,0,0
165,291510,Itagi,3,1,0,1,1,2
166,291520,Itagibá,175,0,0,0,0,0
167,291530,Itagimirim,2,2,0,0,0,0
168,291535,Itaguaçu da Bahia,1,0,0,0,0,2
169,291540,Itaju do Colônia,6,0,0,0,0,0
170,291550,Itajuípe,295,15,1,3,3,7
171,291560,Itamaraju,105,23,6,1,0,0
172,291570,Itamari,1,0,0,0,0,1
173,291580,Itambé,71,0,0,0,5,0
174,291590,Itanagra,0,0,0,1,0,0
175,291600,Itanhém,138,0,1,0,19,1
176,291610,Itaparica,175,4,0,5,4,1
177,291620,Itapé,93,3,0,0,0,0
178,291630,Itapebi,185,3,0,0,0,0
179,291640,Itapetinga,227,6,0,1,13,29
180,291650,Itapicuru,7,0,0,2,5,1
181,291660,Itapitanga,61,0,0,0,0,0
182,291670,Itaquara,35,0,0,0,0,0
183,291680,Itarantim,12,22,0,0,0,2
