,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaré,0,3,0,3,0,0,0,0,0,0,0,0
1,Água Fria,0,2,0,2,0,0,0,0,0,0,0,0
2,Aiquara,2,6,39,2,0,1,0,0,0,0,1,0
3,Alagoinhas,5,17,26,13,5,4,5,2,4,2,0,1
4,Alcobaça,6,10,10,10,2,1,1,0,0,1,0,0
5,Almadina,1,1,11,6,0,0,0,0,1,0,0,0
6,Amargosa,1,8,12,8,4,0,1,0,0,0,0,0
7,América Dourada,19,19,60,14,6,0,0,0,0,0,0,0
8,Andaraí,0,6,0,0,0,0,0,0,0,0,0,0
9,Andorinha,3,2,0,0,0,0,0,0,0,0,0,0
10,Angical,0,0,0,0,1,0,0,0,0,0,0,0
11,Anguera,7,4,1,0,0,0,0,0,0,0,0,0
12,Antas,0,40,18,0,0,0,0,0,0,0,0,0
13,Antônio Cardoso,0,0,1,1,0,0,0,0,0,1,0,0
14,Antônio Gonçalves,9,18,43,11,10,1,1,0,0,0,0,0
15,Aporá,0,1,2,6,0,0,0,0,0,0,0,0
16,Apuarema,0,1,0,2,2,0,0,0,0,0,0,0
17,Aracatu,0,0,3,0,0,0,0,0,0,0,0,0
18,Araci,0,1,0,1,0,0,0,0,0,0,0,0
19,Arataca,0,8,14,12,1,3,1,0,0,0,0,2
20,Aratuípe,0,1,0,0,0,0,0,0,0,0,0,0
21,Aurelino Leal,2,0,0,0,1,0,0,0,0,0,0,0
22,Baixa Grande,0,3,4,0,3,2,0,1,0,0,0,0
23,Banzaê,0,0,3,1,0,0,0,0,0,0,0,0
24,Barra,0,2,2,5,7,0,0,0,0,2,0,0
25,Barra da Estiva,1,3,3,4,1,0,0,0,0,0,0,0
26,Barra do Choça,16,12,0,0,0,0,0,0,0,0,0,0
27,Barra do Mendes,1,0,1,0,0,0,0,0,0,0,0,0
28,Barra do Rocha,0,11,22,3,4,9,1,0,0,0,0,0
29,Barreiras,1,9,25,41,23,6,5,4,0,0,2,2
30,Barro Preto,3,14,8,9,37,14,3,1,1,1,13,6
31,Barrocas,7,10,8,11,5,1,0,0,0,1,0,0
32,Belmonte,1,12,27,0,0,0,0,0,0,0,0,0
33,Belo Campo,1,3,3,0,1,0,0,0,0,0,0,0
34,Boa Nova,0,0,17,8,1,1,0,0,1,0,0,0
35,Boa Vista do Tupim,195,40,42,9,0,0,0,0,0,0,0,0
36,Bom Jesus da Lapa,5,5,4,2,1,0,0,0,0,0,0,0
37,Bom Jesus da Serra,0,0,0,0,0,1,0,0,0,0,0,0
38,Boninal,1,1,2,1,0,0,0,0,0,0,0,0
39,Bonito,2,5,0,0,0,0,0,0,0,0,0,0
40,Boquira,1,1,37,5,2,0,0,0,0,0,0,0
41,Botuporã,0,2,35,61,16,2,0,1,0,0,0,0
42,Brejões,0,1,13,18,9,0,0,0,0,0,0,0
43,Brotas de Macaúbas,0,0,0,24,7,4,0,0,0,0,0,0
44,Brumado,71,294,316,46,7,3,1,0,0,1,0,1
45,Buerarema,28,165,104,28,15,5,3,2,1,1,3,5
46,Buritirama,0,2,3,0,0,0,0,0,0,0,0,0
47,Caatiba,0,8,2,4,2,1,0,0,0,0,0,0
