,Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
95,Itapetinga,1,2,7,0,1,0,1,0,0,1,0,0
96,Itapicuru,0,0,0,1,3,0,0,1,0,0,0,0
97,Itatim,0,0,0,0,1,3,0,0,0,0,0,0
98,Itiúba,1,0,0,0,0,0,0,0,0,0,0,0
99,Itororó,0,0,0,0,0,0,0,0,0,1,0,1
100,Ituaçu,0,0,0,0,1,3,16,2,2,0,0,0
101,Jaborandi,0,0,1,1,9,9,0,0,0,0,0,0
102,Jacaraci,7,25,31,17,1,2,0,0,0,0,0,0
103,Jacobina,0,0,2,3,1,2,3,0,1,0,0,0
104,Jaguaquara,0,2,47,20,2,0,0,1,0,0,0,0
105,Jandaíra,0,1,3,0,1,0,1,0,0,0,0,0
106,Jequié,1,2,2,2,0,3,4,2,3,0,2,1
107,João Dourado,0,0,1,4,2,3,0,0,0,0,0,1
108,Juazeiro,0,0,1,12,12,6,7,7,2,3,1,0
109,Lafaiete Coutinho,0,0,0,0,1,0,0,0,0,0,0,0
110,Lauro de Freitas,1,0,2,1,4,1,7,1,3,1,0,0
111,Lençóis,0,0,0,4,1,0,0,0,0,0,0,0
112,Livramento de Nossa Senhora,0,0,0,4,7,7,2,0,0,0,1,0
113,Luís Eduardo Magalhães,0,0,0,0,1,0,0,0,0,0,0,0
114,Macajuba,0,0,0,0,0,0,0,0,0,0,1,0
115,Macaúbas,0,0,0,0,0,6,0,0,0,0,0,0
116,Maiquinique,0,0,1,0,7,1,0,0,0,0,0,0
117,Malhada,0,0,0,0,0,1,0,0,0,0,0,0
118,Malhada de Pedras,0,0,0,0,0,0,1,1,0,0,0,0
119,Manoel Vitorino,0,0,0,0,0,1,0,0,3,2,2,0
120,Maracás,1,0,1,0,5,1,0,0,0,0,0,1
121,Maragogipe,0,0,0,0,0,0,1,0,0,0,0,0
122,Marcionílio Souza,0,0,0,0,0,0,0,0,0,0,1,0
123,Mascote,0,2,5,1,0,0,0,0,0,2,0,0
124,Mata de São João,0,2,3,1,3,1,1,0,1,0,0,0
125,Medeiros Neto,0,2,1,2,7,9,7,1,0,0,0,0
