,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Água Fria,0,0,0,0,0,0,1,0,0,0
1,Alagoinhas,0,0,0,0,2,1,0,0,0,0
2,América Dourada,0,1,1,2,2,4,5,2,1,0
3,Anguera,0,0,0,1,0,2,0,0,0,0
4,Antas,1,0,0,0,0,2,0,0,0,0
5,Antônio Gonçalves,0,0,0,0,0,1,0,0,0,0
6,Arataca,1,0,0,0,0,0,0,0,0,0
7,Baixa Grande,0,0,0,1,0,1,0,0,0,0
8,Barra,0,0,0,1,0,3,1,2,1,0
9,Barreiras,1,5,0,5,6,32,22,3,0,0
10,Barrocas,1,0,0,0,0,0,0,0,0,0
11,Belmonte,0,1,1,2,1,9,9,3,2,0
12,Bom Jesus da Lapa,1,0,1,2,0,5,3,5,0,0
13,Bom Jesus da Serra,0,0,0,0,0,1,0,0,0,0
14,Boninal,1,0,0,0,0,0,0,0,0,0
15,Bonito,0,0,0,1,0,0,0,0,0,0
16,Boquira,0,1,0,0,1,1,2,0,0,0
17,Botuporã,0,0,0,0,0,0,1,0,0,0
18,Brejões,0,1,0,0,0,0,0,0,0,0
19,Brotas de Macaúbas,0,0,1,0,0,0,1,0,0,0
20,Brumado,0,0,0,0,0,1,2,0,1,0
21,Buritirama,0,0,1,0,0,1,1,1,0,0
22,Caculé,0,0,0,0,0,1,0,0,0,0
23,Caetité,0,0,0,0,0,0,0,1,0,0
24,Cafarnaum,0,0,0,0,0,0,1,0,0,0
25,Camaçari,4,2,2,1,3,14,11,0,1,1
26,Campo Formoso,0,0,0,0,0,0,1,0,0,0
27,Canavieiras,0,0,0,1,0,0,0,0,0,0
28,Candeias,0,1,0,0,1,1,1,0,1,0
29,Casa Nova,1,1,2,3,6,13,9,1,1,0
30,Catu,0,0,1,0,0,0,0,0,0,0
31,Cipó,0,0,1,0,0,0,0,0,0,0
32,Coaraci,0,0,0,1,1,0,0,0,0,0
33,Conde,0,0,1,1,0,0,0,0,0,0
34,Condeúba,0,0,0,0,2,0,1,0,0,0
35,Cotegipe,0,0,3,6,6,20,12,8,2,0
36,Cristópolis,0,0,0,0,0,0,0,1,0,0
37,Curaçá,0,0,0,0,0,1,0,0,0,0
38,Dias d'Ávila,0,0,0,0,1,3,0,2,1,0
39,Dom Basílio,0,0,0,0,0,2,1,0,0,0
40,Esplanada,0,0,0,0,0,1,0,0,0,0
41,Eunápolis,0,0,0,0,0,5,3,0,0,0
42,Feira de Santana,5,17,15,9,9,38,23,5,2,0
43,Governador Mangabeira,0,0,0,0,0,1,0,0,0,0
44,Guanambi,0,1,2,0,0,3,1,1,0,0
45,Ibipitanga,0,0,0,0,0,0,1,0,0,0
46,Ibotirama,0,0,1,0,1,1,0,0,0,0
47,Igaporã,0,0,1,0,0,0,0,0,0,0
48,Ilhéus,0,0,1,1,0,1,1,2,0,0
49,Ipirá,2,1,2,0,1,2,5,2,3,0
50,Irará,0,0,0,0,0,1,0,0,0,0
51,Irecê,0,0,0,0,0,1,0,0,0,0
52,Itabela,0,0,0,0,0,1,2,1,0,0
53,Itabuna,0,0,1,0,0,2,0,0,0,0
54,Itajuípe,0,0,0,0,0,0,1,0,0,0
55,Itamaraju,0,0,0,0,0,2,2,1,1,0
56,Itanhém,0,0,0,0,0,1,0,0,0,0
57,Itatim,0,0,0,0,0,1,0,0,0,0
58,Jaborandi,0,1,3,0,1,2,1,0,0,0
59,Jacaraci,0,0,0,0,0,0,1,0,0,0
60,Jacobina,2,0,0,0,0,1,0,0,0,0
61,Jaguaquara,0,0,1,0,0,0,0,0,0,0
62,Jaguarari,1,1,0,0,0,1,0,0,1,0
63,Juazeiro,0,0,1,0,0,3,2,1,1,0
64,Jussiape,0,0,0,0,1,3,1,0,0,0
65,Lauro de Freitas,0,0,0,0,1,1,1,1,0,0
66,Livramento de Nossa Senhora,0,0,0,0,1,0,0,0,0,0
67,Luís Eduardo Magalhães,0,0,0,0,0,0,0,0,1,0
68,Macaúbas,0,1,1,0,1,3,1,2,1,0
69,Madre de Deus,0,0,0,0,0,1,0,1,0,0
70,Malhada,1,0,0,1,2,1,2,6,0,0
71,Manoel Vitorino,0,0,0,0,0,2,2,0,0,0
72,Maracás,1,0,1,0,0,2,0,0,0,0
73,Marcionílio Souza,0,0,0,0,0,0,0,1,0,0
74,Mata de São João,0,0,1,0,0,0,0,0,0,0
75,Miguel Calmon,0,0,0,0,1,0,0,0,0,0
76,Mirante,0,0,0,0,0,0,1,0,0,0
77,Morpará,0,0,0,1,0,0,1,0,0,0
78,Morro do Chapéu,0,0,0,0,0,2,0,0,0,0
79,Mucugê,0,0,0,0,0,0,0,1,0,0
80,Mucuri,0,0,0,0,0,0,0,1,0,0
81,Muritiba,0,1,0,0,0,0,0,0,0,0
82,Mutuípe,0,0,0,0,0,1,0,0,0,0
83,Nova Fátima,0,0,2,2,0,4,2,1,0,0
84,Nova Itarana,0,0,0,0,1,0,0,0,0,0
85,Ourolândia,1,1,0,0,0,0,0,0,0,0
86,Palmas de Monte Alto,0,0,1,0,0,0,0,0,0,0
87,Paramirim,2,1,8,8,6,21,24,15,8,0
