,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Alagoinhas,1,0,0,2,3,14,10,7,2,0
1,América Dourada,0,0,1,1,0,1,0,1,1,0
2,Andorinha,0,0,0,0,0,1,0,0,0,0
3,Angical,1,0,0,0,0,1,0,0,0,0
4,Antônio Cardoso,0,0,0,0,0,0,0,1,0,0
5,Araci,1,0,2,0,0,1,1,0,0,0
6,Barra,1,0,1,0,0,3,1,0,0,0
7,Barra do Choça,0,0,0,0,0,1,0,0,0,0
8,Barra do Mendes,0,0,0,0,0,1,0,0,0,0
9,Barreiras,0,0,2,0,1,5,7,5,0,1
10,Boa Vista do Tupim,0,0,0,0,0,0,0,1,0,0
11,Bom Jesus da Lapa,0,0,0,1,1,1,1,0,0,0
12,Boquira,0,0,0,0,0,0,1,0,1,0
13,Botuporã,0,0,0,1,0,0,0,1,0,0
14,Brotas de Macaúbas,0,1,0,0,1,0,3,2,0,0
15,Brumado,0,1,0,0,2,1,4,2,1,0
16,Cabaceiras do Paraguaçu,1,0,0,0,0,0,0,0,0,0
17,Caculé,0,0,0,0,0,0,0,1,0,0
18,Caetité,0,0,0,0,0,3,2,0,0,0
19,Cafarnaum,0,0,0,1,0,2,1,1,0,0
20,Camacan,0,0,0,0,0,1,0,0,0,0
21,Camaçari,7,8,7,1,2,5,8,3,1,0
22,Campo Alegre de Lourdes,0,0,1,0,0,4,2,4,1,0
23,Candeias,1,0,0,0,1,1,1,0,0,0
24,Candiba,0,0,1,0,0,0,0,0,0,0
25,Cândido Sales,0,4,1,0,2,3,1,0,0,0
26,Carinhanha,0,1,3,6,6,5,10,5,0,0
27,Catolândia,0,1,0,0,0,0,0,0,0,0
28,Catu,0,0,0,1,2,7,5,0,2,0
29,Caturama,0,0,0,0,1,0,2,0,0,0
30,Cícero Dantas,0,0,0,1,0,0,0,0,0,0
31,Coaraci,0,0,0,0,0,0,2,0,0,0
32,Cocos,0,0,0,1,0,0,0,0,0,0
33,Conceição do Jacuípe,0,0,1,0,0,0,0,1,0,0
34,Conde,0,0,0,0,0,0,0,0,1,0
35,Condeúba,0,1,0,0,2,1,0,0,0,0
36,Contendas do Sincorá,0,0,0,0,0,1,0,0,0,0
37,Cordeiros,0,0,0,0,0,1,2,1,1,0
38,Cotegipe,0,1,0,0,0,6,2,3,1,0
39,Cruz das Almas,0,0,1,0,0,0,0,0,0,0
40,Dário Meira,1,0,0,2,1,3,2,3,2,0
41,Dias d'Ávila,0,2,0,0,0,2,0,2,0,0
42,Dom Basílio,0,0,0,0,0,1,1,0,0,0
43,Érico Cardoso,0,0,0,0,0,0,1,0,0,0
44,Esplanada,0,1,0,0,0,1,2,0,0,0
45,Feira de Santana,5,5,1,1,1,9,7,10,1,1
46,Formosa do Rio Preto,1,0,0,1,0,0,1,0,0,0
47,Glória,0,0,0,0,0,0,1,0,0,0
48,Guanambi,1,5,12,25,15,111,94,61,24,10
49,Iaçu,0,0,0,0,0,1,0,0,1,0
50,Ibicoara,0,0,0,0,0,2,0,0,0,0
51,Ibipitanga,0,0,0,1,0,2,2,1,1,0
52,Ibotirama,1,1,2,7,4,20,19,10,5,0
53,Igaporã,0,0,0,0,0,1,0,0,0,0
54,Ilhéus,0,0,0,0,1,3,1,0,0,0
55,Inhambupe,0,0,1,1,1,0,2,2,0,0
56,Ipiaú,0,0,0,0,1,2,1,1,0,0
57,Ipirá,0,1,0,0,0,0,0,0,0,0
58,Ipupiara,1,0,0,0,0,2,2,2,0,0
59,Irecê,0,0,0,0,0,1,0,0,0,0
60,Itaberaba,1,1,0,0,0,1,1,0,0,0
61,Itabuna,4,0,1,3,5,12,13,8,1,0
62,Itagi,0,0,0,0,0,0,2,0,0,0
63,Itaguaçu da Bahia,0,0,0,0,0,1,0,0,1,0
64,Itajuípe,0,1,1,0,0,3,1,1,0,0
65,Itamari,0,0,0,1,0,0,0,0,0,0
66,Itanhém,0,0,0,0,0,1,0,0,0,0
67,Itaparica,0,0,0,1,0,0,0,0,0,0
68,Itapetinga,0,0,1,2,1,4,8,7,6,0
69,Itapicuru,0,0,0,0,1,0,0,0,0,0
70,Itarantim,0,0,0,0,1,1,0,0,0,0
71,Itatim,0,0,0,0,0,0,1,1,0,0
72,Itiruçu,0,1,0,0,0,3,2,0,1,0
73,Itororó,1,0,1,0,1,0,1,0,0,0
74,Jaborandi,1,0,1,0,0,0,0,0,0,0
75,Jacaraci,0,0,0,0,0,0,1,1,0,0
76,Jacobina,0,0,1,0,2,7,6,1,0,1
77,Jaguaquara,0,0,1,0,1,2,1,0,1,0
78,Jandaíra,0,0,0,0,0,0,0,0,1,0
79,Jequié,0,2,2,1,3,9,6,5,7,2
80,Jiquiriçá,0,0,0,0,0,0,1,0,0,0
81,Jitaúna,0,0,0,0,0,1,0,0,0,0
82,Juazeiro,2,1,0,0,2,0,2,0,0,0
83,Jussara,0,1,0,1,0,0,0,0,0,0
84,Lapão,0,0,1,0,0,0,0,0,0,0
85,Lauro de Freitas,0,1,0,0,1,0,0,0,1,0
86,Livramento de Nossa Senhora,0,0,0,1,0,0,1,0,0,0
87,Luís Eduardo Magalhães,2,2,0,7,5,19,20,11,2,0
88,Macaúbas,0,3,9,9,9,49,44,34,19,6
89,Maiquinique,0,0,0,0,0,1,0,0,0,0
90,Malhada de Pedras,0,0,0,0,0,1,0,0,0,0
91,Manoel Vitorino,0,0,0,1,0,0,0,2,1,0
92,Mansidão,0,0,1,0,0,0,0,0,0,0
93,Maracás,0,0,0,0,0,1,0,0,0,0
94,Mata de São João,0,0,0,0,0,0,0,0,1,0
95,Matina,0,0,0,0,0,0,0,0,1,0
96,Miguel Calmon,0,2,0,2,0,6,1,3,0,0
97,Milagres,0,0,0,0,0,1,0,0,0,0
98,Morro do Chapéu,0,0,0,0,0,0,2,0,0,0
99,Mucuri,0,0,0,0,0,0,1,0,0,0
100,Mulungu do Morro,0,0,0,0,0,1,0,0,1,0
101,Muquém de São Francisco,0,0,0,0,1,2,0,0,0,0
102,Muritiba,0,0,0,0,1,2,0,1,0,0
103,Nova Canaã,0,0,0,3,2,5,8,10,7,2
104,Nova Fátima,0,0,0,0,0,1,0,0,0,0
105,Ourolândia,0,0,0,0,0,2,4,2,0,0
106,Paulo Afonso,0,1,0,1,0,6,3,2,1,0
107,Pindaí,0,1,0,0,0,0,2,2,1,0
108,Piritiba,1,0,0,0,0,0,0,0,0,0
109,Poções,1,0,0,0,0,3,1,1,0,0
110,Porto Seguro,0,0,0,0,0,0,1,0,0,0
111,Prado,0,0,0,0,0,1,0,0,0,0
112,Presidente Dutra,0,0,1,0,0,1,2,0,0,0
113,Presidente Tancredo Neves,0,0,0,0,0,0,2,0,0,0
114,Remanso,0,0,0,0,0,0,1,0,0,0
115,Riachão do Jacuípe,0,1,0,0,0,1,1,0,0,0
116,Rio de Contas,0,0,0,0,0,0,1,0,0,0
117,Rio do Pires,1,3,6,7,2,19,19,21,9,1
118,Rio Real,0,1,1,0,1,11,0,4,4,1
119,Salvador,7,4,10,5,11,31,30,9,2,3
120,Santa Cruz Cabrália,0,0,0,0,0,3,0,0,0,0
121,Santa Maria da Vitória,0,0,0,0,0,1,0,0,0,0
122,Santo Estêvão,2,1,0,0,0,1,1,0,0,0
123,São Desidério,1,3,7,17,25,69,74,33,17,3
124,São Domingos,0,0,0,0,0,1,0,0,0,0
125,São Felipe,1,0,0,0,0,1,0,0,0,0
126,São Félix do Coribe,0,0,0,0,0,0,1,0,0,0
127,São Gabriel,0,0,0,0,0,2,0,1,0,0
128,São José da Vitória,0,1,0,0,0,0,0,0,0,0
129,Sátiro Dias,1,0,0,0,0,0,0,0,0,0
130,Saubara,0,0,0,0,0,0,0,0,1,0
131,Seabra,0,0,1,1,1,0,6,0,0,0
132,Sebastião Laranjeiras,0,1,0,0,0,0,0,0,0,0
133,Senhor do Bonfim,0,0,0,0,0,0,1,0,0,0
134,Serrolândia,0,0,0,0,0,1,1,1,0,0
135,Simões Filho,0,0,0,2,0,0,0,0,0,0
136,Tanquinho,0,0,0,0,0,0,0,1,0,0
137,Tapiramutá,0,0,1,0,0,0,0,0,0,0
138,Teixeira de Freitas,0,0,0,0,2,8,4,2,2,0
