,Município,Em Branco,Ignorado,Masculino,Feminino
0,Acajutiba,0,0,2,1
1,Adustina,0,0,1,2
2,Água Fria,0,0,0,1
3,Alagoinhas,0,0,9,35
4,América Dourada,0,0,6,7
5,Andorinha,0,0,2,5
6,Anguera,0,0,2,2
7,Antônio Cardoso,0,0,1,1
8,Apuarema,0,0,0,1
9,Aracatu,0,0,0,1
10,Araci,0,0,0,1
11,Barra,0,0,0,3
12,Barra do Choça,0,0,1,0
13,Barra do Mendes,0,0,0,3
14,Barra do Rocha,0,0,0,1
15,Barreiras,0,0,12,38
16,Barrocas,0,0,1,0
17,Belmonte,0,0,1,3
18,Belo Campo,0,0,2,1
19,Boa Nova,0,0,1,0
20,Bom Jesus da Lapa,0,0,1,0
21,Boninal,0,0,0,2
22,Bonito,0,0,0,1
23,Boquira,0,0,2,7
24,Botuporã,0,0,1,0
25,Brotas de Macaúbas,0,0,4,10
26,Brumado,0,0,8,12
27,Buritirama,0,0,1,0
28,Caatiba,0,0,1,0
29,Cachoeira,0,0,0,1
30,Caém,0,0,1,2
31,Caetité,0,0,0,1
32,Cairu,0,0,0,1
33,Camacan,0,0,0,1
34,Camaçari,0,1,52,95
35,Campo Alegre de Lourdes,0,0,0,1
36,Campo Formoso,0,0,0,3
37,Candeal,0,0,0,1
38,Candeias,0,0,4,8
39,Cândido Sales,0,0,1,4
40,Cansanção,0,0,3,1
41,Capela do Alto Alegre,0,0,2,2
42,Capim Grosso,0,1,2,11
43,Caravelas,0,0,0,1
44,Casa Nova,0,0,2,1
45,Catu,0,0,3,12
46,Chorrochó,0,0,0,1
47,Cipó,0,0,0,1
48,Conceição do Almeida,0,0,1,0
49,Conceição do Jacuípe,0,0,3,7
50,Conde,0,1,7,16
51,Contendas do Sincorá,0,0,1,0
52,Cotegipe,0,0,2,13
53,Crisópolis,0,0,1,1
54,Cruz das Almas,0,0,1,2
55,Dias d'Ávila,0,0,6,10
56,Dom Basílio,0,0,0,3
57,Entre Rios,0,0,4,14
58,Érico Cardoso,0,0,5,1
59,Esplanada,0,25,89,138
60,Euclides da Cunha,0,0,5,8
61,Eunápolis,0,0,4,7
62,Feira de Santana,0,0,13,34
63,Filadélfia,0,0,4,8
64,Formosa do Rio Preto,0,0,1,0
65,Gavião,0,0,8,12
66,Governador Mangabeira,0,0,1,1
67,Guajeru,0,0,0,2
68,Guanambi,0,0,3,2
69,Heliópolis,0,0,0,1
70,Iaçu,0,0,1,3
71,Ibicoara,0,0,3,4
72,Ibipitanga,0,0,14,20
73,Ibirataia,0,0,0,1
74,Ibititá,0,0,0,1
75,Ibotirama,0,0,0,2
76,Ilhéus,0,0,6,5
77,Inhambupe,0,0,6,17
78,Ipecaetá,0,0,0,1
79,Irará,0,0,0,1
80,Irecê,0,0,1,1
81,Itabela,0,0,1,3
82,Itaberaba,0,0,10,11
83,Itabuna,0,0,7,11
84,Itagi,0,0,0,1
85,Itajuípe,0,0,2,1
86,Itamaraju,0,0,0,1
87,Itanagra,0,0,0,1
88,Itaparica,0,0,2,3
89,Itapetinga,0,0,0,1
90,Itapicuru,0,0,0,2
91,Itatim,0,0,0,1
92,Ituberá,0,0,1,1
93,Jaborandi,0,0,1,1
94,Jacaraci,0,0,1,1
95,Jacobina,0,0,7,10
96,Jaguaquara,0,0,2,9
97,Jaguarari,0,0,0,1
98,Jandaíra,0,0,1,2
99,Jequié,0,0,13,10
100,Juazeiro,0,0,9,23
101,Jussiape,0,0,0,2
102,Lapão,0,0,26,49
103,Lauro de Freitas,0,0,1,13
104,Lençóis,0,0,2,4
105,Licínio de Almeida,0,0,1,0
106,Livramento de Nossa Senhora,0,0,3,2
107,Luís Eduardo Magalhães,0,0,1,5
108,Macaúbas,0,0,14,20
109,Madre de Deus,0,0,4,4
110,Maetinga,0,0,0,1
111,Mairi,0,0,0,1
112,Malhada,0,0,0,1
