,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaré,0,0,1,0,0,2,0,0,0,0
1,Acajutiba,0,0,0,0,0,0,1,0,1,0
2,Água Fria,0,0,0,2,0,0,0,0,0,0
3,Alagoinhas,0,1,0,0,1,0,0,1,0,0
4,Amargosa,0,1,0,0,3,7,5,1,1,0
5,América Dourada,1,0,0,0,1,2,1,1,0,0
6,Anagé,0,0,0,0,0,6,0,0,0,0
7,Andaraí,0,0,0,0,0,1,0,0,0,0
8,Andorinha,0,1,0,0,0,0,0,1,0,0
9,Angical,0,0,0,0,0,0,1,0,0,0
10,Anguera,0,0,0,0,1,0,0,2,0,0
11,Antônio Gonçalves,0,0,0,0,0,0,1,0,0,0
12,Apuarema,0,0,1,0,0,0,0,0,0,0
13,Aracatu,0,0,0,0,0,1,0,0,0,0
14,Araci,0,1,0,0,1,3,1,0,0,0
15,Aramari,0,0,0,0,0,1,0,0,0,0
16,Barra do Choça,1,0,0,0,0,0,0,0,0,0
17,Barreiras,1,3,0,0,0,3,3,0,0,0
18,Barro Preto,0,1,1,4,1,4,4,1,0,0
19,Belo Campo,0,0,0,0,0,0,0,1,0,0
20,Boa Nova,0,1,0,0,1,2,0,0,0,0
21,Bom Jesus da Lapa,2,1,1,0,2,0,3,1,0,0
22,Bom Jesus da Serra,0,0,0,1,0,0,0,0,0,0
23,Boquira,1,1,3,0,2,11,4,5,14,6
24,Brotas de Macaúbas,0,0,0,0,0,2,0,1,0,0
25,Brumado,0,1,4,6,4,7,7,2,0,0
26,Cabaceiras do Paraguaçu,0,0,0,0,0,0,0,1,1,1
27,Cachoeira,1,3,2,6,5,16,7,7,5,0
28,Caculé,0,0,0,0,0,1,0,0,0,0
29,Caetanos,0,0,0,0,0,1,0,0,0,0
30,Camacan,1,1,0,2,0,2,5,0,0,0
31,Camaçari,1,3,7,3,4,25,11,4,2,1
32,Camamu,0,0,0,0,0,1,0,0,0,0
33,Campo Formoso,2,0,1,3,2,1,7,2,0,0
34,Canavieiras,0,1,0,0,0,0,0,0,0,0
35,Candeias,0,1,0,0,1,5,0,0,0,0
36,Candiba,0,0,0,0,0,2,0,1,0,0
37,Cândido Sales,5,4,9,9,4,16,5,3,2,0
38,Cansanção,0,0,1,0,0,2,1,0,0,0
39,Capela do Alto Alegre,0,0,0,0,0,0,0,0,1,0
40,Capim Grosso,0,1,1,0,0,5,2,0,1,0
41,Caraíbas,0,1,1,0,0,1,1,0,0,0
42,Carinhanha,0,1,1,0,0,1,1,0,0,0
43,Casa Nova,1,0,2,3,7,12,21,9,5,0
44,Castro Alves,0,0,0,0,0,1,0,0,0,0
45,Catolândia,1,0,0,0,0,0,0,0,0,0
46,Catu,0,3,2,2,6,32,26,13,7,0
47,Caturama,0,0,0,0,2,0,1,1,0,0
48,Central,0,0,0,1,0,0,0,0,1,0
49,Coaraci,1,3,4,4,2,3,1,2,0,0
50,Conceição do Almeida,0,0,0,0,0,0,1,0,1,0
51,Conceição do Coité,0,0,0,0,0,0,1,0,0,0
52,Conceição do Jacuípe,0,0,2,2,4,9,8,5,1,0
53,Conde,0,0,0,0,0,2,0,1,0,0
54,Condeúba,0,2,5,5,4,15,9,3,1,0
55,Contendas do Sincorá,0,0,1,0,2,1,3,1,1,0
56,Coronel João Sá,0,0,1,0,0,0,2,0,1,0
57,Cotegipe,1,0,0,0,1,1,1,0,0,0
58,Cravolândia,0,0,0,0,0,0,1,0,0,0
59,Crisópolis,0,1,0,1,3,5,1,0,0,0
60,Cruz das Almas,3,2,9,9,6,27,24,22,7,4
61,Curaçá,3,1,0,3,2,8,6,0,1,1
62,Dário Meira,0,0,1,2,0,0,0,0,0,0
63,Dias d'Ávila,0,2,1,0,2,3,6,2,0,1
64,Encruzilhada,0,0,0,0,0,3,1,0,0,0
65,Entre Rios,1,0,0,0,0,0,0,0,0,0
66,Érico Cardoso,1,0,0,0,0,0,0,0,0,0
67,Esplanada,2,6,13,14,13,47,17,10,5,1
68,Euclides da Cunha,1,0,0,0,0,2,0,0,1,0
69,Eunápolis,0,0,0,0,2,3,1,1,0,0
70,Feira de Santana,10,6,17,3,6,39,30,14,2,0
71,Gavião,0,0,3,3,2,3,3,4,0,0
72,Glória,0,0,0,0,0,1,2,2,0,0
73,Gongogi,1,0,0,0,0,0,0,0,0,0
74,Governador Mangabeira,0,0,0,0,0,1,0,0,1,1
75,Guanambi,5,2,2,0,7,15,8,16,3,2
76,Iaçu,0,0,1,2,0,4,9,7,1,0
77,Ibipitanga,2,3,7,7,8,23,21,3,3,1
78,Ibitiara,0,0,0,2,0,0,1,1,1,0
79,Ibotirama,1,0,0,0,1,2,1,0,0,0
80,Iguaí,0,1,0,0,0,1,0,0,0,0
81,Ilhéus,1,0,0,1,1,2,0,0,0,0
82,Inhambupe,1,3,3,4,2,13,14,5,0,0
83,Ipiaú,0,1,1,0,0,3,3,3,0,0
84,Ipirá,0,0,0,0,1,0,0,0,0,0
85,Iraquara,0,0,1,0,0,0,0,0,0,0
86,Irecê,0,0,0,0,0,0,1,1,0,0
87,Itabela,0,0,0,0,0,1,0,0,0,0
88,Itaberaba,0,2,0,1,1,1,0,1,0,0
89,Itabuna,0,9,3,6,5,10,5,4,1,0
90,Itagi,1,0,0,0,0,0,0,0,0,0
91,Itajuípe,1,0,0,0,1,1,0,0,0,0
92,Itambé,0,0,0,0,1,3,0,1,0,0
93,Itanhém,1,0,1,0,1,9,4,3,0,0
94,Itaparica,0,0,0,0,0,0,1,0,2,1
95,Itapetinga,0,0,4,5,0,3,1,0,0,0
96,Itapicuru,1,1,0,0,0,1,2,0,0,0
97,Itatim,0,0,0,1,0,2,0,1,0,0
98,Itiúba,1,0,0,0,0,0,0,0,0,0
99,Itororó,2,0,0,0,0,0,0,0,0,0
100,Ituaçu,0,0,2,0,1,10,6,4,0,1
101,Jaborandi,0,0,0,1,0,8,9,2,0,0
102,Jacaraci,0,1,2,4,6,24,23,17,6,0
103,Jacobina,1,0,3,0,0,6,2,0,0,0
104,Jaguaquara,0,0,2,5,7,17,22,13,4,2
105,Jandaíra,0,0,2,0,1,1,0,2,0,0
106,Jequié,0,1,2,0,3,6,6,2,2,0
107,João Dourado,0,0,0,1,2,4,3,1,0,0
108,Juazeiro,4,2,5,4,1,16,13,4,2,0
109,Lafaiete Coutinho,0,0,0,0,0,0,1,0,0,0
110,Lauro de Freitas,1,1,2,2,3,6,4,2,0,0
111,Lençóis,0,0,1,0,1,0,1,0,2,0
112,Livramento de Nossa Senhora,1,1,0,1,1,6,8,3,0,0
113,Luís Eduardo Magalhães,0,0,0,0,0,0,0,0,1,0
114,Macajuba,1,0,0,0,0,0,0,0,0,0
115,Macaúbas,0,0,1,0,0,2,2,1,0,0
116,Maiquinique,1,1,2,0,0,5,0,0,0,0
117,Malhada,0,0,0,0,0,0,0,1,0,0
118,Malhada de Pedras,0,0,0,0,0,1,1,0,0,0
119,Manoel Vitorino,1,0,0,0,1,3,3,0,0,0
120,Maracás,0,0,0,0,0,4,4,1,0,0
121,Maragogipe,0,0,0,0,0,0,0,0,1,0
122,Marcionílio Souza,0,0,0,0,0,0,1,0,0,0
123,Mascote,0,2,0,1,1,2,2,1,1,0
124,Mata de São João,1,0,1,1,0,8,1,0,0,0
125,Medeiros Neto,1,0,1,3,4,4,9,5,1,1
126,Miguel Calmon,0,3,1,0,0,2,1,0,0,0
127,Morpará,0,0,0,0,0,0,0,0,1,0
128,Morro do Chapéu,0,0,0,3,0,4,3,0,0,0
129,Mucugê,0,0,0,0,0,0,1,0,0,0
130,Mulungu do Morro,0,0,0,0,0,0,1,0,0,0
131,Mundo Novo,0,0,0,0,0,0,1,0,0,0
132,Muritiba,3,0,0,2,0,7,4,6,1,0
133,Mutuípe,0,0,0,1,1,1,0,0,0,0
134,Nazaré,0,0,1,0,0,0,0,0,0,0
135,Nova Canaã,0,0,1,0,0,0,1,0,0,0
136,Nova Fátima,0,0,0,1,1,3,1,2,1,0
137,Novo Horizonte,0,0,0,0,0,0,1,0,0,0
138,Oliveira dos Brejinhos,0,0,0,0,0,1,0,0,0,0
139,Ouriçangas,0,0,0,0,0,2,1,1,0,0
140,Ourolândia,0,0,0,0,0,0,0,1,0,0
141,Paramirim,0,0,1,2,2,8,11,6,0,1
142,Paratinga,1,0,1,0,2,5,7,2,2,0
143,Pau Brasil,0,2,3,2,0,0,0,0,1,0
144,Paulo Afonso,0,3,1,3,3,9,13,5,2,1
145,Pé de Serra,0,1,3,3,1,6,3,1,0,1
146,Pedrão,0,1,1,5,2,9,12,10,5,0
147,Pindobaçu,0,0,1,0,1,0,0,0,0,0
148,Piripá,1,3,10,2,4,13,7,2,1,0
149,Planalto,0,0,0,1,0,0,0,0,0,0
150,Poções,0,0,0,0,1,0,1,1,0,0
151,Pojuca,1,0,0,1,1,4,2,3,1,0
152,Ponto Novo,0,0,0,0,0,1,0,0,0,0
153,Porto Seguro,1,2,5,2,2,5,12,3,1,1
154,Presidente Dutra,0,0,0,0,1,1,0,1,0,0
155,Presidente Jânio Quadros,1,1,2,0,0,0,2,0,1,0
156,Presidente Tancredo Neves,1,0,1,0,0,2,1,1,0,0
157,Quijingue,0,0,0,0,1,1,1,0,0,0
158,Rafael Jambeiro,0,0,0,0,0,2,0,0,0,0
159,Remanso,0,0,0,0,0,1,0,0,0,0
160,Riachão do Jacuípe,3,4,7,11,15,49,42,29,14,2
161,Riacho de Santana,0,0,0,1,0,0,0,0,0,0
