,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,1,0,0,0,0,1,1,0,0,0
1,Abaré,0,0,2,0,4,6,5,4,1,0
2,Acajutiba,2,2,3,1,2,13,13,6,2,0
3,Adustina,0,1,1,1,6,9,12,3,1,0
4,Água Fria,0,0,2,0,1,1,3,4,1,0
5,Aiquara,0,0,0,1,0,0,0,0,0,0
6,Alagoinhas,0,2,1,4,2,11,16,13,2,0
7,Alcobaça,7,10,11,8,17,47,43,16,9,2
8,Almadina,0,0,0,0,0,1,1,0,0,0
9,Amargosa,3,0,1,3,14,19,25,5,3,0
10,Amélia Rodrigues,2,3,4,7,3,18,26,17,2,1
11,América Dourada,0,1,2,2,3,12,4,5,0,0
12,Anagé,0,0,0,0,0,1,0,0,0,0
13,Andaraí,1,3,1,4,7,15,11,6,0,0
14,Andorinha,3,11,11,31,22,84,79,50,24,7
15,Angical,0,0,0,0,1,3,0,2,2,0
16,Anguera,0,2,9,3,9,33,20,6,1,0
17,Antas,7,14,22,22,18,67,94,44,27,5
18,Antônio Cardoso,0,2,8,4,5,22,19,12,6,1
19,Antônio Gonçalves,0,0,0,3,2,3,0,1,2,0
20,Aporá,2,0,1,1,0,5,6,2,0,0
21,Apuarema,0,1,2,0,0,5,4,1,0,0
22,Araças,0,0,1,0,1,1,1,0,1,0
23,Aracatu,0,0,0,0,0,1,2,0,0,0
24,Araci,26,92,94,98,135,321,251,146,65,12
25,Arataca,0,0,0,1,2,5,6,0,0,0
26,Aratuípe,0,0,0,0,1,2,0,1,0,0
27,Aurelino Leal,2,0,2,2,0,2,1,6,0,0
28,Baixa Grande,13,9,18,16,19,55,52,23,11,1
29,Banzaê,2,2,2,7,3,16,26,15,12,0
30,Barra,11,14,51,91,156,304,212,140,77,13
31,Barra da Estiva,2,0,3,4,7,15,8,5,2,1
32,Barra do Choça,0,7,5,6,9,33,13,13,6,0
33,Barra do Mendes,0,1,2,2,2,5,13,7,1,0
34,Barra do Rocha,0,0,1,0,0,6,1,0,0,0
35,Barreiras,27,68,146,154,85,307,174,61,20,2
36,Barro Alto,0,0,3,1,1,6,6,2,2,0
37,Barro Preto,0,2,0,3,6,13,8,0,2,2
38,Barrocas,0,1,1,2,1,5,3,4,3,0
39,Belmonte,3,14,18,19,14,57,39,17,2,0
40,Belo Campo,0,0,0,0,5,5,3,2,0,0
41,Biritinga,2,1,2,1,3,7,10,9,0,1
42,Boa Nova,1,4,2,9,8,21,7,8,8,1
43,Boa Vista do Tupim,3,0,0,0,3,6,5,4,0,0
44,Bom Jesus da Lapa,9,13,22,67,76,186,152,67,19,2
45,Bonito,0,2,1,3,9,18,8,2,0,0
46,Boquira,3,6,3,10,20,33,33,19,8,1
