,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,7,2,5,11,12,54,34,29,3,2
1,Acajutiba,2,1,0,1,1,1,2,0,0,0
2,Adustina,2,8,5,4,5,18,16,4,2,0
3,Água Fria,1,2,4,3,5,9,6,1,3,0
4,Aiquara,3,1,5,8,8,19,19,17,2,1
5,Alagoinhas,1,3,3,6,4,16,12,3,0,0
6,Almadina,0,0,0,2,0,3,0,0,0,0
7,Amargosa,20,22,26,39,78,286,136,70,20,10
8,Amélia Rodrigues,2,1,2,5,1,7,5,0,0,0
9,América Dourada,2,4,14,21,33,112,51,23,6,0
10,Anagé,3,1,0,0,12,18,12,3,0,0
11,Andaraí,2,2,5,11,12,38,33,7,3,1
12,Andorinha,2,3,3,2,1,3,4,0,1,1
13,Angical,1,1,0,7,17,31,16,10,5,1
14,Anguera,0,1,1,0,0,1,4,1,0,0
15,Antas,3,1,0,1,0,3,2,0,3,0
16,Antônio Cardoso,1,1,2,1,3,6,4,0,0,0
17,Antônio Gonçalves,3,3,3,2,3,10,4,2,0,0
18,Aporá,0,0,0,1,1,9,1,2,0,0
19,Apuarema,0,0,1,1,2,6,1,1,0,0
20,Araças,1,0,0,1,0,2,0,1,2,0
21,Aracatu,0,1,1,0,4,7,2,3,0,0
22,Araci,1,1,2,4,5,19,7,3,3,0
23,Aramari,0,0,0,1,0,0,0,0,0,0
24,Arataca,1,0,0,3,2,4,2,2,0,0
25,Aratuípe,0,0,0,0,0,1,0,0,0,0
26,Aurelino Leal,0,1,2,0,0,1,0,1,1,0
27,Baianópolis,0,0,0,1,3,4,8,3,0,0
28,Baixa Grande,3,8,8,6,11,23,31,8,2,0
29,Banzaê,5,3,2,17,5,20,14,10,10,1
30,Barra,1,1,3,8,28,64,42,16,10,0
31,Barra da Estiva,0,0,1,0,0,0,0,1,0,0
32,Barra do Choça,1,1,2,10,9,48,35,14,2,0
33,Barra do Mendes,0,3,9,35,38,95,86,54,23,7
34,Barra do Rocha,0,2,1,3,6,18,13,8,0,0
35,Barreiras,18,48,94,153,309,978,520,203,66,11
36,Barro Alto,2,1,6,15,22,57,41,25,14,3
37,Barro Preto,4,1,3,4,4,12,11,6,2,0
38,Barrocas,1,0,0,0,1,6,1,3,0,0
39,Belmonte,2,1,4,6,4,10,6,2,0,0
40,Belo Campo,1,2,1,2,3,9,3,2,2,0
41,Biritinga,0,2,0,0,0,1,3,0,0,0
42,Boa Nova,0,10,12,26,41,92,78,38,28,4
43,Boa Vista do Tupim,0,0,2,8,2,19,17,9,2,0
44,Bom Jesus da Lapa,12,23,45,79,145,428,277,122,35,4
45,Bom Jesus da Serra,0,0,1,1,1,4,2,2,0,0
46,Boninal,0,0,0,0,0,1,1,0,0,0
47,Bonito,3,4,5,14,18,52,30,18,3,0
48,Boquira,1,1,5,6,11,29,21,9,4,2
49,Botuporã,1,7,18,33,72,115,95,53,52,6
50,Brejões,1,0,2,3,7,9,12,1,1,0
51,Brejolândia,3,1,7,5,16,68,44,38,14,3
52,Brotas de Macaúbas,0,2,3,0,1,11,4,2,1,0
53,Brumado,30,132,162,247,288,623,432,204,100,18
54,Buerarema,6,11,14,16,19,58,37,26,8,1
55,Buritirama,3,14,14,15,48,79,43,35,9,2
56,Caatiba,5,1,1,8,9,24,19,3,2,0
57,Cabaceiras do Paraguaçu,0,2,1,0,0,2,2,1,0,0
58,Cachoeira,0,0,0,2,1,12,4,1,0,0
59,Caculé,7,8,15,31,35,110,79,54,25,3
60,Caém,4,0,9,7,9,22,23,7,3,0
61,Caetanos,2,1,3,10,13,33,16,9,3,0
62,Caetité,11,12,34,43,58,158,107,79,32,11
63,Cafarnaum,48,31,66,73,77,203,134,66,27,9
64,Cairu,0,0,0,0,0,2,0,1,0,1
65,Caldeirão Grande,1,0,4,4,6,9,8,6,1,0
66,Camacan,2,1,7,11,11,21,13,11,5,0
67,Camaçari,5,17,8,10,12,37,23,12,2,0
68,Camamu,0,1,0,3,3,8,5,2,1,0
69,Campo Alegre de Lourdes,1,2,5,4,18,23,24,17,11,0
70,Campo Formoso,4,3,3,4,6,21,25,16,5,1
71,Canápolis,0,0,0,0,0,1,1,1,0,0
72,Canarana,4,23,48,81,75,278,247,147,58,6
73,Canavieiras,5,4,8,21,24,47,46,39,18,4
74,Candeal,5,4,2,8,13,30,26,12,5,1
75,Candeias,8,2,2,3,7,11,8,0,1,0
76,Candiba,2,1,4,4,4,13,12,5,3,2
77,Cândido Sales,16,9,17,29,34,91,68,38,9,2
78,Cansanção,0,0,0,0,0,3,2,1,0,0
79,Canudos,0,1,1,2,2,9,7,2,2,0
80,Capela do Alto Alegre,0,0,0,1,0,19,45,5,2,1
81,Capim Grosso,2,5,2,5,8,24,15,4,2,1
82,Caraíbas,0,0,3,2,2,4,2,1,0,0
83,Caravelas,1,4,10,37,32,88,103,44,11,2
84,Cardeal da Silva,0,0,1,0,0,1,1,0,0,0
85,Carinhanha,2,1,4,17,23,65,48,13,7,1
86,Casa Nova,0,0,1,1,1,2,0,1,1,0
87,Castro Alves,0,3,4,4,6,15,7,5,1,0
88,Catolândia,1,0,0,1,0,9,5,0,0,0
89,Catu,1,2,2,2,3,13,10,4,1,0
90,Caturama,0,1,5,8,13,42,34,23,6,4
91,Central,4,3,4,6,3,18,13,13,7,1
92,Chorrochó,0,0,0,0,0,0,1,0,0,0
93,Cícero Dantas,2,7,8,9,9,16,9,7,8,5
94,Cipó,0,0,0,0,2,3,4,0,0,0
95,Coaraci,4,14,38,46,47,101,92,46,19,2
96,Cocos,2,1,1,11,8,16,18,16,6,3
97,Conceição da Feira,1,0,2,2,2,10,5,0,0,0
98,Conceição do Almeida,0,0,0,2,9,10,8,5,0,0
99,Conceição do Coité,6,5,11,7,6,14,14,5,1,0
100,Conceição do Jacuípe,2,6,10,13,21,67,29,8,3,0
101,Conde,1,0,0,0,1,2,0,2,0,0
102,Condeúba,0,6,26,35,44,109,71,36,20,1
103,Contendas do Sincorá,0,0,0,0,0,2,0,0,0,0
104,Coração de Maria,0,1,3,6,3,11,4,0,0,0
105,Cordeiros,1,2,1,1,4,15,14,3,2,0
106,Coribe,4,7,1,18,23,53,28,39,4,5
107,Coronel João Sá,0,0,0,0,1,3,0,2,0,0
