,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,1,0,0,1,0,0,0,0,1,0,0
1,Abaré,1,0,1,4,6,4,0,3,2,1,0,0
2,Acajutiba,1,0,0,32,4,4,1,2,0,0,0,0
3,Adustina,12,5,6,1,3,2,4,0,0,0,1,0
4,Água Fria,0,0,0,4,3,0,3,2,0,0,0,0
5,Aiquara,0,0,0,0,0,1,0,0,0,0,0,0
6,Alagoinhas,1,2,7,6,8,7,13,6,0,1,0,0
7,Alcobaça,8,6,11,18,55,21,19,6,0,8,2,16
8,Almadina,0,0,0,1,0,0,0,1,0,0,0,0
9,Amargosa,0,3,1,13,14,15,9,5,8,3,2,0
10,Amélia Rodrigues,4,6,9,5,15,20,11,3,3,3,2,2
11,América Dourada,0,1,1,4,5,1,0,8,0,3,1,5
12,Anagé,0,0,0,0,0,0,0,0,0,0,0,1
13,Andaraí,1,0,5,4,5,26,7,0,0,0,0,0
14,Andorinha,2,2,1,1,13,25,21,7,11,22,156,61
15,Angical,0,1,0,4,2,1,0,0,0,0,0,0
16,Anguera,0,1,2,7,26,13,25,7,0,0,1,1
17,Antas,3,17,149,60,16,0,0,0,2,17,32,24
18,Antônio Cardoso,0,0,0,2,9,26,32,6,3,1,0,0
19,Antônio Gonçalves,3,0,0,0,0,1,1,1,2,1,1,1
20,Aporá,0,0,0,3,1,0,3,4,3,1,2,0
21,Apuarema,0,0,2,2,1,4,0,2,2,0,0,0
22,Araças,0,3,0,0,0,0,0,1,0,1,0,0
23,Aracatu,0,0,0,1,2,0,0,0,0,0,0,0
24,Araci,5,8,194,357,290,325,28,5,11,10,6,1
25,Arataca,0,1,9,3,1,0,0,0,0,0,0,0
26,Aratuípe,0,0,0,1,0,1,0,1,0,0,0,1
27,Aurelino Leal,0,0,0,12,2,0,0,1,0,0,0,0
28,Baixa Grande,4,5,1,40,120,26,16,4,1,0,0,1
29,Banzaê,1,0,5,6,48,0,15,4,5,0,1,0
30,Barra,2,22,75,304,464,137,42,8,8,2,5,0
31,Barra da Estiva,0,2,12,12,4,4,2,1,0,0,1,9
32,Barra do Choça,0,5,64,11,3,1,5,0,0,0,0,3
33,Barra do Mendes,2,3,1,8,5,7,5,1,1,0,0,0
34,Barra do Rocha,0,2,2,2,0,1,0,0,0,0,1,0
35,Barreiras,7,4,33,90,332,240,105,102,73,37,12,9
36,Barro Alto,0,0,11,4,0,0,3,2,1,0,0,0
37,Barro Preto,0,1,27,3,3,0,0,0,0,0,0,2
38,Barrocas,0,0,0,0,11,5,3,1,0,0,0,0
39,Belmonte,0,0,56,73,48,3,3,0,0,0,0,0
40,Belo Campo,0,1,2,6,2,1,1,0,1,1,0,0
41,Biritinga,0,2,0,2,7,1,16,5,2,0,1,0
42,Boa Nova,0,1,2,23,16,16,7,0,0,0,0,4
43,Boa Vista do Tupim,2,0,2,0,10,2,2,2,1,0,0,0
44,Bom Jesus da Lapa,4,6,32,130,259,158,22,0,0,0,1,2
45,Bonito,0,0,5,10,13,2,3,4,1,0,1,4
46,Boquira,1,4,3,21,39,32,21,8,3,0,0,4
47,Botuporã,1,23,12,13,11,8,3,0,2,0,0,1
48,Brejões,0,0,1,0,0,0,0,0,0,0,1,0
49,Brejolândia,0,0,0,0,1,0,0,0,0,0,0,0
50,Brotas de Macaúbas,0,0,0,2,9,5,9,0,1,1,0,0
51,Brumado,8,2,8,4,9,22,19,52,20,4,46,38
52,Buerarema,0,38,377,185,17,6,2,3,1,2,1,63
53,Buritirama,44,26,10,46,52,85,9,0,0,0,1,1
54,Caatiba,0,0,5,1,3,1,1,3,0,0,0,0
55,Cabaceiras do Paraguaçu,0,0,1,0,3,1,0,1,2,5,0,0
56,Cachoeira,2,0,0,0,2,2,3,4,1,0,0,0
57,Caculé,0,0,0,1,1,0,0,0,1,0,0,0
58,Caém,0,0,0,1,11,6,1,3,0,2,4,0
59,Caetanos,0,0,0,1,0,0,0,0,0,0,0,0
60,Caetité,1,0,6,11,24,21,3,1,2,0,2,0
61,Cafarnaum,0,0,3,0,2,2,6,4,1,1,0,2
62,Cairu,0,0,2,0,0,0,2,1,1,0,0,1
63,Caldeirão Grande,0,1,0,1,3,4,3,0,0,1,0,1
64,Camacan,1,1,11,40,11,11,2,0,0,0,0,3
65,Camaçari,41,67,193,166,140,87,99,33,10,6,6,1
66,Camamu,0,0,9,6,0,0,0,0,1,0,0,0
67,Campo Alegre de Lourdes,0,1,3,4,2,1,0,0,0,0,0,1
