,Codigo,Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,291730,Ituberá,0,1,1,0,0,0,0,0,0,0,0
94,291735,Jaborandi,0,0,1,0,1,0,0,0,0,0,0
95,291750,Jacobina,0,4,2,0,0,0,0,0,0,1,0
96,291760,Jaguaquara,0,0,0,0,0,0,0,0,0,2,0
97,291770,Jaguarari,0,0,0,0,0,0,0,0,0,0,1
98,291790,Jandaíra,0,0,0,0,0,0,0,0,1,0,0
99,291800,Jequié,5,5,2,2,3,0,0,0,0,3,2
100,291830,Jitaúna,0,1,0,0,0,0,0,0,0,0,0
101,291835,João Dourado,0,0,0,0,0,0,0,0,0,1,0
102,291840,Juazeiro,0,0,0,2,0,5,0,0,2,10,3
103,291850,Jussara,1,0,0,0,0,0,0,0,1,0,0
104,291855,Jussari,0,0,0,0,0,1,0,0,0,0,0
105,291905,Lajedo do Tabocal,0,0,2,0,0,0,1,0,0,0,0
106,291915,Lapão,1,0,0,0,1,0,0,0,0,0,0
107,291920,Lauro de Freitas,2,0,0,0,2,2,0,0,1,0,0
108,291940,Licínio de Almeida,0,1,0,0,0,0,0,0,0,0,0
109,291950,Livramento de Nossa Senhora,0,0,1,0,0,0,0,0,1,0,0
110,291955,Luís Eduardo Magalhães,0,1,0,2,0,1,0,0,0,0,2
111,291970,Macarani,0,0,0,1,0,0,0,0,0,0,0
112,291980,Macaúbas,0,0,0,0,1,0,0,0,0,0,0
113,291992,Madre de Deus,1,0,0,0,1,0,0,0,3,0,0
114,292000,Maiquinique,0,0,0,0,0,1,0,0,0,0,0
115,292010,Mairi,0,1,0,0,0,0,0,0,1,0,0
116,292040,Manoel Vitorino,0,0,1,0,0,0,0,0,0,1,0
117,292060,Maragogipe,0,0,1,0,0,0,0,0,0,0,0
118,292080,Marcionílio Souza,0,0,0,0,0,0,0,1,0,1,0
119,292090,Mascote,0,1,0,0,0,0,0,0,0,0,0
120,292100,Mata de São João,0,1,0,0,0,0,0,0,0,2,0
121,292105,Matina,0,1,0,0,0,0,0,0,0,0,0
122,292110,Medeiros Neto,0,0,0,0,1,0,0,0,0,0,0
123,292120,Miguel Calmon,0,0,0,0,0,0,0,0,0,1,0
124,292140,Mirangaba,1,2,0,0,0,0,0,0,0,0,0
