,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,0,1,0,0,1,0
1,Abaré,4,4,17,12,32,92,75,56,26,3
2,Acajutiba,1,1,2,2,2,15,11,9,2,0
3,Adustina,2,3,4,6,2,12,5,4,1,1
4,Água Fria,4,6,9,3,8,27,19,20,9,1
5,Aiquara,2,0,0,0,2,3,4,4,1,0
6,Alagoinhas,27,29,59,69,69,358,334,226,88,16
7,Alcobaça,0,1,5,2,5,11,12,7,2,0
8,Almadina,0,3,5,11,5,12,5,8,1,0
9,Amargosa,15,39,75,113,168,453,327,195,68,21
10,Amélia Rodrigues,0,6,7,2,0,6,18,4,1,0
11,América Dourada,2,2,5,7,6,11,29,9,5,2
12,Anagé,0,1,1,0,2,8,11,2,0,1
13,Andaraí,1,3,6,18,11,19,31,16,14,1
14,Andorinha,0,3,7,9,5,13,16,3,3,0
15,Angical,1,0,0,2,2,7,9,4,0,0
16,Anguera,1,6,4,8,8,24,24,22,7,2
17,Antas,2,5,6,8,6,12,2,2,1,0
18,Antônio Cardoso,2,0,4,4,7,14,12,2,1,1
19,Antônio Gonçalves,1,7,16,11,8,25,26,14,2,3
20,Aporá,0,0,1,1,2,6,3,2,1,1
21,Apuarema,0,3,5,4,13,12,14,14,2,1
22,Araças,1,1,0,2,1,2,4,2,0,0
23,Aracatu,5,2,0,2,5,19,9,10,4,0
24,Araci,3,29,45,34,41,100,70,31,15,5
25,Aramari,0,0,0,0,0,2,0,0,0,0
26,Arataca,0,0,0,0,0,1,1,0,0,0
27,Aratuípe,0,0,0,0,0,1,1,0,0,0
28,Aurelino Leal,3,1,2,3,1,4,7,0,0,0
29,Baianópolis,1,0,0,0,1,3,6,6,0,0
30,Baixa Grande,8,2,20,32,46,72,94,57,16,5
31,Banzaê,0,0,0,0,0,0,1,0,0,0
32,Barra,4,2,3,3,5,7,11,5,1,0
33,Barra da Estiva,1,1,0,2,5,13,6,8,1,0
34,Barra do Choça,1,0,1,1,4,17,11,0,2,0
35,Barra do Mendes,1,2,6,6,8,35,32,16,5,0
36,Barra do Rocha,7,15,31,59,59,103,97,54,27,4
37,Barreiras,18,28,39,46,83,332,222,101,13,6
38,Barro Alto,5,0,5,3,11,27,34,24,15,3
39,Barro Preto,0,1,3,14,7,11,14,6,0,0
40,Barrocas,3,18,26,32,43,107,123,61,39,6
41,Belmonte,1,2,2,0,2,1,3,0,0,0
42,Belo Campo,0,1,0,2,5,8,5,3,0,0
43,Biritinga,9,14,26,25,36,130,95,67,33,19
44,Boa Nova,10,8,9,17,20,52,50,28,10,1
45,Boa Vista do Tupim,1,4,11,11,14,35,19,15,6,2
46,Bom Jesus da Lapa,2,8,15,23,26,71,81,32,14,2
47,Bom Jesus da Serra,0,1,4,5,1,11,3,2,0,0
48,Boninal,0,1,0,0,0,5,6,0,0,0
49,Bonito,0,0,3,1,4,7,7,3,2,0
50,Boquira,1,9,24,23,25,96,82,68,56,21
51,Botuporã,0,0,6,4,9,21,20,8,2,0
52,Brejões,4,3,12,24,32,82,50,32,14,1
53,Brejolândia,0,1,1,5,1,12,13,5,3,2
54,Brotas de Macaúbas,1,2,5,1,2,5,10,11,3,1
55,Brumado,13,101,168,202,197,353,260,159,55,10
56,Buerarema,1,6,11,3,6,9,6,4,0,0
57,Caatiba,6,3,4,10,9,13,16,3,1,2
58,Cabaceiras do Paraguaçu,3,4,3,10,15,31,21,7,8,0
59,Cachoeira,7,2,6,8,9,42,34,15,6,0
60,Caculé,2,20,21,22,51,71,55,26,12,4
61,Caém,1,1,2,0,1,1,3,0,0,1
62,Caetanos,3,8,6,3,7,24,24,9,4,0
