,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,0,3
1,Adustina,0,0,11,10
2,Água Fria,0,0,1,3
3,Alagoinhas,0,0,6,13
4,Alcobaça,0,0,4,1
5,Amargosa,0,0,0,2
6,Amélia Rodrigues,0,0,1,0
7,América Dourada,0,0,6,16
8,Andaraí,0,0,2,6
9,Andorinha,0,0,1,0
10,Angical,0,0,10,7
11,Anguera,0,0,3,6
12,Antônio Cardoso,0,0,1,3
13,Antônio Gonçalves,0,0,5,2
14,Apuarema,0,0,4,3
15,Araci,0,0,1,2
16,Aratuípe,0,0,1,0
17,Banzaê,0,0,2,1
18,Barra,0,0,59,144
19,Barra do Choça,0,0,1,2
20,Barra do Rocha,0,0,1,1
21,Barreiras,0,0,173,262
22,Barro Preto,0,0,1,0
23,Barrocas,0,0,1,0
24,Belmonte,0,0,124,129
25,Boa Vista do Tupim,0,0,1,2
26,Bom Jesus da Lapa,0,0,420,711
27,Bonito,0,0,1,0
28,Boquira,0,0,7,8
29,Botuporã,0,0,3,5
30,Brejões,0,0,1,2
31,Brejolândia,0,0,59,58
32,Brotas de Macaúbas,0,0,2,3
33,Brumado,0,0,7,7
34,Buerarema,0,0,0,2
35,Buritirama,0,0,48,81
36,Caatiba,0,0,1,1
37,Cachoeira,0,0,1,2
38,Caculé,0,0,2,0
39,Caém,0,0,1,0
40,Caetité,0,0,5,5
41,Cafarnaum,0,0,0,2
42,Camaçari,0,1,71,95
43,Camamu,0,0,2,1
44,Campo Alegre de Lourdes,0,0,6,17
45,Campo Formoso,0,0,4,4
46,Canápolis,0,0,36,44
47,Canarana,0,0,29,63
48,Canavieiras,0,0,1,0
49,Candeal,0,0,1,0
50,Candeias,0,0,3,6
51,Cândido Sales,0,0,0,2
52,Capim Grosso,0,0,1,0
53,Caravelas,0,0,1,2
54,Carinhanha,0,0,92,89
55,Casa Nova,0,0,128,236
56,Castro Alves,0,0,0,1
57,Catu,0,0,2,4
58,Caturama,0,0,4,4
59,Central,0,0,1,1
60,Cícero Dantas,0,0,3,5
61,Cipó,0,0,1,1
62,Coaraci,0,0,5,4
63,Conceição do Coité,0,0,2,0
64,Conceição do Jacuípe,0,0,3,3
65,Condeúba,0,0,2,1
66,Coração de Maria,0,0,2,12
67,Coribe,0,0,4,1
68,Correntina,0,0,264,413
69,Cotegipe,0,0,14,19
70,Cristópolis,0,0,13,4
71,Cruz das Almas,0,0,2,3
72,Curaçá,0,0,0,2
73,Dias d'Ávila,0,0,19,11
74,Dom Basílio,0,0,63,60
75,Érico Cardoso,0,0,0,3
76,Euclides da Cunha,0,0,4,10
77,Eunápolis,0,0,49,47
78,Fátima,0,0,1,1
79,Feira de Santana,0,0,515,620
80,Filadélfia,0,0,4,5
81,Floresta Azul,0,0,3,3
82,Formosa do Rio Preto,0,0,3,0
83,Gandu,0,0,2,1
84,Gentio do Ouro,0,0,25,29
85,Glória,0,0,3,5
86,Gongogi,0,0,1,0
87,Governador Mangabeira,0,0,12,23
88,Guajeru,0,0,0,1
89,Guanambi,0,0,7,6
90,Guaratinga,0,0,0,1
91,Iaçu,0,0,3,1
92,Ibiassucê,0,0,1,1
93,Ibicaraí,0,0,44,53
94,Ibicuí,0,0,0,1
95,Ibipeba,0,0,1,0
96,Ibipitanga,0,0,3,2
97,Ibirapitanga,0,0,1,0
98,Ibirapuã,0,0,0,1
99,Ibirataia,0,0,1,0
100,Ibotirama,0,0,65,89
101,Ichu,0,0,0,1
102,Igaporã,0,0,15,25
103,Igrapiúna,0,0,0,1
104,Ilhéus,0,0,102,111
105,Inhambupe,0,0,0,1
106,Ipecaetá,0,0,2,8
107,Ipiaú,0,0,15,7
108,Ipirá,0,0,7,14
109,Ipupiara,0,0,13,17
110,Iraquara,0,0,9,14
111,Irará,0,0,0,1
112,Irecê,0,0,8,9
113,Itabela,0,0,3,3
114,Itaberaba,0,0,23,17
115,Itabuna,0,0,122,149
116,Itacaré,0,0,3,8
117,Itagi,0,0,1,0
118,Itagimirim,0,0,1,1
119,Itaguaçu da Bahia,0,0,5,4
120,Itajuípe,0,0,3,3
121,Itamaraju,0,0,12,17
122,Itamari,0,0,1,2
123,Itanhém,0,0,61,77
124,Itaparica,0,0,0,1
125,Itapé,0,0,0,1
126,Itapebi,0,0,5,1
127,Itapetinga,0,0,1,1
128,Itapicuru,0,0,1,0
129,Itapitanga,0,0,0,1
130,Itiúba,0,0,4,7
131,Itororó,0,0,1,1
132,Ituaçu,0,0,2,1
133,Ituberá,0,0,2,3
134,Iuiú,0,0,2,3
135,Jaborandi,0,0,16,29
136,Jacaraci,0,0,2,0
137,Jacobina,0,0,18,14
138,Jaguaquara,0,0,7,9
139,Jaguarari,0,0,2,3
140,Jandaíra,0,0,2,0
141,Jequié,0,0,8,22
142,Jeremoabo,0,0,0,2
143,Jiquiriçá,0,0,0,1
144,Juazeiro,0,0,52,70
145,Jussara,0,0,0,1
146,Lajedinho,0,0,1,0
147,Lajedo do Tabocal,0,0,7,9
148,Lamarão,0,0,5,9
149,Lapão,0,0,1,0
150,Lauro de Freitas,0,0,24,30
151,Lençóis,0,0,6,2
152,Livramento de Nossa Senhora,0,0,75,83
153,Luís Eduardo Magalhães,0,0,31,34
154,Macaúbas,0,0,50,43
155,Madre de Deus,0,0,6,11
156,Maetinga,0,0,1,0
157,Mairi,0,0,7,8
158,Malhada,0,0,26,40
159,Manoel Vitorino,0,0,3,7
160,Maracás,0,0,18,29
161,Marcionílio Souza,0,0,2,0
