,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,1,0,0,0,0,0
1,Abaré,0,0,0,0,1,2,1,0,0,0
2,Acajutiba,0,0,1,1,2,7,3,2,0,0
3,Adustina,13,30,29,29,29,83,70,32,13,3
4,Água Fria,1,1,1,2,1,7,6,1,0,1
5,Aiquara,0,0,0,1,1,4,2,3,0,0
6,Alagoinhas,0,1,5,4,5,24,14,3,0,1
7,Alcobaça,0,2,9,6,9,12,7,8,0,0
8,Almadina,0,2,2,0,1,1,3,1,0,0
9,Amargosa,2,0,2,2,2,13,3,2,0,0
10,Amélia Rodrigues,1,3,4,17,21,19,14,26,2,0
11,América Dourada,0,1,2,3,3,6,29,4,0,0
12,Anagé,0,3,2,5,7,34,22,11,9,1
13,Andaraí,1,2,0,7,8,30,15,13,0,0
14,Andorinha,2,6,8,9,12,22,16,5,2,0
15,Angical,0,0,0,0,3,4,3,1,0,0
16,Anguera,2,4,7,8,15,41,21,3,1,0
17,Antas,6,1,5,6,5,19,16,9,3,1
18,Antônio Cardoso,0,0,0,2,5,1,3,1,0,0
19,Antônio Gonçalves,6,3,17,14,4,23,22,11,7,0
20,Aporá,1,0,0,3,1,6,3,1,1,0
21,Apuarema,1,1,0,3,1,6,3,2,0,0
22,Araças,0,0,2,1,7,7,2,1,2,0
23,Aracatu,1,0,0,2,6,23,11,8,4,1
24,Araci,0,2,4,5,5,11,8,3,3,0
25,Aramari,0,0,0,1,0,0,0,1,0,0
26,Arataca,0,1,0,8,3,20,4,7,2,0
27,Aratuípe,0,1,0,0,0,2,1,0,0,0
28,Aurelino Leal,0,0,0,0,2,2,2,1,0,0
29,Baixa Grande,4,10,8,20,30,52,42,35,8,1
30,Banzaê,6,8,10,16,20,43,34,22,8,1
31,Barra,0,0,0,2,2,6,3,1,1,0
32,Barra da Estiva,0,0,2,3,2,6,1,1,1,0
33,Barra do Choça,0,0,1,9,4,9,6,3,2,0
34,Barra do Mendes,0,1,1,3,5,7,4,4,2,1
35,Barra do Rocha,1,0,0,0,0,5,7,2,0,0
36,Barreiras,8,10,20,27,38,185,82,29,7,0
37,Barro Alto,0,0,0,1,0,0,0,0,0,0
38,Barro Preto,3,3,8,8,12,19,19,6,2,0
39,Barrocas,2,1,2,12,12,38,23,14,1,0
40,Belmonte,0,1,3,1,3,10,1,1,0,0
41,Belo Campo,6,25,27,51,50,207,91,73,34,13
42,Biritinga,1,1,6,3,4,19,9,8,1,0
43,Boa Nova,0,0,0,2,0,3,1,2,0,0
44,Boa Vista do Tupim,1,1,0,1,2,1,3,2,0,0
45,Bom Jesus da Lapa,0,1,0,7,3,10,7,4,0,0
46,Bom Jesus da Serra,1,2,3,1,1,7,14,4,0,0
47,Bonito,1,1,4,2,0,7,6,3,0,0
48,Boquira,1,4,4,5,11,31,15,5,1,0
49,Botuporã,0,1,4,2,4,13,10,6,3,0
50,Brejões,0,1,2,0,5,4,3,3,0,0
51,Brejolândia,0,0,0,1,0,2,0,2,0,0
52,Brotas de Macaúbas,0,3,19,30,34,53,40,18,7,5
53,Brumado,4,10,15,28,36,97,51,29,13,6
54,Buerarema,5,20,31,58,58,97,83,65,23,8
55,Buritirama,1,0,0,0,0,1,0,0,0,0
56,Caatiba,1,0,0,1,1,4,0,2,0,0
57,Cabaceiras do Paraguaçu,0,0,0,0,0,4,1,2,0,0
58,Cachoeira,0,2,4,11,5,15,14,6,1,0
59,Caculé,1,2,4,11,7,23,12,5,0,0
60,Caém,0,1,2,2,7,15,4,2,2,0
61,Caetanos,1,2,4,9,10,34,18,3,1,1
62,Caetité,1,1,1,7,8,14,12,7,2,0
63,Cafarnaum,0,0,0,0,2,1,3,8,0,0
64,Cairu,2,0,1,5,9,55,33,11,6,0
65,Caldeirão Grande,3,10,13,17,10,50,33,14,7,2
66,Camacan,4,10,29,44,28,75,39,22,6,2
67,Camaçari,13,39,50,59,40,154,102,49,7,3
68,Camamu,1,0,0,1,1,3,2,0,0,0
69,Campo Alegre de Lourdes,0,0,1,0,1,5,4,4,1,0
70,Campo Formoso,6,7,22,14,19,65,42,20,6,0
71,Canápolis,0,0,0,0,0,1,0,0,1,0
72,Canarana,5,9,28,25,25,67,46,31,12,3
73,Canavieiras,2,1,10,10,15,38,17,9,4,0
74,Candeal,0,0,3,3,6,22,18,9,1,0
75,Candeias,6,5,5,10,13,52,28,16,2,0
76,Candiba,1,1,0,3,2,7,8,8,3,0
77,Cândido Sales,0,0,1,1,1,3,1,1,1,0
78,Cansanção,2,2,0,5,6,10,8,5,0,0
79,Canudos,0,5,5,7,9,18,27,5,8,1
80,Capela do Alto Alegre,1,1,1,2,2,9,22,14,2,1
81,Capim Grosso,28,19,62,38,90,182,100,84,14,1
82,Caraíbas,0,0,0,0,1,0,1,0,0,0
83,Caravelas,7,5,14,27,32,80,51,43,4,2
84,Cardeal da Silva,0,0,0,0,0,4,1,2,0,0
85,Carinhanha,0,0,1,2,1,4,2,1,0,0
86,Casa Nova,0,0,1,1,7,33,10,2,1,1
87,Castro Alves,1,3,5,13,10,49,28,14,0,0
88,Catu,2,4,2,4,4,21,16,17,2,1
89,Caturama,0,0,0,0,1,3,0,0,0,0
90,Central,2,1,0,1,1,3,2,1,1,1
91,Chorrochó,2,1,2,1,0,6,15,4,1,0
92,Cícero Dantas,15,26,28,28,29,81,88,42,21,3
93,Cipó,3,4,7,7,1,17,6,11,3,1
94,Coaraci,7,31,59,63,36,82,45,17,6,0
95,Cocos,0,0,1,0,3,6,4,2,3,0
96,Conceição da Feira,2,2,2,2,1,10,5,4,0,0
97,Conceição do Almeida,2,4,0,1,2,11,9,8,3,0
98,Conceição do Coité,9,22,45,50,34,97,73,20,11,3
99,Conceição do Jacuípe,9,32,33,47,82,305,153,25,10,2
100,Conde,0,0,0,4,5,13,12,3,1,0
101,Condeúba,1,1,1,1,1,6,3,0,1,0
102,Coração de Maria,0,2,6,5,6,12,3,2,0,0
103,Cordeiros,1,3,6,14,7,35,20,14,5,2
104,Coribe,0,0,0,0,0,2,3,1,2,0
105,Coronel João Sá,1,1,4,0,3,9,5,4,0,0
106,Correntina,0,0,0,1,0,3,2,0,0,0
107,Cotegipe,1,3,0,0,1,3,2,4,0,0
108,Cravolândia,1,0,4,6,14,18,15,16,2,0
109,Crisópolis,0,2,0,0,1,2,1,1,0,0
110,Cristópolis,0,0,2,0,1,5,1,2,0,0
111,Cruz das Almas,7,10,6,13,13,69,51,23,5,2
112,Curaçá,0,1,0,2,2,3,7,0,0,0
113,Dário Meira,0,0,1,0,0,4,1,5,0,0
114,Dias d'Ávila,7,4,8,8,15,48,32,19,5,1
115,Dom Basílio,0,0,0,0,0,2,3,0,0,0
116,Dom Macedo Costa,0,0,0,0,1,3,1,1,0,0
117,Elísio Medrado,0,0,1,0,0,3,1,2,0,0
118,Encruzilhada,2,0,4,4,4,10,7,2,0,0
119,Entre Rios,6,1,7,15,17,34,30,9,0,1
120,Esplanada,0,1,4,9,14,11,8,7,0,0
121,Euclides da Cunha,2,6,11,13,23,37,25,10,1,0
122,Eunápolis,26,14,26,43,75,232,84,42,16,2
123,Fátima,5,21,25,21,30,54,39,23,8,3
124,Feira da Mata,2,0,0,4,1,10,6,5,0,0
125,Feira de Santana,96,240,413,523,562,1877,1167,513,121,20
126,Filadélfia,1,3,12,13,6,21,8,7,1,0
127,Firmino Alves,0,0,0,0,1,0,0,0,0,0
128,Floresta Azul,0,8,6,5,6,17,7,4,0,0
129,Formosa do Rio Preto,0,0,0,1,0,0,1,0,0,0
130,Gandu,0,1,5,2,1,11,5,2,1,0
131,Gavião,1,1,1,0,4,16,12,4,1,0
132,Gentio do Ouro,0,1,2,4,2,10,3,4,1,0
133,Glória,3,1,4,7,1,17,10,8,5,0
134,Gongogi,0,0,1,0,0,4,2,0,0,0
135,Governador Mangabeira,2,1,2,2,2,10,9,3,1,0
136,Guajeru,1,1,4,4,4,16,14,14,2,0
137,Guanambi,42,67,133,180,217,605,353,150,60,9
138,Guaratinga,1,1,1,0,0,1,1,2,0,0
139,Heliópolis,0,0,1,0,1,4,6,1,1,0
140,Iaçu,3,4,6,14,17,47,22,13,2,1
141,Ibiassucê,0,3,4,1,0,6,7,3,0,0
142,Ibicaraí,24,44,70,71,76,163,85,46,15,2
143,Ibicuí,0,0,0,0,2,6,1,2,0,0
144,Ibipeba,2,11,7,13,10,37,20,24,9,5
145,Ibipitanga,1,4,1,2,2,12,10,6,3,2
146,Ibiquera,1,0,0,1,1,7,4,1,1,0
147,Ibirapitanga,0,0,0,0,1,1,0,2,0,0
148,Ibirapuã,7,6,10,13,14,64,47,17,8,1
149,Ibirataia,12,17,27,58,52,94,46,39,14,3
150,Ibitiara,3,0,4,3,3,21,19,12,8,1
151,Ibititá,0,0,0,0,1,1,0,0,0,0
152,Ibotirama,1,0,0,0,2,2,2,0,0,0
153,Ichu,10,5,6,18,22,60,46,20,12,1
154,Igaporã,0,0,0,1,2,13,8,1,1,0
