,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,0,1,0,0,0,0
1,Abaré,0,0,0,0,0,0,2,2,0,0
2,Acajutiba,2,0,0,0,1,4,1,0,0,0
3,Adustina,5,6,7,7,2,31,30,11,9,1
4,Aiquara,0,0,0,0,0,0,0,1,0,0
5,Alagoinhas,2,1,4,5,4,26,26,13,4,0
6,Alcobaça,4,3,6,12,10,14,17,5,4,1
7,Almadina,0,1,0,0,1,0,0,0,0,0
8,Amargosa,0,4,2,1,16,23,14,6,3,1
9,Amélia Rodrigues,1,2,2,2,0,0,0,2,0,0
10,América Dourada,0,1,1,5,1,6,3,1,1,0
11,Anagé,0,0,0,0,1,0,0,0,0,0
12,Andaraí,2,3,3,3,10,13,18,11,3,0
13,Andorinha,4,7,4,1,1,5,8,1,1,0
14,Angical,0,0,0,0,1,1,2,0,0,0
15,Anguera,1,2,0,1,1,7,3,0,0,0
16,Antas,0,0,1,2,0,2,1,0,0,0
17,Antônio Cardoso,0,0,1,1,0,2,1,0,0,0
18,Antônio Gonçalves,2,3,4,4,2,0,3,2,0,0
19,Apuarema,1,0,0,1,2,0,3,1,0,0
20,Araças,0,0,0,1,0,0,1,0,0,0
21,Aracatu,0,0,0,1,0,0,0,0,0,0
22,Araci,5,5,5,7,8,21,6,6,0,1
23,Arataca,0,0,0,1,1,3,2,1,0,0
24,Aratuípe,0,0,0,0,0,0,1,0,0,0
25,Aurelino Leal,0,0,3,1,4,1,0,0,0,0
26,Baianópolis,0,0,0,0,0,1,0,0,0,0
27,Baixa Grande,5,3,3,8,11,25,20,9,2,0
28,Banzaê,1,2,0,1,5,4,2,1,0,0
29,Barra,0,0,0,4,6,15,16,6,2,3
30,Barra da Estiva,3,5,11,50,58,165,97,71,21,8
31,Barra do Choça,0,0,0,0,3,6,3,0,1,0
32,Barra do Mendes,0,2,0,2,3,12,11,1,2,0
33,Barreiras,11,14,22,10,15,45,28,18,1,1
34,Barro Preto,2,2,2,3,8,17,7,5,0,1
35,Barrocas,0,0,1,1,0,5,1,1,0,0
36,Belmonte,0,2,0,0,0,0,1,2,1,0
37,Belo Campo,0,0,0,0,1,0,1,0,1,0
38,Biritinga,0,0,0,1,0,3,1,1,0,0
39,Boa Nova,0,1,0,0,1,1,1,0,0,0
40,Boa Vista do Tupim,0,0,0,0,0,3,0,0,0,0
41,Bom Jesus da Lapa,0,1,2,1,5,19,9,7,2,0
42,Bom Jesus da Serra,0,0,0,0,0,0,0,1,0,0
43,Bonito,0,0,0,0,2,0,3,0,1,0
44,Boquira,1,0,0,2,1,5,5,1,0,0
45,Botuporã,0,0,1,1,1,4,3,2,2,0
46,Brejões,2,1,2,1,0,0,4,2,0,0
47,Brotas de Macaúbas,0,0,0,0,0,0,3,1,0,0
48,Brumado,0,6,6,6,6,14,3,7,3,0
49,Buerarema,0,1,2,4,3,9,7,2,0,1
50,Buritirama,1,0,1,5,8,20,11,5,2,0
51,Caatiba,0,0,0,1,2,1,1,0,0,0
52,Cabaceiras do Paraguaçu,1,0,3,2,1,7,5,4,0,0
53,Cachoeira,0,3,4,1,0,8,6,2,1,0
54,Caculé,0,0,0,0,0,3,1,0,0,0
55,Caém,0,0,1,0,1,1,0,1,0,0
56,Caetanos,0,0,0,0,0,0,0,1,0,0
57,Caetité,0,0,1,2,5,8,5,2,0,0
58,Cafarnaum,0,0,0,1,2,2,2,0,1,0
59,Cairu,1,1,0,0,0,1,1,0,0,0
60,Caldeirão Grande,0,2,1,2,0,2,3,2,0,0
61,Camaçari,4,20,17,28,22,74,48,14,3,0
62,Campo Alegre de Lourdes,0,0,1,0,1,2,3,0,0,0
63,Campo Formoso,4,1,2,3,3,4,4,2,0,0
64,Canápolis,0,0,0,0,2,0,0,1,0,0
65,Canarana,0,0,0,0,2,5,2,2,0,0
66,Canavieiras,0,0,0,0,1,1,0,0,0,0
67,Candeal,0,2,0,0,0,0,0,0,0,0
68,Candeias,2,1,3,1,5,14,8,2,1,1
69,Cândido Sales,6,1,3,6,13,29,25,20,7,1
70,Cansanção,0,0,0,0,0,3,1,0,0,0
71,Canudos,0,1,0,1,2,5,7,2,1,0
72,Capela do Alto Alegre,0,0,1,0,0,4,1,0,1,0
73,Capim Grosso,0,0,1,1,1,5,2,2,1,0
74,Caraíbas,0,0,0,1,0,0,0,0,0,0
75,Caravelas,0,1,2,4,2,9,5,3,2,0
76,Cardeal da Silva,0,0,0,0,0,3,0,0,0,0
77,Carinhanha,0,4,11,19,10,8,9,7,5,0
78,Casa Nova,9,1,13,19,50,129,109,44,17,1
79,Castro Alves,0,1,2,0,2,3,4,1,0,0
80,Catolândia,0,0,1,0,1,3,1,0,1,0
81,Catu,0,4,4,3,2,9,8,1,1,1
82,Central,0,1,0,0,0,0,0,0,0,0
83,Chorrochó,0,0,0,0,2,9,5,5,3,1
84,Cícero Dantas,2,4,2,0,2,11,13,5,5,1
85,Coaraci,0,1,0,7,10,11,8,9,2,0
86,Cocos,1,0,0,0,0,0,0,0,0,0
87,Conceição da Feira,0,0,0,2,7,12,13,2,1,0
88,Conceição do Almeida,0,0,0,0,5,2,4,5,0,0
89,Conceição do Coité,1,4,3,2,1,7,4,1,0,0
90,Conceição do Jacuípe,0,3,10,15,18,70,54,23,6,1
91,Conde,0,0,0,0,2,1,0,0,0,0
92,Condeúba,2,0,0,4,4,7,5,2,1,1
