,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,61,98
1,Acajutiba,0,0,5,3
2,Adustina,0,0,21,43
3,Água Fria,0,0,16,18
4,Aiquara,0,0,37,46
5,Alagoinhas,0,0,23,25
6,Almadina,0,0,1,4
7,Amargosa,0,0,249,458
8,Amélia Rodrigues,0,0,9,14
9,América Dourada,0,0,115,153
10,Anagé,0,0,16,33
11,Andaraí,0,0,44,70
12,Andorinha,0,0,13,7
13,Angical,0,0,36,53
14,Anguera,0,0,4,4
15,Antas,0,0,7,6
16,Antônio Cardoso,0,0,8,10
17,Antônio Gonçalves,0,0,16,14
18,Aporá,0,0,4,10
19,Apuarema,0,0,4,8
20,Araças,0,0,5,2
21,Aracatu,0,0,9,9
22,Araci,0,0,19,26
23,Aramari,0,0,0,1
24,Arataca,0,0,9,5
25,Aratuípe,0,0,0,1
26,Aurelino Leal,0,0,1,5
27,Baianópolis,0,0,11,8
28,Baixa Grande,0,0,40,60
29,Banzaê,0,0,32,55
30,Barra,0,0,79,94
31,Barra da Estiva,0,0,2,0
32,Barra do Choça,0,0,64,58
33,Barra do Mendes,0,0,120,230
34,Barra do Rocha,0,0,21,30
35,Barreiras,0,2,1042,1356
36,Barro Alto,0,0,49,137
37,Barro Preto,0,0,21,26
38,Barrocas,0,0,7,5
39,Belmonte,0,0,17,18
40,Belo Campo,0,0,12,13
41,Biritinga,0,0,3,3
42,Boa Nova,0,0,97,232
43,Boa Vista do Tupim,0,0,16,43
44,Bom Jesus da Lapa,0,0,480,690
45,Bom Jesus da Serra,0,0,3,8
46,Boninal,0,0,0,2
47,Bonito,0,0,58,89
48,Boquira,0,0,44,45
49,Botuporã,0,0,190,262
50,Brejões,0,0,20,16
51,Brejolândia,0,0,80,119
52,Brotas de Macaúbas,0,0,10,14
53,Brumado,0,1,968,1267
54,Buerarema,0,0,81,115
55,Buritirama,0,0,117,145
56,Caatiba,0,0,32,40
57,Cabaceiras do Paraguaçu,0,0,2,6
58,Cachoeira,0,0,10,10
59,Caculé,0,0,132,235
60,Caém,0,0,32,52
61,Caetanos,0,0,40,50
62,Caetité,0,1,199,345
63,Cafarnaum,0,0,268,466
64,Cairu,0,0,2,2
65,Caldeirão Grande,0,0,15,24
66,Camacan,0,0,27,55
67,Camaçari,0,0,53,73
68,Camamu,0,0,12,11
69,Campo Alegre de Lourdes,0,0,25,81
70,Campo Formoso,0,0,32,56
71,Canápolis,0,0,2,1
72,Canarana,0,0,328,639
73,Canavieiras,0,0,81,135
74,Candeal,0,0,40,66
75,Candeias,0,0,25,17
76,Candiba,0,1,18,31
77,Cândido Sales,0,1,120,192
78,Cansanção,0,0,2,4
79,Canudos,0,0,14,12
80,Capela do Alto Alegre,0,0,24,49
81,Capim Grosso,0,3,28,37
82,Caraíbas,0,0,5,9
83,Caravelas,0,0,140,192
84,Cardeal da Silva,0,0,2,1
85,Carinhanha,0,0,66,115
86,Casa Nova,0,0,2,5
87,Castro Alves,0,0,24,21
88,Catolândia,0,0,7,9
89,Catu,0,0,12,26
90,Caturama,0,0,50,86
91,Central,0,0,22,50
92,Chorrochó,0,0,0,1
93,Cícero Dantas,0,0,33,47
94,Cipó,0,0,3,6
95,Coaraci,0,0,160,249
96,Cocos,0,0,32,50
97,Conceição da Feira,0,0,8,14
98,Conceição do Almeida,0,0,6,28
99,Conceição do Coité,0,0,26,43
100,Conceição do Jacuípe,0,0,77,82
101,Conde,0,0,2,4
102,Condeúba,0,0,133,215
103,Contendas do Sincorá,0,0,1,1
104,Coração de Maria,0,0,10,18
105,Cordeiros,0,0,22,21
106,Coribe,0,0,67,115
