,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,1,0,1,0,0,0,1,0
1,Adustina,1,0,1,1,4,7,5,2,0,0
2,Água Fria,0,0,0,2,0,2,0,0,0,0
3,Alagoinhas,1,1,1,1,1,5,5,2,2,0
4,Alcobaça,1,0,1,1,0,1,1,0,0,0
5,Amargosa,0,0,0,0,0,2,0,0,0,0
6,Amélia Rodrigues,0,1,0,0,0,0,0,0,0,0
7,América Dourada,1,1,0,2,2,5,7,3,1,0
8,Andaraí,1,4,2,1,0,0,0,0,0,0
9,Andorinha,0,0,1,0,0,0,0,0,0,0
10,Angical,2,0,2,1,1,8,1,1,1,0
11,Anguera,0,0,1,1,0,5,2,0,0,0
12,Antônio Cardoso,0,0,0,0,0,2,1,1,0,0
13,Antônio Gonçalves,0,0,3,0,0,2,2,0,0,0
14,Apuarema,0,0,2,0,1,1,3,0,0,0
15,Araci,0,0,1,1,0,0,1,0,0,0
16,Aratuípe,0,0,1,0,0,0,0,0,0,0
17,Banzaê,0,0,0,1,1,1,0,0,0,0
18,Barra,4,3,5,13,10,69,64,23,11,1
19,Barra do Choça,0,0,0,0,0,1,2,0,0,0
20,Barra do Rocha,0,0,1,0,0,1,0,0,0,0
21,Barreiras,6,13,20,37,54,146,106,47,6,0
22,Barro Preto,0,0,0,0,0,1,0,0,0,0
23,Barrocas,0,0,1,0,0,0,0,0,0,0
24,Belmonte,2,9,14,14,40,62,54,42,13,3
25,Boa Vista do Tupim,0,0,0,0,0,1,2,0,0,0
26,Bom Jesus da Lapa,10,28,53,85,121,312,289,170,55,8
27,Bonito,0,0,0,1,0,0,0,0,0,0
28,Boquira,0,0,2,3,3,5,2,0,0,0
29,Botuporã,0,0,0,0,0,4,3,1,0,0
30,Brejões,0,0,0,1,1,0,1,0,0,0
31,Brejolândia,9,8,20,11,12,18,16,9,10,3
32,Brotas de Macaúbas,0,0,1,2,0,1,0,1,0,0
33,Brumado,0,0,2,1,1,2,4,1,3,0
34,Buerarema,0,0,0,0,0,0,1,0,1,0
35,Buritirama,0,3,5,5,14,47,32,16,7,0
36,Caatiba,0,0,0,1,0,1,0,0,0,0
37,Cachoeira,0,0,1,1,0,1,0,0,0,0
38,Caculé,0,0,0,0,0,1,1,0,0,0
39,Caém,0,0,0,0,0,0,1,0,0,0
40,Caetité,0,0,0,0,0,4,5,0,1,0
41,Cafarnaum,0,0,0,0,0,0,2,0,0,0
42,Camaçari,14,8,7,17,16,45,38,15,6,1
43,Camamu,0,3,0,0,0,0,0,0,0,0
44,Campo Alegre de Lourdes,0,0,2,1,2,6,7,4,0,1
45,Campo Formoso,0,0,0,1,3,3,1,0,0,0
46,Canápolis,0,2,8,8,6,19,23,10,3,1
47,Canarana,1,2,3,6,7,28,27,11,7,0
48,Canavieiras,0,0,0,0,0,1,0,0,0,0
49,Candeal,0,0,0,0,0,1,0,0,0,0
50,Candeias,0,1,1,1,1,2,1,2,0,0
51,Cândido Sales,0,0,1,0,0,0,0,1,0,0
52,Capim Grosso,0,0,0,0,0,1,0,0,0,0
