,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,0,0,1,0,0,0,0,0,0,0,3
1,Abaré,0,0,1,3,0,0,1,0,0,1,0,0
2,Adustina,1,0,0,0,0,0,0,7,0,0,0,0
3,Água Fria,0,0,1,0,0,0,0,0,0,0,0,0
4,Aiquara,1,0,0,0,0,0,0,0,0,0,1,2
5,Alagoinhas,3,1,2,0,0,2,3,3,5,2,2,0
6,Alcobaça,0,1,1,0,0,5,0,1,0,0,1,0
7,Amargosa,0,0,1,0,1,0,1,0,0,0,0,2
8,Amélia Rodrigues,1,0,0,0,0,1,0,0,0,0,0,0
9,América Dourada,0,0,3,4,3,0,0,0,0,1,0,0
10,Andaraí,0,0,0,0,0,0,0,0,1,0,0,0
11,Andorinha,0,0,2,2,0,0,0,1,0,0,0,0
12,Angical,1,0,0,0,0,0,0,0,1,1,0,0
13,Anguera,0,0,0,0,2,0,0,0,0,0,1,0
14,Antas,0,0,0,0,0,1,0,0,0,0,0,0
15,Antônio Cardoso,1,0,0,1,0,0,0,0,1,0,0,0
16,Antônio Gonçalves,0,0,2,0,0,0,0,0,0,0,0,0
17,Apuarema,0,0,0,0,1,0,0,0,0,1,1,0
18,Aracatu,0,1,1,0,0,0,0,0,0,0,0,0
19,Araci,3,0,3,1,3,0,1,0,1,0,0,1
20,Arataca,0,0,0,0,0,0,1,1,0,0,1,0
21,Aurelino Leal,0,4,0,0,0,0,0,0,0,0,0,0
22,Baianópolis,0,0,1,0,1,1,0,0,0,0,0,0
23,Baixa Grande,1,2,11,5,15,18,24,8,1,0,0,0
24,Banzaê,1,1,0,0,0,0,0,0,1,1,0,0
25,Barra,1,0,2,5,1,0,0,3,2,0,0,2
26,Barra da Estiva,0,0,0,0,0,0,0,0,0,1,0,0
27,Barra do Choça,1,0,0,2,0,0,0,0,0,1,2,0
28,Barra do Mendes,3,0,1,0,0,0,0,0,2,0,0,0
29,Barra do Rocha,2,2,0,3,9,0,2,0,0,0,1,0
30,Barreiras,3,7,18,37,88,82,35,17,13,13,12,6
31,Barro Alto,0,1,0,0,0,0,0,0,0,0,0,0
32,Barro Preto,11,3,2,1,1,0,0,0,0,0,0,0
33,Barrocas,0,0,0,0,0,0,0,0,0,0,1,0
34,Belmonte,2,2,1,1,3,0,2,22,0,7,19,3
35,Belo Campo,12,15,2,0,1,0,0,0,0,0,0,0
36,Biritinga,1,0,0,0,0,0,0,0,0,0,0,0
37,Boa Nova,2,1,0,0,0,0,0,0,0,0,0,0
38,Boa Vista do Tupim,0,0,1,0,0,0,4,0,0,0,0,0
39,Bom Jesus da Lapa,6,0,0,0,1,6,1,5,1,2,4,7
40,Bonito,0,0,1,0,1,0,0,0,0,0,0,0
41,Boquira,1,2,0,0,0,0,0,0,0,0,1,0
42,Botuporã,4,23,51,16,14,4,1,0,1,2,0,2
43,Brejolândia,0,1,0,0,0,0,0,0,0,0,0,0
44,Brotas de Macaúbas,0,1,1,4,1,0,0,0,0,0,0,0
45,Brumado,5,4,9,0,0,2,1,0,1,1,3,2
46,Buerarema,14,4,5,1,1,1,0,1,0,2,3,0
47,Buritirama,1,1,2,3,28,43,11,1,0,0,1,5
48,Caatiba,0,1,0,1,0,4,0,0,0,0,0,0
49,Cabaceiras do Paraguaçu,0,0,0,0,1,0,0,0,0,0,0,0
50,Caculé,0,1,0,0,1,0,0,0,0,0,0,0
51,Caém,0,0,0,0,0,1,0,0,0,0,0,0
52,Caetité,1,1,12,9,14,4,4,0,1,0,0,0
53,Cafarnaum,0,0,2,0,2,0,0,0,0,0,0,0
54,Cairu,0,0,1,0,0,0,0,0,0,0,0,0
55,Caldeirão Grande,0,0,0,0,0,1,0,0,0,0,0,0
56,Camacan,1,0,1,4,1,1,0,0,0,0,0,0
57,Camaçari,4,1,3,4,5,7,10,20,3,8,9,3
58,Camamu,2,0,1,0,2,0,0,0,0,0,0,0
59,Campo Alegre de Lourdes,0,0,0,0,0,0,0,1,0,0,0,0
60,Campo Formoso,12,8,16,2,5,1,0,4,1,3,2,1
61,Canápolis,0,0,0,0,3,1,1,0,0,0,1,0
62,Canarana,0,0,3,0,1,0,1,0,1,0,1,0
63,Canavieiras,3,8,2,1,2,3,2,8,9,2,0,0
64,Candeal,0,0,1,3,0,0,0,0,1,1,1,0
65,Candeias,1,1,2,3,2,2,1,2,0,0,0,1
66,Cândido Sales,179,78,34,30,35,10,2,1,0,0,0,0
67,Cansanção,0,0,1,0,0,0,0,0,0,0,0,0
68,Capela do Alto Alegre,0,0,0,0,0,0,0,0,0,0,0,1
69,Capim Grosso,1,0,0,0,2,0,0,0,0,1,0,0
70,Caravelas,5,2,2,2,2,0,0,0,1,0,0,0
71,Carinhanha,0,1,0,0,0,0,0,0,0,0,0,0
72,Casa Nova,2,1,3,1,2,1,0,1,0,0,0,0
73,Castro Alves,0,0,1,1,1,0,0,0,0,0,0,0
74,Catolândia,0,0,0,0,2,0,0,0,0,0,0,0
75,Catu,0,0,1,0,0,1,0,0,0,1,0,0
76,Caturama,0,0,0,0,0,0,1,0,1,0,0,0
77,Chorrochó,0,0,0,1,0,0,0,0,0,0,0,0
78,Coaraci,3,0,4,24,22,11,6,4,0,1,0,0
79,Conceição da Feira,0,0,0,0,0,0,0,1,0,0,0,0
80,Conceição do Almeida,0,0,2,0,0,0,0,0,0,0,0,0
81,Conceição do Coité,0,1,0,0,0,0,0,0,0,0,0,0
82,Conceição do Jacuípe,0,0,0,1,0,0,0,0,2,0,0,0
83,Conde,1,0,0,0,0,0,0,0,0,0,0,0
84,Condeúba,5,1,0,0,1,0,0,0,0,2,0,3
85,Contendas do Sincorá,0,0,1,0,0,0,0,0,0,0,0,0
86,Coração de Maria,0,0,0,0,0,0,1,0,0,1,0,0
87,Cordeiros,0,0,0,1,0,0,0,0,0,0,0,0
88,Coribe,0,0,0,0,2,0,0,0,1,0,0,0
89,Correntina,1,1,9,4,2,0,0,0,0,0,2,0
90,Cotegipe,0,0,0,0,0,0,1,0,3,1,0,0
91,Cristópolis,2,0,0,1,5,3,0,1,0,0,0,1
92,Cruz das Almas,3,7,1,4,0,0,0,0,1,1,1,0
93,Curaçá,2,0,1,0,0,0,0,0,0,1,3,0
94,Dário Meira,0,0,0,1,0,0,0,0,0,0,0,0
95,Dias d'Ávila,23,10,5,4,8,4,12,9,3,1,1,1
96,Dom Macedo Costa,0,0,0,0,0,1,0,0,0,0,0,0
97,Encruzilhada,1,1,0,0,0,0,1,0,0,0,0,0
98,Érico Cardoso,0,4,1,0,0,0,0,0,0,0,0,0
99,Esplanada,0,0,0,0,0,0,1,0,1,0,0,0
100,Euclides da Cunha,0,0,1,0,0,1,0,1,0,0,0,0
101,Eunápolis,230,59,82,78,77,45,26,13,2,0,1,4
102,Fátima,0,0,0,0,0,0,0,1,0,0,0,0
103,Feira da Mata,0,0,0,1,0,0,0,0,0,0,0,0
104,Feira de Santana,32,19,17,11,40,28,20,30,43,33,17,29
105,Filadélfia,0,1,1,0,1,0,1,0,0,0,0,0
106,Firmino Alves,3,2,2,0,0,1,0,0,0,1,1,0
107,Floresta Azul,1,0,0,0,1,1,1,0,0,0,0,0
108,Formosa do Rio Preto,0,0,0,0,1,0,1,0,0,0,0,0
109,Gandu,0,1,0,0,0,0,0,0,0,0,0,0
110,Gavião,0,0,0,0,4,1,0,0,0,1,0,0
111,Glória,1,0,1,0,1,5,2,4,1,0,1,0
112,Gongogi,23,21,27,2,0,0,0,0,0,0,0,0
