,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,0,0
1,Abaré,0,0,0,0
2,Acajutiba,0,0,0,0
3,Adustina,0,0,0,0
4,Água Fria,0,0,0,0
5,Aiquara,0,0,0,0
6,Alagoinhas,0,0,0,0
7,Alcobaça,0,0,0,0
8,Amargosa,0,0,0,0
9,Amélia Rodrigues,0,0,0,0
10,América Dourada,0,0,0,0
11,Anagé,0,0,0,0
12,Andaraí,0,0,0,0
13,Andorinha,0,0,0,0
14,Angical,0,0,0,0
15,Antas,0,0,0,0
16,Antônio Cardoso,0,0,0,0
17,Antônio Gonçalves,0,0,0,0
18,Apuarema,0,0,0,0
19,Aracatu,0,0,0,0
20,Araci,0,0,0,0
21,Aurelino Leal,0,0,0,0
22,Baianópolis,0,0,0,0
23,Barra,0,0,0,0
24,Barra da Estiva,0,0,0,0
25,Barra do Choça,0,0,0,0
26,Barra do Mendes,0,0,0,0
27,Barra do Rocha,0,0,0,0
28,Barreiras,0,0,0,0
29,Barro Alto,0,0,0,0
30,Barro Preto,0,0,0,0
31,Barrocas,0,0,0,0
32,Belmonte,0,0,0,0
33,Belo Campo,0,0,0,0
34,Biritinga,0,0,0,0
35,Boa Nova,0,0,0,0
36,Boa Vista do Tupim,0,0,0,0
37,Bom Jesus da Lapa,0,0,0,0
38,Bom Jesus da Serra,0,0,0,0
39,Bonito,0,0,0,0
40,Boquira,0,0,0,0
41,Botuporã,0,0,0,0
42,Brejões,0,0,0,0
43,Brejolândia,0,0,0,0
44,Brotas de Macaúbas,0,0,0,0
45,Brumado,0,0,0,0
46,Buerarema,0,0,0,0
47,Buritirama,0,0,0,0
48,Caatiba,0,0,0,0
49,Cachoeira,0,0,0,0
50,Caculé,0,0,0,0
51,Caém,0,0,0,0
52,Caetanos,0,0,0,0
53,Caetité,0,0,0,0
54,Cafarnaum,0,0,0,0
55,Cairu,0,0,0,0
56,Camacan,0,0,0,0
57,Camaçari,0,0,0,0
58,Camamu,0,0,0,0
59,Campo Alegre de Lourdes,0,0,0,0
60,Campo Formoso,0,0,0,0
61,Canápolis,0,0,0,0
62,Canarana,0,0,0,0
63,Canavieiras,0,0,0,0
64,Candeal,0,0,0,0
65,Candeias,0,0,0,0
66,Candiba,0,0,0,0
67,Cândido Sales,0,0,0,0
68,Cansanção,0,0,0,0
69,Capela do Alto Alegre,0,0,0,0
