,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,0,0,0,0,0,1,1,0,0,0,0
1,Abaré,0,1,1,0,9,33,150,28,1,2,1,0
2,Acajutiba,0,0,0,0,2,16,7,10,9,2,1,0
3,Adustina,1,0,1,23,34,20,3,4,3,1,3,3
4,Água Fria,0,2,7,34,21,5,3,11,5,2,4,1
5,Aiquara,0,0,1,1,1,0,0,0,0,0,0,0
6,Alagoinhas,21,17,37,19,43,64,103,86,79,61,34,18
7,Alcobaça,0,5,0,0,0,10,20,3,7,3,6,7
8,Almadina,0,0,0,0,1,0,0,0,0,0,0,0
9,Amargosa,0,0,0,0,1,8,5,1,4,4,5,1
10,Amélia Rodrigues,0,5,4,127,166,26,3,0,3,1,2,1
11,América Dourada,0,7,9,18,74,56,32,5,0,0,0,0
12,Anagé,1,0,0,0,0,0,6,1,1,1,0,0
13,Andaraí,1,14,3,0,0,2,1,4,0,0,0,0
14,Andorinha,1,0,0,14,22,4,7,2,0,3,4,1
15,Angical,1,0,5,3,7,12,9,6,0,0,0,0
16,Anguera,0,8,4,9,19,10,5,2,1,0,4,1
17,Antas,0,0,0,0,0,0,0,1,1,0,4,1
18,Antônio Cardoso,5,30,8,11,5,4,6,2,0,0,0,1
19,Antônio Gonçalves,0,1,2,1,2,2,0,0,1,1,0,0
20,Aporá,0,0,0,0,1,2,6,2,1,0,2,0
21,Apuarema,0,0,0,0,0,0,2,0,0,2,2,1
22,Araças,0,0,0,1,4,3,2,0,1,2,0,0
23,Aracatu,0,0,0,0,2,0,1,0,0,1,0,1
24,Araci,0,5,5,19,62,75,35,38,24,37,28,27
25,Aramari,23,14,3,5,2,8,10,1,1,1,2,0
26,Arataca,0,1,0,0,0,0,0,0,0,0,0,0
27,Aratuípe,0,0,0,0,1,0,3,0,0,0,0,0
28,Baianópolis,0,1,0,6,17,7,0,0,0,1,0,0
29,Baixa Grande,0,0,0,0,0,0,0,2,1,0,0,0
30,Banzaê,0,0,0,0,17,4,12,2,5,0,0,0
31,Barra,7,1,2,4,7,11,4,4,1,1,5,0
32,Barra da Estiva,0,0,0,0,0,4,0,0,0,0,1,0
33,Barra do Choça,0,0,0,1,5,5,2,0,2,0,4,2
34,Barra do Mendes,0,6,0,33,221,92,15,5,0,0,0,0
35,Barra do Rocha,0,0,2,1,4,0,1,2,0,0,0,0
36,Barreiras,27,82,310,761,556,671,199,79,71,37,8,7
37,Barro Alto,0,0,0,0,19,11,4,0,0,0,0,0
38,Barrocas,0,0,1,8,42,30,30,8,2,1,0,0
39,Belmonte,0,0,5,1,10,3,3,2,2,9,3,2
40,Biritinga,0,1,2,22,28,14,9,4,9,1,2,0
41,Boa Nova,0,0,1,0,0,0,2,2,0,0,1,0
42,Boa Vista do Tupim,1,0,1,0,0,6,7,5,0,0,0,0
43,Bom Jesus da Lapa,2,19,20,28,12,2,4,3,7,6,4,2
44,Bom Jesus da Serra,0,0,0,1,0,0,0,1,0,1,5,1
45,Boninal,0,0,6,73,54,8,1,0,0,0,0,0
46,Bonito,0,0,2,32,1,1,0,0,0,0,0,0
47,Boquira,19,12,5,2,4,2,0,0,0,0,0,0
48,Botuporã,1,5,4,60,147,58,15,5,3,2,3,8
49,Brejões,0,0,0,0,0,1,1,0,0,0,0,1
50,Brejolândia,0,0,14,35,44,18,0,0,0,0,0,1
51,Brotas de Macaúbas,11,5,7,22,5,16,12,7,8,0,2,1
52,Brumado,17,12,13,32,99,63,60,31,10,25,22,18
53,Buerarema,0,1,0,0,2,1,5,1,1,2,3,0
54,Buritirama,0,0,0,0,4,4,5,0,0,0,0,0
55,Caatiba,1,0,0,0,0,0,0,0,0,0,0,0
56,Cabaceiras do Paraguaçu,3,39,17,8,8,12,10,4,6,0,0,0
57,Cachoeira,0,1,2,3,18,32,38,5,5,1,0,0
58,Caculé,0,1,0,4,28,15,14,4,2,0,2,1
59,Caém,0,0,7,77,141,19,0,0,0,0,0,0
60,Caetanos,0,1,0,0,0,0,0,0,1,2,0,0
61,Caetité,0,2,8,15,31,31,4,0,0,1,0,0
62,Cafarnaum,1,9,62,148,95,39,6,5,4,0,0,0
63,Cairu,0,0,0,0,0,0,3,0,2,4,2,1
64,Caldeirão Grande,0,0,2,4,73,80,38,3,0,5,0,0
65,Camacan,0,0,0,3,1,0,2,0,0,0,0,0
66,Camaçari,27,24,21,45,179,494,367,199,148,102,100,23
67,Camamu,0,0,0,2,2,4,1,1,0,2,1,1
68,Campo Alegre de Lourdes,2,1,5,11,7,5,0,1,0,0,0,0
69,Campo Formoso,0,0,1,1,8,9,4,0,1,0,0,30
70,Canápolis,0,2,4,8,9,17,10,2,0,0,1,0
71,Canarana,4,3,43,169,271,60,14,16,0,1,2,1
72,Canavieiras,0,1,1,0,2,2,1,0,0,0,2,0
73,Candeal,1,10,26,9,42,34,16,4,2,2,2,0
74,Candeias,3,4,16,46,46,48,17,16,9,4,5,2
75,Candiba,0,1,1,20,163,44,1,0,0,0,0,0
76,Cândido Sales,0,0,1,0,2,2,0,0,0,2,2,3
77,Cansanção,0,2,0,2,12,23,17,11,4,3,1,1
