,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,1,1
1,Abaré,0,0,137,184
2,Acajutiba,0,0,16,29
3,Adustina,0,0,26,14
4,Água Fria,0,0,47,59
5,Aiquara,0,0,2,14
6,Alagoinhas,0,5,520,750
7,Alcobaça,0,0,16,29
8,Almadina,0,0,23,27
9,Amargosa,0,12,615,847
10,Amélia Rodrigues,0,0,19,25
11,América Dourada,0,0,37,41
12,Anagé,0,0,14,12
13,Andaraí,0,0,53,67
14,Andorinha,0,0,26,33
15,Angical,0,0,10,15
16,Anguera,0,0,47,59
17,Antas,0,0,20,24
18,Antônio Cardoso,0,0,25,22
19,Antônio Gonçalves,0,0,40,73
20,Aporá,0,0,9,8
21,Apuarema,0,0,17,51
22,Araças,0,0,7,6
23,Aracatu,0,0,24,32
24,Araci,0,1,161,211
25,Aramari,0,0,2,0
26,Arataca,0,0,1,1
27,Aratuípe,0,0,2,0
28,Aurelino Leal,0,0,7,14
29,Baianópolis,0,0,10,7
30,Baixa Grande,0,0,143,209
31,Banzaê,0,0,1,0
32,Barra,0,0,14,27
33,Barra da Estiva,0,0,12,25
34,Barra do Choça,0,0,23,14
35,Barra do Mendes,0,0,54,57
36,Barra do Rocha,1,0,210,245
37,Barreiras,0,1,425,462
38,Barro Alto,0,0,48,79
39,Barro Preto,0,0,28,28
40,Barrocas,0,2,179,278
41,Belmonte,0,0,3,8
42,Belo Campo,0,0,9,15
43,Biritinga,0,1,191,262
44,Boa Nova,0,0,95,111
45,Boa Vista do Tupim,0,0,39,79
46,Bom Jesus da Lapa,0,0,125,149
47,Bom Jesus da Serra,0,0,13,14
48,Boninal,0,0,8,4
49,Bonito,0,0,11,16
50,Boquira,0,0,164,241
51,Botuporã,0,0,25,45
52,Brejões,0,0,94,160
53,Brejolândia,0,0,20,23
54,Brotas de Macaúbas,0,0,20,21
55,Brumado,0,0,716,802
56,Buerarema,0,0,26,20
57,Caatiba,0,0,27,40
58,Cabaceiras do Paraguaçu,0,0,40,62
59,Cachoeira,0,0,49,80
60,Caculé,0,0,120,164
61,Caém,0,0,6,4
62,Caetanos,0,0,34,54
63,Caetité,0,0,191,243
64,Cafarnaum,0,0,10,17
65,Cairu,0,0,47,49
66,Caldeirão Grande,0,0,14,22
67,Camacan,0,0,69,85
68,Camaçari,0,13,482,498
69,Camamu,0,0,34,56
70,Campo Alegre de Lourdes,0,0,1,2
71,Campo Formoso,0,0,155,189
72,Canápolis,0,0,23,32
73,Canarana,0,0,77,121
74,Canavieiras,0,0,46,73
75,Candeal,0,0,7,10
76,Candeias,0,2,287,315
77,Candiba,0,0,10,9
78,Cândido Sales,0,0,159,232
79,Cansanção,0,0,65,79
80,Canudos,0,0,1,0
81,Capela do Alto Alegre,0,0,7,7
82,Capim Grosso,0,25,137,181
83,Caraíbas,0,0,23,21
84,Caravelas,0,0,51,60
85,Cardeal da Silva,0,0,9,4
86,Carinhanha,0,0,50,60
87,Casa Nova,0,0,109,193
88,Castro Alves,0,0,11,32
89,Catolândia,0,0,0,1
90,Catu,0,0,135,176
91,Caturama,0,0,10,17
92,Central,0,0,39,50
93,Chorrochó,0,0,9,6
94,Cícero Dantas,0,0,35,38
95,Cipó,0,0,26,26
96,Coaraci,0,0,21,34
97,Cocos,0,0,1,0
98,Conceição da Feira,0,0,260,327
99,Conceição do Almeida,0,0,81,130
100,Conceição do Coité,0,0,307,380
101,Conceição do Jacuípe,0,0,305,339
102,Conde,0,0,18,20
103,Condeúba,0,0,114,143
104,Contendas do Sincorá,0,0,48,79
105,Coração de Maria,0,0,156,194
106,Cordeiros,0,0,2,2
107,Coribe,0,0,91,84
108,Coronel João Sá,0,0,31,57
109,Correntina,0,0,161,161
110,Cotegipe,0,0,28,48
111,Cravolândia,0,0,29,36
112,Crisópolis,0,0,7,5
113,Cristópolis,0,0,6,6
114,Cruz das Almas,0,1,303,428
115,Curaçá,1,0,99,144
116,Dário Meira,0,0,46,52
117,Dias d'Ávila,0,0,61,85
118,Dom Basílio,0,0,47,48
119,Dom Macedo Costa,0,0,14,17
120,Elísio Medrado,0,0,10,14
121,Encruzilhada,0,0,62,104
122,Entre Rios,0,3,81,122
123,Érico Cardoso,0,0,26,51
124,Esplanada,0,5,92,111
125,Euclides da Cunha,0,0,208,193
126,Eunápolis,0,0,406,414
127,Fátima,0,0,77,107
128,Feira da Mata,0,0,5,7
129,Feira de Santana,0,4,2830,3530
130,Filadélfia,0,0,20,51
131,Firmino Alves,0,0,38,52
132,Floresta Azul,0,0,5,5
133,Formosa do Rio Preto,0,0,1,0
134,Gandu,0,0,103,164
135,Gavião,0,0,14,28
136,Gentio do Ouro,0,0,4,9
137,Glória,0,0,24,16
138,Gongogi,0,0,7,11
139,Governador Mangabeira,0,1,70,95
140,Guajeru,0,0,7,12
141,Guanambi,0,0,257,382
142,Guaratinga,0,0,9,9
143,Heliópolis,0,0,8,17
144,Iaçu,0,0,94,207
145,Ibiassucê,0,0,135,164
146,Ibicaraí,0,1,62,70
147,Ibicoara,0,0,6,6
148,Ibicuí,0,0,73,92
149,Ibipeba,0,0,42,74
150,Ibipitanga,0,0,115,169
151,Ibiquera,0,0,42,39
152,Ibirapitanga,0,0,36,48
153,Ibirapuã,0,0,14,31
154,Ibirataia,0,0,134,177
155,Ibitiara,0,0,26,38
156,Ibititá,0,0,52,65
157,Ibotirama,0,0,34,53
158,Ichu,1,1,46,43
159,Igaporã,0,0,2,4
160,Igrapiúna,0,0,3,4
161,Iguaí,0,2,168,189
162,Ilhéus,1,0,253,325
163,Inhambupe,0,0,113,169
