,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,1,0,1,0,0,0
1,Abaré,1,1,9,17,12,80,62,32,10,2
2,Acajutiba,1,1,4,7,4,9,12,7,1,1
3,Adustina,4,4,8,8,8,29,20,12,2,1
4,Água Fria,4,5,1,6,13,32,20,10,4,0
5,Aiquara,0,0,0,1,0,1,0,1,0,0
6,Alagoinhas,11,27,42,54,58,185,120,61,19,5
7,Alcobaça,0,3,1,5,9,16,16,8,3,0
8,Almadina,0,0,0,0,0,1,0,0,0,0
9,Amargosa,0,2,0,2,4,7,7,4,3,0
10,Amélia Rodrigues,4,11,27,48,38,96,62,35,15,2
11,América Dourada,3,6,8,18,25,59,51,22,9,0
12,Anagé,0,0,2,2,1,3,2,0,0,0
13,Andaraí,0,1,3,2,4,6,4,4,1,0
14,Andorinha,1,6,11,4,5,20,7,1,0,3
15,Angical,0,0,3,2,5,11,16,6,0,0
16,Anguera,0,2,5,7,9,23,7,8,2,0
17,Antas,1,0,1,3,0,2,0,0,0,0
18,Antônio Cardoso,5,3,9,5,9,30,11,0,0,0
19,Antônio Gonçalves,0,1,0,0,0,3,3,2,1,0
20,Aporá,0,1,0,1,2,3,2,3,2,0
21,Apuarema,0,0,0,0,0,5,2,0,0,0
22,Araças,0,0,0,2,1,6,4,0,0,0
23,Aracatu,0,0,1,1,2,0,1,0,0,0
24,Araci,6,30,50,28,46,101,56,28,10,0
25,Aramari,1,2,3,3,7,22,19,7,5,1
26,Arataca,0,1,0,0,0,0,0,0,0,0
27,Aratuípe,0,0,0,0,0,2,2,0,0,0
28,Baianópolis,1,1,3,2,2,13,6,1,3,0
29,Baixa Grande,2,0,0,1,0,0,0,0,0,0
30,Banzaê,1,0,4,4,9,9,6,4,3,0
31,Barra,0,0,10,4,1,17,9,5,0,1
32,Barra da Estiva,0,0,0,0,1,3,1,0,0,0
33,Barra do Choça,0,1,0,0,3,10,3,4,0,0
34,Barra do Mendes,2,11,8,35,45,76,93,64,31,7
35,Barra do Rocha,0,0,0,1,1,4,3,1,0,0
36,Barreiras,16,53,150,200,355,1123,608,246,51,6
37,Barro Alto,1,0,1,1,3,10,14,3,1,0
38,Barrocas,0,2,7,16,11,46,22,11,5,1
39,Belmonte,2,2,3,3,5,14,8,2,1,0
40,Biritinga,3,5,4,4,20,31,15,6,3,1
41,Boa Nova,0,0,2,1,0,3,0,0,0,0
42,Boa Vista do Tupim,0,1,1,1,0,4,10,2,1,0
43,Bom Jesus da Lapa,8,5,5,10,12,25,21,17,6,0
44,Bom Jesus da Serra,0,0,0,0,1,0,6,2,0,0
45,Boninal,2,1,4,11,13,45,40,19,7,0
46,Bonito,0,1,2,1,6,17,6,2,0,0
47,Boquira,2,0,2,2,3,11,16,6,1,1
48,Botuporã,3,5,14,23,52,92,71,33,16,2
49,Brejões,0,0,0,1,0,1,0,1,0,0
50,Brejolândia,1,2,7,9,11,27,32,15,6,2
51,Brotas de Macaúbas,6,16,13,11,7,16,12,11,4,0
52,Brumado,7,18,47,45,55,90,77,43,14,6
53,Buerarema,0,0,3,2,5,3,0,1,2,0
54,Buritirama,0,0,0,1,1,5,4,2,0,0
55,Caatiba,0,0,0,0,0,0,1,0,0,0
56,Cabaceiras do Paraguaçu,5,3,7,7,9,33,30,7,5,1
57,Cachoeira,4,4,8,7,4,31,22,21,4,0
58,Caculé,1,3,4,5,15,19,14,8,2,0
59,Caém,5,9,24,24,22,57,53,31,14,5
60,Caetanos,0,1,1,0,0,1,1,0,0,0
61,Caetité,1,2,3,5,7,29,17,23,5,0
62,Cafarnaum,9,6,20,24,43,106,82,50,27,2
63,Cairu,1,0,1,0,1,3,5,0,1,0
64,Caldeirão Grande,4,5,16,25,26,65,34,21,9,0
65,Camacan,0,0,2,1,1,0,1,1,0,0
66,Camaçari,28,66,126,143,199,595,360,163,45,4
67,Camamu,1,0,2,2,2,3,4,0,0,0
68,Campo Alegre de Lourdes,0,1,3,1,2,12,8,4,1,0
69,Campo Formoso,0,1,2,4,7,17,9,6,7,1
70,Canápolis,0,1,4,0,6,16,7,12,7,0
71,Canarana,19,9,31,51,59,154,142,87,28,4
72,Canavieiras,0,0,0,0,1,4,1,2,0,1
73,Candeal,1,3,12,14,21,36,28,21,11,1
74,Candeias,5,11,16,19,13,64,51,24,10,3
75,Candiba,1,4,12,13,30,51,57,40,20,2
76,Cândido Sales,0,3,0,1,1,1,5,0,1,0
77,Cansanção,2,6,4,2,13,24,12,7,5,1
78,Canudos,0,4,5,3,6,11,8,7,2,1
79,Capela do Alto Alegre,0,1,6,3,8,11,11,4,3,0
80,Capim Grosso,14,7,15,20,31,73,67,33,13,1
81,Caravelas,0,1,0,0,3,13,4,6,1,0
82,Cardeal da Silva,4,6,12,12,11,30,26,19,6,1
83,Carinhanha,1,2,1,5,3,8,10,6,0,0
84,Casa Nova,0,1,1,2,3,11,6,2,0,1
85,Castro Alves,2,3,1,1,3,11,10,2,4,0
86,Catolândia,0,0,0,0,0,0,0,1,0,0
87,Catu,2,2,11,12,13,31,38,16,10,1
88,Caturama,4,14,24,18,26,75,65,40,15,3
89,Central,0,0,2,2,1,5,6,2,0,0
90,Chorrochó,0,0,1,2,5,4,4,3,0,0
91,Cícero Dantas,5,6,9,10,8,14,10,13,6,0
92,Cipó,0,0,0,1,1,8,1,6,2,0
93,Coaraci,0,1,0,1,2,1,3,3,2,0
94,Cocos,0,0,0,1,0,0,1,0,0,0
95,Conceição da Feira,5,6,14,18,30,34,27,10,4,1
96,Conceição do Almeida,2,1,6,3,7,14,13,7,2,0
97,Conceição do Coité,5,2,11,6,12,21,14,5,3,0
98,Conceição do Jacuípe,4,26,36,51,58,104,47,25,10,2
99,Conde,0,2,3,5,11,24,12,11,2,1
100,Condeúba,0,1,0,3,2,7,2,0,0,0
101,Contendas do Sincorá,0,2,1,2,2,4,3,1,0,0
102,Coração de Maria,43,31,60,108,122,294,154,98,46,6
103,Coribe,2,4,7,16,25,54,55,23,14,3
104,Coronel João Sá,2,4,1,3,3,4,1,1,0,0
105,Correntina,6,28,56,103,136,361,283,141,65,9
106,Cotegipe,4,0,1,1,1,13,10,4,1,1
107,Cravolândia,0,1,0,0,1,0,0,0,0,0
108,Crisópolis,3,7,4,7,4,16,10,10,0,0
109,Cristópolis,6,3,21,26,27,78,64,53,19,3
110,Cruz das Almas,8,11,29,28,31,79,63,33,9,0
111,Curaçá,1,0,3,1,0,8,4,3,1,0
112,Dário Meira,0,0,0,0,1,1,0,2,1,1
113,Dias d'Ávila,5,6,10,11,17,28,26,14,3,3
114,Dom Basílio,0,0,2,2,5,18,9,10,2,0
115,Dom Macedo Costa,0,0,2,4,7,7,8,4,0,0
116,Elísio Medrado,0,0,0,0,0,0,0,1,0,0
117,Encruzilhada,2,2,4,2,3,11,4,3,0,0
118,Entre Rios,5,18,24,24,26,111,79,41,21,10
119,Érico Cardoso,0,6,15,25,30,108,92,45,14,2
120,Esplanada,3,13,17,23,32,88,56,43,15,1
121,Euclides da Cunha,24,50,112,154,201,378,281,161,71,20
122,Eunápolis,5,10,31,24,14,40,23,13,5,0
123,Fátima,1,8,10,11,19,18,8,3,0,1
124,Feira da Mata,0,1,1,1,1,0,0,0,0,0
125,Feira de Santana,572,1072,1827,1650,1736,4525,2638,1382,508,85
126,Filadélfia,0,1,3,1,0,7,6,5,1,0
127,Firmino Alves,0,0,0,1,1,1,1,0,0,0
128,Floresta Azul,1,0,1,0,1,5,1,1,0,0
129,Formosa do Rio Preto,0,0,0,0,0,2,1,1,0,0
130,Gandu,0,0,1,0,2,3,3,1,0,0
131,Gavião,0,0,1,3,2,4,8,2,0,0
132,Gentio do Ouro,0,6,4,4,1,15,14,7,0,1
133,Glória,0,2,2,1,5,16,16,4,2,0
134,Governador Mangabeira,7,10,22,52,70,177,118,71,17,5
135,Guajeru,0,0,0,0,1,4,3,1,2,0
136,Guanambi,3,5,11,5,12,30,21,16,2,0
137,Heliópolis,0,0,1,1,0,2,2,0,0,0
138,Iaçu,1,1,1,1,1,3,4,2,0,0
139,Ibiassucê,0,2,1,1,2,3,1,2,0,0
140,Ibicaraí,2,2,7,4,20,19,9,7,3,1
141,Ibicoara,0,3,18,15,15,76,47,13,1,2
142,Ibicuí,0,0,0,0,0,3,0,0,0,0
143,Ibipeba,1,4,9,8,11,34,24,25,5,0
144,Ibipitanga,1,1,1,5,4,23,11,6,1,0
145,Ibiquera,0,0,0,0,0,0,2,0,0,0
146,Ibirapuã,1,0,1,0,2,2,1,0,0,0
147,Ibirataia,1,1,4,8,12,16,7,5,5,0
148,Ibitiara,2,3,5,4,9,24,20,15,4,3
149,Ibititá,0,2,10,17,30,63,74,45,18,7
150,Ibotirama,1,2,2,0,3,10,6,2,2,0
151,Ichu,2,1,8,13,20,40,28,18,7,1
152,Igaporã,1,1,0,2,1,6,8,1,2,0
153,Igrapiúna,1,0,4,0,2,9,3,8,4,0
154,Iguaí,0,1,2,0,2,9,4,1,0,1
155,Ilhéus,17,7,16,33,96,253,129,58,20,1
156,Inhambupe,2,9,5,17,26,48,37,17,7,2
157,Ipecaetá,7,0,3,7,20,38,16,17,5,1
158,Ipiaú,2,5,12,18,38,71,59,28,8,1
159,Ipirá,2,9,6,7,2,4,0,2,5,0
160,Ipupiara,0,1,2,10,11,49,35,41,15,4
161,Iramaia,0,3,6,8,8,19,18,14,6,0
162,Iraquara,2,9,25,52,63,151,156,65,33,3
163,Irará,8,10,17,23,20,35,28,20,9,0
164,Irecê,11,21,45,66,98,228,210,109,33,4
165,Itabela,0,1,2,3,2,3,7,1,0,0
166,Itaberaba,11,33,45,54,70,174,95,51,19,5
167,Itabuna,2,12,23,30,61,221,135,58,22,5
168,Itacaré,0,3,0,5,3,13,14,4,1,0
169,Itagi,0,1,0,1,2,5,0,0,0,0
170,Itagibá,1,1,1,1,1,11,5,2,2,0
171,Itaguaçu da Bahia,0,0,0,0,0,1,0,0,0,0
172,Itajuípe,0,1,1,2,1,5,5,3,1,1
173,Itamaraju,3,3,3,2,9,14,3,2,2,0
174,Itamari,0,0,0,2,1,6,3,2,0,0
175,Itambé,0,1,0,0,0,0,1,2,0,0
176,Itanagra,0,0,0,0,0,2,0,0,0,0
177,Itanhém,3,2,2,7,12,19,8,5,2,0
