,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
350,Sátiro Dias,0,0,1,0,0,2,0,1,0,0
351,Saubara,0,0,0,0,0,1,0,0,0,0
352,Saúde,0,1,3,6,2,8,6,5,2,1
353,Seabra,10,0,3,5,5,18,16,6,2,0
354,Sebastião Laranjeiras,2,3,4,8,14,33,26,8,2,2
355,Senhor do Bonfim,6,6,5,4,14,29,18,14,3,0
356,Sento Sé,2,6,8,8,8,46,20,11,4,0
357,Serra do Ramalho,0,0,1,0,0,1,1,0,0,0
358,Serra Dourada,1,1,1,5,7,17,5,5,2,0
359,Serra Preta,0,0,5,4,4,9,2,3,2,0
360,Serrinha,5,22,18,11,28,115,65,13,2,4
361,Serrolândia,1,1,3,3,4,10,13,4,1,0
362,Simões Filho,5,16,23,23,17,45,23,9,0,0
363,Sítio do Mato,1,0,0,0,1,4,1,0,0,0
364,Sítio do Quinto,2,3,3,3,5,5,7,3,1,0
365,Sobradinho,0,0,2,4,3,8,10,4,3,0
366,Souto Soares,1,1,5,12,17,43,32,21,13,1
367,Tabocas do Brejo Velho,1,1,1,0,0,6,1,2,1,0
368,Tanhaçu,0,0,0,1,0,4,1,0,0,1
369,Tanque Novo,0,1,0,2,4,14,1,1,2,0
370,Tanquinho,8,2,16,21,29,52,27,13,4,1
371,Taperoá,0,1,1,0,1,3,3,0,0,0
372,Tapiramutá,1,12,14,5,11,37,23,16,3,1
373,Teixeira de Freitas,1,9,16,59,19,65,66,17,12,1
374,Teodoro Sampaio,0,0,0,0,1,2,3,0,1,0
375,Teofilândia,0,0,3,3,5,7,3,2,2,1
376,Teolândia,0,0,0,0,1,2,0,0,0,0
377,Terra Nova,0,2,3,3,4,1,3,2,0,1
378,Tremedal,1,5,6,13,10,38,22,13,7,0
379,Tucano,11,15,22,18,24,54,33,10,4,0
380,Uauá,0,0,0,0,0,1,4,1,0,0
381,Ubaíra,0,0,1,0,0,2,1,0,0,0
382,Ubaitaba,0,1,1,2,1,3,5,1,0,0
383,Ubatã,0,2,1,1,2,4,1,1,2,0
384,Uibaí,3,8,11,24,8,65,44,29,14,2
385,Umburanas,0,0,2,2,4,3,4,3,1,0
386,Una,1,3,8,8,23,38,9,14,3,0
387,Urandi,0,0,1,1,0,1,0,1,0,0
388,Uruçuca,4,4,6,3,6,16,10,9,3,0
389,Utinga,1,3,2,7,1,11,7,4,1,0
390,Valença,0,3,4,5,1,19,11,6,0,0
391,Valente,4,6,5,11,11,26,21,10,3,1
392,Várzea da Roça,5,5,5,8,12,24,24,12,5,2
393,Várzea do Poço,2,2,1,2,0,5,4,0,0,1
394,Várzea Nova,0,1,4,0,6,23,19,5,6,0
395,Varzedo,0,0,17,3,3,6,11,2,2,0
396,Vera Cruz,1,2,11,18,8,39,32,5,4,0
397,Vereda,0,0,0,0,0,0,1,0,0,0
398,Vitória da Conquista,10,28,55,80,61,232,174,83,27,1
399,Wagner,0,0,0,0,0,1,0,0,0,0
400,Wanderley,2,11,14,34,58,126,62,47,14,3
401,Wenceslau Guimarães,2,1,3,1,6,11,6,2,0,0
402,Xique-Xique,2,2,4,11,17,52,34,23,16,1
403,Município ignorado - BA,0,0,0,0,0,3,0,0,0,0
