,Codigo,Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,290760,Central,164,13,72,1,3,7,-,2,18,89,9
94,290770,Chorrochó,24,32,1,25,402,4,1,-,19,15,-
95,290780,Cícero Dantas,77,361,80,45,460,411,-,8,81,73,6
96,290790,Cipó,56,60,9,-,-,-,-,2,19,52,-
97,290800,Coaraci,16,346,409,48,235,347,75,9,13,55,282
98,290810,Cocos,5,19,82,1,-,-,-,-,2,1,46
99,290820,Conceição da Feira,61,28,22,37,12,2,1,-,149,587,5
100,290830,Conceição do Almeida,6,40,34,16,3,2,2,-,55,211,5
101,290840,Conceição do Coité,113,364,69,23,423,378,1,2,79,687,14
102,290850,Conceição do Jacuípe,93,707,159,200,232,13,3,6,364,644,10
103,290860,Conde,22,38,6,3,8,3,1,-,71,38,4
104,290870,Condeúba,1,15,348,26,20,68,12,3,15,257,6
105,290880,Contendas do Sincorá,4,-,2,1,19,4,1,-,15,127,5
106,290890,Coração de Maria,23,36,28,107,146,4,2,14,962,350,3
107,290900,Cordeiros,40,107,43,-,-,3,1,-,-,4,3
108,290910,Coribe,45,8,182,10,40,21,3,5,203,175,166
109,290920,Coronel João Sá,60,27,6,16,61,404,-,-,19,88,27
110,290930,Correntina,186,6,244,106,95,101,19,677,1188,322,556
111,290940,Cotegipe,358,14,60,-,1,-,5,33,36,76,177
112,290950,Cravolândia,1,77,8,-,2,-,-,-,2,65,-
113,290960,Crisópolis,-,7,2,94,24,1,-,-,61,12,-
114,290970,Cristópolis,305,11,51,6,93,37,13,17,300,12,65
115,290980,Cruz das Almas,75,199,112,141,96,57,18,5,292,732,12
116,290990,Curaçá,19,15,7,23,33,41,7,2,21,244,8
117,291000,Dário Meira,6,11,132,4,15,37,1,-,6,98,128
118,291005,Dias d'Ávila,66,147,16,32,100,39,81,30,123,146,25
119,291010,Dom Basílio,1,5,248,7,21,6,-,123,48,95,10
120,291020,Dom Macedo Costa,33,6,54,2,10,9,1,-,32,31,-
121,291030,Elísio Medrado,5,7,32,1,2,1,-,-,1,24,3
122,291040,Encruzilhada,102,33,220,2,8,172,3,-,31,166,8
123,291050,Entre Rios,22,120,8,1,56,8,-,-,361,206,-
124,290050,Érico Cardoso,6,-,4,-,20,5,5,3,337,77,2
125,291060,Esplanada,54,54,7,6,45,1,2,-,291,208,10
126,291070,Euclides da Cunha,120,128,269,146,817,355,3,14,1452,401,4
127,291072,Eunápolis,870,560,1464,56,347,702,617,96,165,820,18
128,291075,Fátima,134,229,13,83,75,126,1,2,79,184,4
129,291077,Feira da Mata,42,28,86,16,8,13,1,-,4,12,67
130,291080,Feira de Santana,4696,5532,4864,1928,2746,645,319,1135,15998,6364,729
131,291085,Filadélfia,31,72,29,35,29,4,4,9,24,71,1
132,291090,Firmino Alves,6,1,40,-,5,100,10,-,4,90,-
133,291100,Floresta Azul,20,53,320,5,38,165,4,6,10,10,-
134,291110,Formosa do Rio Preto,283,2,235,4,4,2,2,3,4,1,861
135,291120,Gandu,30,28,136,11,119,60,1,3,10,267,54
136,291125,Gavião,9,40,56,-,17,8,6,-,20,42,-
137,291130,Gentio do Ouro,442,27,145,-,3,2,-,54,52,13,19
138,291140,Glória,116,56,32,16,178,146,16,8,48,40,1
139,291150,Gongogi,30,7,14,2,3,8,73,1,-,18,1
140,291160,Governador Mangabeira,7,32,18,4,66,17,1,35,552,166,6
141,291165,Guajeru,1,60,23,1,31,26,-,1,11,19,1
142,291170,Guanambi,817,1816,2556,71,130,703,16,13,105,639,1744
143,291180,Guaratinga,6,7,272,3,27,45,14,1,-,18,1
144,291185,Heliópolis,28,14,9,4,37,12,-,-,6,25,1
145,291190,Iaçu,16,129,55,5,104,48,5,4,14,301,8
146,291200,Ibiassucê,138,24,479,2,8,16,3,2,12,299,1
147,291210,Ibicaraí,18,597,520,26,1106,2513,166,97,74,133,6
148,291220,Ibicoara,20,-,18,2,4,25,-,-,190,12,6
149,291230,Ibicuí,2,11,169,-,21,170,28,1,3,165,14
150,291240,Ibipeba,158,138,509,-,18,22,1,1,121,116,50
151,291250,Ibipitanga,107,43,93,4,81,33,2,5,53,284,21
152,291260,Ibiquera,18,16,33,1,17,12,-,-,2,81,-
153,291270,Ibirapitanga,3,4,36,2,8,16,2,1,-,84,4
154,291280,Ibirapuã,3,187,10,-,83,216,783,1,7,45,-
155,291290,Ibirataia,55,362,223,69,86,203,30,1,59,311,12
156,291300,Ibitiara,40,74,62,19,1,-,-,-,89,64,13
157,291310,Ibititá,140,2,181,11,1,1,-,-,266,117,4
158,291320,Ibotirama,38,7,561,21,277,52,10,154,28,87,603
159,291330,Ichu,231,200,171,49,59,18,2,1,138,91,2
160,291340,Igaporã,41,26,285,13,18,67,2,40,22,6,164
161,291345,Igrapiúna,-,3,3,1,8,17,3,1,31,7,-
162,291350,Iguaí,15,34,63,-,-,5,-,-,20,359,56
163,291360,Ilhéus,1776,2596,2479,705,5738,5387,217,213,632,579,126
164,291370,Inhambupe,31,4,3,8,2,1,4,1,170,282,18
165,291380,Ipecaetá,2,13,34,2,154,2,15,10,114,48,2
166,291390,Ipiaú,149,333,253,47,120,1152,40,22,242,898,176
167,291400,Ipirá,33,201,31,20,190,3,6,21,37,48,5
168,291410,Ipupiara,70,54,18,2,2,12,4,30,168,71,193
169,291420,Irajuba,-,5,13,-,3,9,-,-,-,220,-
170,291430,Iramaia,23,14,4,14,-,6,-,-,82,127,-
171,291440,Iraquara,21,27,261,1,-,26,11,23,559,733,3
172,291450,Irará,100,174,46,35,47,5,2,1,170,597,2
173,291460,Irecê,2117,174,1165,23,37,68,55,17,826,693,376
174,291465,Itabela,136,84,82,48,136,143,182,6,19,14,5
175,291470,Itaberaba,34,781,542,141,1054,1117,96,40,557,2992,155
176,291480,Itabuna,617,6482,2583,1332,8817,19405,807,271,569,1017,649
177,291490,Itacaré,99,80,507,5,179,557,80,11,43,346,5
178,291500,Itaeté,104,18,30,8,56,52,1,-,-,281,-
179,291510,Itagi,170,126,573,27,38,68,5,1,9,10,7
180,291520,Itagibá,51,59,331,21,13,374,6,-,25,208,180
181,291530,Itagimirim,7,2,23,-,10,22,32,2,-,55,-
182,291535,Itaguaçu da Bahia,338,1,79,1,3,4,1,9,1,43,34
183,291540,Itaju do Colônia,1,52,45,1,11,48,4,-,-,8,-
184,291550,Itajuípe,82,634,222,47,78,337,27,6,20,112,162
185,291560,Itamaraju,87,84,468,46,165,650,244,29,41,159,207
186,291570,Itamari,20,2,2,-,-,-,1,3,14,28,12
187,291580,Itambé,18,52,191,-,8,49,2,-,4,134,12
188,291590,Itanagra,-,-,4,-,-,3,-,-,2,3,1
189,291600,Itanhém,85,240,402,25,33,186,16,138,60,593,1
190,291610,Itaparica,7,38,20,17,77,68,6,1,16,76,4
191,291620,Itapé,2,127,190,13,167,290,7,1,1,12,5
