,Codigo,Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
401,293260,Urandi,4,2,49,1,-,1,-,-,196,8,24
402,293270,Uruçuca,61,72,144,21,93,103,94,2,10,144,12
403,293280,Utinga,37,186,26,12,9,21,-,4,40,46,3
404,293290,Valença,49,214,154,112,460,526,1,27,135,202,18
405,293300,Valente,98,537,50,41,508,41,16,5,85,1115,13
406,293305,Várzea da Roça,102,217,28,3,367,101,2,1,62,77,1
407,293310,Várzea do Poço,17,219,34,3,490,3,-,-,6,1,-
408,293315,Várzea Nova,64,88,95,13,46,10,7,8,60,56,344
409,293317,Varzedo,45,4,12,2,6,12,1,-,13,7,-
410,293320,Vera Cruz,120,249,101,152,591,394,76,9,215,685,23
411,293325,Vereda,1,9,42,-,1,2,5,-,1,6,10
412,293330,Vitória da Conquista,753,837,953,204,679,2985,204,73,490,6774,767
413,293340,Wagner,1,120,115,12,6,7,-,3,159,54,7
414,293345,Wanderley,371,26,158,9,49,15,289,1,50,1,1
415,293350,Wenceslau Guimarães,32,15,20,4,10,8,5,6,8,52,2
416,293360,Xique-Xique,162,1,29,15,88,13,7,84,123,19,97
417,290000,Município ignorado - BA,3,-,-,-,-,-,-,-,-,-,-
