,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,1,0,0,0,2,0,1,0
1,Abaré,0,1,0,1,1,2,1,0,0,0
2,Adustina,0,0,3,2,0,2,1,0,0,0
3,Água Fria,0,0,0,0,0,1,0,0,0,0
4,Aiquara,0,0,0,1,0,2,0,1,0,0
5,Alagoinhas,0,1,3,2,0,8,3,6,0,0
6,Alcobaça,1,0,0,2,1,3,1,1,0,0
7,Amargosa,0,1,0,0,1,2,1,0,0,0
8,Amélia Rodrigues,0,1,0,0,0,1,0,0,0,0
9,América Dourada,0,0,0,0,3,5,1,2,0,0
10,Andaraí,0,0,0,0,0,0,0,1,0,0
11,Andorinha,3,0,1,0,0,0,0,1,0,0
12,Angical,0,0,0,0,1,0,2,0,0,0
13,Anguera,0,0,0,0,0,1,2,0,0,0
14,Antas,0,0,0,0,0,0,1,0,0,0
15,Antônio Cardoso,0,0,0,0,0,2,0,1,0,0
16,Antônio Gonçalves,0,1,0,1,0,0,0,0,0,0
17,Apuarema,1,1,0,0,1,0,0,0,0,0
18,Aracatu,0,0,0,0,0,1,0,1,0,0
19,Araci,1,1,3,1,3,0,3,1,0,0
20,Arataca,0,0,0,0,0,2,0,1,0,0
21,Aurelino Leal,0,0,0,0,0,0,0,0,4,0
22,Baianópolis,0,0,0,0,0,1,1,1,0,0
23,Baixa Grande,2,0,4,3,9,21,20,17,8,1
24,Banzaê,1,0,0,0,0,2,1,0,0,0
25,Barra,1,0,1,3,1,4,6,0,0,0
26,Barra da Estiva,0,0,0,0,0,0,1,0,0,0
27,Barra do Choça,0,1,1,1,1,0,2,0,0,0
28,Barra do Mendes,0,2,0,0,0,3,1,0,0,0
29,Barra do Rocha,0,1,0,5,3,6,3,0,1,0
30,Barreiras,9,23,45,23,21,103,79,21,3,4
31,Barro Alto,0,0,0,0,0,1,0,0,0,0
32,Barro Preto,0,0,1,2,4,5,5,0,1,0
33,Barrocas,0,0,0,1,0,0,0,0,0,0
34,Belmonte,1,0,5,7,10,20,9,6,4,0
35,Belo Campo,0,0,1,1,2,13,6,3,4,0
36,Biritinga,0,0,0,0,0,1,0,0,0,0
37,Boa Nova,0,0,0,1,1,0,0,0,1,0
38,Boa Vista do Tupim,0,0,0,1,0,2,2,0,0,0
39,Bom Jesus da Lapa,2,0,1,3,2,7,10,7,1,0
40,Bonito,0,0,0,1,0,0,1,0,0,0
41,Boquira,2,0,1,1,0,0,0,0,0,0
42,Botuporã,2,1,7,11,13,44,23,8,7,2
43,Brejolândia,0,0,0,0,0,0,1,0,0,0
44,Brotas de Macaúbas,0,0,1,0,1,3,2,0,0,0
45,Brumado,4,2,0,1,1,9,7,4,0,0
46,Buerarema,0,1,1,1,1,11,8,6,3,0
47,Buritirama,3,3,7,8,10,31,23,6,5,0
48,Caatiba,0,0,0,0,0,1,5,0,0,0
49,Cabaceiras do Paraguaçu,0,1,0,0,0,0,0,0,0,0
50,Caculé,0,0,0,0,1,1,0,0,0,0
51,Caém,0,0,0,0,0,0,1,0,0,0
52,Caetité,2,1,1,3,5,12,16,4,2,0
53,Cafarnaum,1,0,0,0,0,1,1,1,0,0
54,Cairu,0,0,0,0,0,0,1,0,0,0
55,Caldeirão Grande,0,0,0,0,0,0,0,1,0,0
56,Camacan,0,0,0,2,1,1,2,2,0,0
57,Camaçari,2,7,7,4,1,30,14,10,2,0
58,Camamu,0,0,0,0,1,0,1,2,1,0
59,Campo Alegre de Lourdes,0,0,0,0,1,0,0,0,0,0
