,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,1,1
1,Abaré,0,0,104,122
2,Acajutiba,0,0,21,26
3,Adustina,0,0,44,52
4,Água Fria,0,0,36,59
5,Aiquara,0,0,1,2
6,Alagoinhas,0,0,252,330
7,Alcobaça,0,0,18,43
8,Almadina,0,0,1,0
9,Amargosa,0,0,9,20
10,Amélia Rodrigues,0,0,128,210
11,América Dourada,0,2,76,123
12,Anagé,0,0,5,5
13,Andaraí,0,0,12,13
14,Andorinha,0,0,20,38
15,Angical,0,0,17,26
16,Anguera,0,0,29,34
17,Antas,0,0,4,3
18,Antônio Cardoso,0,0,36,36
19,Antônio Gonçalves,0,0,3,7
20,Aporá,0,0,5,9
21,Apuarema,0,0,4,3
22,Araças,0,0,5,8
23,Aracatu,0,0,2,3
24,Araci,0,0,170,185
25,Aramari,0,0,21,49
26,Arataca,0,0,0,1
27,Aratuípe,0,0,0,4
28,Baianópolis,0,0,16,16
29,Baixa Grande,0,0,0,3
30,Banzaê,0,0,17,23
31,Barra,0,0,21,26
32,Barra da Estiva,0,0,4,1
33,Barra do Choça,0,0,10,11
34,Barra do Mendes,0,0,148,224
35,Barra do Rocha,0,0,2,8
36,Barreiras,1,1,1289,1517
37,Barro Alto,0,0,13,21
38,Barrocas,0,0,45,77
39,Belmonte,0,0,18,22
40,Biritinga,0,0,39,53
41,Boa Nova,0,0,5,1
42,Boa Vista do Tupim,0,0,14,6
43,Bom Jesus da Lapa,0,0,41,68
44,Bom Jesus da Serra,0,0,6,3
45,Boninal,0,0,56,86
46,Bonito,0,0,14,22
47,Boquira,0,0,18,26
48,Botuporã,0,0,138,173
49,Brejões,0,0,2,1
50,Brejolândia,0,0,51,61
51,Brotas de Macaúbas,0,0,35,61
52,Brumado,0,0,192,210
53,Buerarema,0,0,11,5
54,Buritirama,0,0,4,9
55,Caatiba,0,0,0,1
56,Cabaceiras do Paraguaçu,0,0,41,66
57,Cachoeira,0,0,32,73
58,Caculé,0,0,27,44
59,Caém,0,0,84,160
60,Caetanos,0,0,1,3
61,Caetité,0,0,36,56
62,Cafarnaum,0,0,147,222
63,Cairu,0,0,3,9
64,Caldeirão Grande,0,0,59,146
65,Camacan,0,0,2,4
66,Camaçari,0,15,758,956
67,Camamu,0,0,6,8
68,Campo Alegre de Lourdes,0,0,7,25
69,Campo Formoso,0,0,22,32
70,Canápolis,0,0,23,30
71,Canarana,0,0,214,370
72,Canavieiras,0,0,5,4
73,Candeal,0,0,66,82
74,Candeias,0,0,96,120
75,Candiba,0,0,93,137
76,Cândido Sales,0,0,2,10
77,Cansanção,0,0,28,48
78,Canudos,0,0,23,24
79,Capela do Alto Alegre,0,0,18,29
80,Capim Grosso,0,19,82,174
81,Caravelas,0,0,11,17
82,Cardeal da Silva,0,0,60,67
83,Carinhanha,0,0,16,20
84,Casa Nova,0,0,10,17
85,Castro Alves,0,0,13,24
86,Catolândia,0,0,1,0
87,Catu,0,0,47,89
88,Caturama,0,4,115,165
89,Central,0,0,5,13
90,Chorrochó,0,0,9,10
91,Cícero Dantas,0,0,29,52
92,Cipó,0,0,9,10
93,Coaraci,0,0,3,10
94,Cocos,0,0,2,0
95,Conceição da Feira,0,0,74,75
96,Conceição do Almeida,0,0,17,38
97,Conceição do Coité,0,0,38,41
98,Conceição do Jacuípe,0,1,162,201
99,Conde,0,0,31,40
100,Condeúba,0,0,6,9
101,Contendas do Sincorá,0,0,3,12
102,Coração de Maria,1,0,404,557
103,Coribe,0,1,82,120
104,Coronel João Sá,0,0,7,12
105,Correntina,0,2,539,647
106,Cotegipe,0,0,6,30
107,Cravolândia,0,0,2,0
108,Crisópolis,0,0,25,36
109,Cristópolis,0,1,110,189
110,Cruz das Almas,0,0,121,171
111,Curaçá,0,0,12,9
112,Dário Meira,0,0,2,4
113,Dias d'Ávila,0,0,55,68
114,Dom Basílio,0,0,18,30
115,Dom Macedo Costa,0,0,20,12
116,Elísio Medrado,0,0,0,1
117,Encruzilhada,0,0,8,23
118,Entre Rios,0,1,146,214
119,Érico Cardoso,0,1,128,208
120,Esplanada,0,47,92,152
