,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,0,0,1,0,0,0
1,Abaré,0,0,1,2,10,8,2,2,2,0
2,Adustina,1,3,2,6,0,21,17,14,5,2
3,Água Fria,1,0,0,0,0,0,1,0,0,1
4,Aiquara,0,0,1,0,2,4,5,2,2,0
5,Alagoinhas,0,0,2,1,2,13,3,1,3,0
6,Alcobaça,9,7,20,18,38,85,63,48,25,7
7,Almadina,1,0,3,8,9,8,8,7,8,3
8,Amargosa,1,1,1,1,3,23,7,6,3,0
9,Amélia Rodrigues,0,0,0,0,0,1,3,2,0,0
10,América Dourada,12,13,22,15,21,61,47,22,7,1
11,Anagé,0,0,2,5,5,15,9,3,1,0
12,Andaraí,2,3,1,3,5,12,11,4,2,0
13,Andorinha,2,4,3,4,7,24,15,10,3,1
14,Angical,0,0,1,0,3,10,3,5,2,0
15,Anguera,0,0,0,1,0,6,4,0,3,0
16,Antas,10,14,27,29,17,79,73,52,36,18
17,Antônio Cardoso,0,0,0,0,0,1,1,0,0,0
18,Antônio Gonçalves,0,5,4,4,7,20,14,4,6,1
19,Aporá,0,0,0,0,0,0,1,0,0,0
20,Apuarema,0,1,0,1,2,4,3,1,2,0
21,Aracatu,0,1,1,0,5,9,4,2,0,0
22,Araci,0,2,3,3,4,4,5,1,3,0
23,Arataca,2,2,2,6,2,4,15,9,2,0
24,Aratuípe,0,0,0,0,0,0,0,1,0,0
25,Aurelino Leal,2,0,3,6,1,4,1,6,1,3
26,Baianópolis,0,0,0,0,0,0,1,0,0,0
27,Baixa Grande,3,2,3,9,14,12,11,15,4,0
28,Banzaê,1,2,5,4,7,17,14,14,3,0
29,Barra,3,3,2,5,9,16,10,9,4,0
30,Barra da Estiva,0,0,1,4,4,21,18,5,0,0
31,Barra do Choça,1,0,0,1,3,0,4,4,0,0
32,Barra do Mendes,0,1,2,1,2,6,2,1,0,0
33,Barra do Rocha,1,0,0,1,0,8,4,0,1,0
34,Barreiras,25,68,62,71,73,226,152,69,20,6
35,Barro Alto,0,1,0,0,0,1,3,0,1,0
36,Barro Preto,0,8,12,38,32,81,68,41,26,3
37,Barrocas,0,0,0,0,1,1,0,0,0,0
38,Belmonte,7,16,18,43,39,112,89,74,33,13
39,Belo Campo,0,4,3,12,13,26,19,14,4,0
40,Boa Nova,1,1,4,2,2,8,7,6,0,0
41,Boa Vista do Tupim,4,5,13,5,27,36,35,24,14,2
42,Bom Jesus da Lapa,0,3,4,7,10,36,32,30,8,0
43,Bom Jesus da Serra,0,0,0,0,1,3,0,0,0,0
44,Boninal,0,0,2,1,1,4,4,2,1,0
45,Bonito,3,1,0,3,5,10,2,6,1,0
46,Boquira,1,2,2,4,4,9,10,3,1,0
47,Botuporã,6,1,3,14,24,38,45,15,12,0
48,Brejões,0,0,0,0,0,1,1,1,0,0
49,Brejolândia,0,2,0,1,1,4,0,1,0,0
50,Brotas de Macaúbas,0,0,0,2,4,18,12,6,0,1
51,Brumado,3,19,14,25,22,90,56,42,13,0
52,Buerarema,27,39,56,82,102,223,188,155,90,38
53,Buritirama,1,1,2,4,6,17,13,2,0,0
54,Caatiba,5,2,2,2,10,16,11,8,4,0
55,Cabaceiras do Paraguaçu,1,3,0,1,0,4,2,0,0,0
56,Cachoeira,0,1,1,1,2,3,4,1,0,0
57,Caculé,4,1,9,7,7,30,19,5,2,0
58,Caém,0,0,0,0,1,1,1,0,0,0
59,Caetanos,1,0,0,0,0,0,0,0,0,0
60,Caetité,12,4,3,2,19,63,45,31,12,3
61,Cafarnaum,0,1,3,5,6,13,12,3,1,0
62,Cairu,0,0,0,1,0,4,4,0,1,0
63,Caldeirão Grande,0,0,0,1,1,0,1,1,0,0
64,Camacan,9,28,62,88,95,187,185,159,81,31
65,Camaçari,4,6,4,1,3,14,3,3,2,1
66,Camamu,0,0,4,5,6,5,7,8,5,0
67,Campo Alegre de Lourdes,0,1,1,0,0,2,0,1,1,0
68,Campo Formoso,18,42,64,73,64,144,120,104,61,16
69,Canarana,0,3,4,2,4,7,8,0,1,0
70,Canavieiras,2,6,10,28,23,50,56,52,19,4
71,Candeal,0,0,0,0,0,0,1,0,0,0
72,Candeias,2,1,5,7,15,36,14,4,4,0
73,Candiba,0,0,0,1,0,0,0,0,0,0
74,Cândido Sales,37,6,25,50,63,147,130,84,35,3
75,Cansanção,6,15,19,32,40,74,60,29,30,5
76,Canudos,3,27,47,47,41,141,115,69,59,23
77,Capela do Alto Alegre,0,0,2,0,1,5,1,0,0,0
78,Capim Grosso,2,5,2,10,12,36,28,19,6,1
79,Caraíbas,0,2,5,4,4,10,8,6,4,0
80,Caravelas,3,12,15,26,26,70,54,37,16,1
81,Cardeal da Silva,3,2,0,5,5,9,10,4,1,3
82,Carinhanha,6,15,23,26,39,74,49,27,3,1
83,Casa Nova,16,9,13,20,45,113,66,33,18,1
84,Castro Alves,0,2,2,4,2,20,12,3,4,0
85,Catu,1,0,1,1,0,3,1,0,0,0
86,Caturama,0,1,5,6,5,18,21,11,4,0
