,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,0,1,0,0,0,0,0,0,0,0,0
1,Abaré,0,0,0,0,1,0,0,1,0,1,1,0
2,Acajutiba,2,5,5,0,0,1,0,3,0,0,0,0
3,Adustina,10,70,75,64,41,36,17,14,3,1,0,0
4,Água Fria,2,1,9,4,3,2,0,0,0,0,0,0
5,Aiquara,1,0,3,2,2,0,1,1,0,0,0,1
6,Alagoinhas,5,2,4,6,7,8,6,9,4,5,3,0
7,Alcobaça,7,3,4,2,11,2,7,3,1,2,2,9
8,Almadina,1,0,1,4,2,2,0,0,0,0,0,0
9,Amargosa,3,2,3,3,1,2,7,2,0,0,1,2
10,Amélia Rodrigues,3,7,37,20,14,11,10,4,0,1,1,0
11,América Dourada,0,0,3,13,29,0,2,1,0,0,0,0
12,Anagé,39,50,2,1,2,0,0,0,0,0,0,0
13,Andaraí,2,7,6,19,11,6,9,1,5,2,2,6
14,Andorinha,2,4,35,25,6,3,4,1,0,0,1,1
15,Angical,1,1,0,2,4,1,0,1,0,2,0,0
16,Anguera,5,18,8,13,27,18,2,0,6,4,0,1
17,Antas,1,22,44,2,1,0,0,1,0,0,0,0
18,Antônio Cardoso,0,0,0,2,4,2,0,2,2,0,0,0
19,Antônio Gonçalves,5,0,19,43,24,9,4,1,0,1,1,0
20,Aporá,3,0,5,3,3,0,0,0,1,0,1,0
21,Apuarema,4,1,1,0,5,0,3,2,1,0,0,0
22,Araças,3,2,2,5,1,0,9,0,0,0,0,0
23,Aracatu,5,0,24,8,15,2,0,1,0,0,0,1
24,Araci,18,9,1,2,1,3,2,5,0,0,0,0
25,Aramari,0,0,0,0,1,0,0,1,0,0,0,0
26,Arataca,0,10,7,12,11,1,2,0,1,1,0,0
27,Aratuípe,0,0,1,2,0,0,0,0,1,0,0,0
28,Aurelino Leal,0,0,0,1,3,2,0,1,0,0,0,0
29,Baixa Grande,1,13,68,20,48,34,12,7,5,1,1,0
30,Banzaê,1,5,18,74,57,7,4,0,0,0,2,0
31,Barra,1,1,0,2,2,3,2,0,1,0,3,0
32,Barra da Estiva,1,2,5,0,7,0,0,1,0,0,0,0
33,Barra do Choça,1,4,9,6,3,5,0,0,1,0,0,5
34,Barra do Mendes,1,7,9,5,6,0,0,0,0,0,0,0
35,Barra do Rocha,3,1,3,1,3,2,0,0,0,0,0,2
36,Barreiras,76,22,34,45,50,19,15,29,49,61,2,4
37,Barro Alto,0,0,0,0,1,0,0,0,0,0,0,0
38,Barro Preto,1,2,8,17,38,7,3,3,1,0,0,0
39,Barrocas,2,10,9,17,53,13,1,0,0,0,0,0
40,Belmonte,0,0,0,0,1,9,9,1,0,0,0,0
41,Belo Campo,7,61,185,190,89,35,3,3,0,0,4,0
42,Biritinga,3,6,31,8,3,0,0,0,0,1,0,0
43,Boa Nova,2,1,0,0,2,0,3,0,0,0,0,0
44,Boa Vista do Tupim,0,0,1,2,6,0,0,1,1,0,0,0
45,Bom Jesus da Lapa,11,3,2,1,2,0,3,1,1,3,4,1
46,Bom Jesus da Serra,5,8,10,0,6,3,1,0,0,0,0,0
47,Bonito,0,1,4,1,0,5,1,1,7,2,2,0
48,Boquira,26,22,8,10,9,2,0,0,0,0,0,0
49,Botuporã,0,1,0,3,0,7,3,0,0,1,3,25
50,Brejões,5,3,2,4,0,0,1,0,3,0,0,0
51,Brejolândia,4,0,1,0,0,0,0,0,0,0,0,0
52,Brotas de Macaúbas,2,4,6,102,83,10,1,0,1,0,0,0
53,Brumado,7,10,31,63,52,33,23,23,17,7,7,16
54,Buerarema,8,3,17,126,239,40,13,1,0,1,0,0
55,Buritirama,0,1,1,0,0,0,0,0,0,0,0,0
56,Caatiba,0,1,2,0,5,1,0,0,0,0,0,0
57,Cabaceiras do Paraguaçu,0,1,1,0,0,0,0,3,1,0,1,0
58,Cachoeira,1,1,12,22,9,7,4,1,0,0,1,0
59,Caculé,0,0,7,34,15,3,1,1,4,0,0,0
60,Caém,4,3,18,4,2,2,1,0,0,0,1,0
61,Caetanos,2,2,0,0,11,16,28,17,5,2,0,0
62,Caetité,5,3,5,1,24,9,3,0,2,1,0,0
63,Cafarnaum,1,0,3,0,1,0,0,0,0,0,5,4
64,Cairu,1,8,34,54,11,12,1,0,0,1,0,0
65,Caldeirão Grande,6,37,60,28,18,5,1,2,2,0,0,0
66,Camacan,8,18,75,72,55,14,13,2,2,0,0,0
67,Camaçari,36,41,65,101,87,68,47,34,17,6,9,5
68,Camamu,0,0,0,0,6,2,0,0,0,0,0,0
69,Campo Alegre de Lourdes,0,1,7,6,1,1,0,0,0,0,0,0
70,Campo Formoso,9,3,23,81,49,19,13,0,0,1,3,0
71,Canápolis,0,0,1,0,0,0,0,1,0,0,0,0
72,Canarana,1,9,2,1,1,1,0,0,1,3,120,112
73,Canavieiras,5,3,13,11,26,15,12,9,5,0,6,1
74,Candeal,2,0,17,13,6,6,6,2,0,0,0,10
75,Candeias,4,16,64,21,13,9,5,1,0,1,2,1
76,Candiba,1,3,13,5,5,3,0,0,1,1,1,0
77,Cândido Sales,1,1,2,1,0,3,0,0,1,0,0,0
78,Cansanção,9,7,12,7,2,1,0,0,0,0,0,0
79,Canudos,8,24,20,19,9,2,1,0,2,0,0,0
80,Capela do Alto Alegre,1,6,11,13,22,1,1,0,0,0,0,0
81,Capim Grosso,38,92,236,136,58,19,29,15,5,3,2,1
82,Caraíbas,0,1,1,0,0,0,0,0,0,0,0,0
83,Caravelas,9,9,20,18,40,38,57,31,20,17,5,1
84,Cardeal da Silva,0,1,2,2,2,0,0,0,0,0,0,0
85,Carinhanha,0,2,3,0,3,0,1,1,1,0,0,0
86,Casa Nova,0,15,22,5,5,4,1,0,2,0,1,1
87,Castro Alves,13,9,39,26,17,6,6,4,2,1,0,0
88,Catu,0,0,6,10,9,2,21,13,3,3,1,5
89,Caturama,0,0,0,0,0,0,0,1,0,0,0,3
90,Central,0,0,2,0,0,0,0,0,0,0,1,10
91,Chorrochó,2,6,0,3,18,1,1,0,0,1,0,0
92,Cícero Dantas,0,2,27,140,162,22,4,0,1,0,1,2
93,Cipó,1,0,13,7,12,12,6,2,3,1,3,0
94,Coaraci,6,5,83,166,60,13,7,3,1,0,0,2
95,Cocos,0,0,0,0,0,0,0,0,0,0,0,19
96,Conceição da Feira,2,1,3,6,6,4,1,1,1,1,2,0
97,Conceição do Almeida,1,0,1,7,14,7,3,5,2,0,0,0
98,Conceição do Coité,23,86,153,66,19,4,5,2,3,1,1,1
99,Conceição do Jacuípe,9,15,189,203,209,36,23,12,4,3,3,1
100,Conde,4,7,4,2,11,1,3,1,3,2,0,0
101,Condeúba,0,0,2,0,1,5,2,5,0,0,0,0
102,Coração de Maria,9,5,7,6,1,3,0,0,0,3,1,1
103,Cordeiros,1,27,35,27,14,3,0,0,0,0,0,0
104,Coribe,2,0,1,2,0,1,0,0,0,1,1,0
105,Coronel João Sá,0,4,5,2,9,4,3,0,0,0,0,0
106,Correntina,3,2,0,0,0,0,0,0,0,0,0,1
107,Cotegipe,4,3,1,0,0,0,2,1,0,3,0,0
108,Cravolândia,0,0,8,56,12,1,0,0,0,0,0,0
109,Crisópolis,3,3,0,0,0,0,1,0,0,0,0,0
110,Cristópolis,4,3,0,0,4,0,0,0,0,0,0,0
111,Cruz das Almas,5,22,35,62,25,10,27,7,3,1,0,2
112,Curaçá,2,0,0,0,1,5,4,2,1,0,0,0
113,Dário Meira,0,1,2,2,2,1,0,2,0,1,0,0
114,Dias d'Ávila,2,14,49,33,26,12,9,1,0,0,0,1
115,Dom Basílio,0,0,1,1,2,1,0,0,0,0,0,0
116,Dom Macedo Costa,1,1,1,0,1,0,0,1,0,1,0,0
117,Elísio Medrado,0,0,0,1,5,0,1,0,0,0,0,0
118,Encruzilhada,4,2,20,4,2,1,0,0,0,0,0,0
119,Entre Rios,2,8,35,49,8,10,2,2,4,0,0,0
120,Esplanada,3,17,14,10,7,2,0,0,0,0,0,1
121,Euclides da Cunha,5,13,36,14,11,17,5,4,1,7,7,8
122,Eunápolis,28,31,79,68,69,71,75,63,11,22,30,13
123,Fátima,2,17,102,34,57,14,2,1,0,0,0,0
124,Feira da Mata,0,0,1,21,6,0,0,0,0,0,0,0
125,Feira de Santana,492,472,968,723,930,617,459,228,215,159,103,166
126,Filadélfia,1,5,20,8,24,4,3,5,1,0,1,0
127,Firmino Alves,1,0,0,0,0,0,0,0,0,0,0,0
128,Floresta Azul,3,2,9,5,10,16,2,5,1,0,0,0
129,Formosa do Rio Preto,0,0,1,0,1,0,0,0,0,0,0,0
130,Gandu,0,1,1,2,5,5,4,7,3,0,0,0
131,Gavião,1,3,10,8,4,1,2,1,1,1,6,2
132,Gentio do Ouro,14,3,1,0,1,0,0,0,0,0,5,3
133,Glória,9,4,9,8,13,5,4,2,0,1,1,0
134,Gongogi,1,0,0,0,1,3,0,0,0,0,1,1
135,Governador Mangabeira,0,0,0,2,29,0,0,1,0,0,0,0
136,Guajeru,0,1,1,23,27,5,2,0,0,0,0,1
137,Guanambi,194,212,507,415,262,77,55,43,13,10,8,20
138,Guaratinga,1,3,0,1,0,1,0,1,0,0,0,0
139,Heliópolis,0,4,0,2,7,1,0,0,0,0,0,0
140,Iaçu,1,6,42,46,23,7,1,3,0,0,0,0
141,Ibiassucê,1,1,6,8,8,0,0,0,0,0,0,0
142,Ibicaraí,4,5,10,48,116,145,122,62,19,23,18,25
143,Ibicuí,1,4,2,1,2,0,0,0,0,1,0,0
144,Ibipeba,0,1,37,56,21,7,5,1,6,1,3,0
145,Ibipitanga,0,0,2,6,19,9,1,1,0,0,4,1
146,Ibiquera,1,0,1,6,3,0,0,5,0,0,0,0
147,Ibirapitanga,2,2,0,0,0,0,0,0,0,0,0,0
148,Ibirapuã,16,15,146,8,0,2,0,0,0,0,0,0
149,Ibirataia,22,29,83,102,86,20,8,3,1,2,0,6
150,Ibitiara,1,5,9,8,36,5,4,3,0,0,3,0
151,Ibititá,0,0,2,0,0,0,0,0,0,0,0,0
152,Ibotirama,2,0,1,1,0,0,1,1,0,0,0,1
153,Ichu,5,8,36,46,46,29,19,3,1,4,3,0
154,Igaporã,0,0,1,1,11,7,0,0,1,0,1,4
155,Igrapiúna,0,0,0,1,0,2,0,0,0,0,0,0
156,Iguaí,3,4,3,3,13,4,3,0,0,0,0,1
157,Ilhéus,95,114,475,501,669,494,62,52,29,37,37,31
158,Inhambupe,0,0,0,0,1,1,0,1,0,0,1,0
159,Ipecaetá,0,0,0,2,1,5,3,1,0,0,1,0
160,Ipiaú,23,31,73,83,76,23,6,4,4,1,2,7
161,Ipirá,76,96,10,8,4,0,0,2,0,3,2,0
162,Ipupiara,3,0,1,5,45,0,0,0,0,0,0,0
163,Irajuba,0,0,0,1,3,1,0,0,0,0,0,0
164,Iramaia,1,2,1,0,5,2,3,0,0,0,0,0
165,Iraquara,0,0,5,8,5,2,5,1,1,0,0,0
166,Irará,10,30,54,32,25,13,1,3,1,3,1,1
167,Irecê,30,32,17,19,27,12,1,5,5,1,3,22
168,Itabela,6,9,12,7,7,10,25,0,3,4,0,1
169,Itaberaba,1,58,126,145,113,77,57,68,45,33,23,35
170,Itabuna,209,327,866,2100,1763,590,293,113,76,54,37,54
171,Itacaré,8,4,7,8,25,16,5,4,2,1,0,0
172,Itaeté,0,1,1,0,1,0,1,3,2,3,3,3
173,Itagi,23,8,4,24,28,11,7,6,6,1,0,8
174,Itagibá,10,1,5,16,14,1,0,4,4,2,1,1
175,Itagimirim,0,2,0,0,0,0,0,0,0,0,0,0
176,Itaguaçu da Bahia,0,0,0,0,1,0,0,0,0,0,0,0
177,Itaju do Colônia,0,0,1,8,12,19,10,1,0,0,0,1
178,Itajuípe,17,19,96,218,217,36,9,11,4,4,3,0
179,Itamaraju,7,5,4,3,14,14,15,6,4,3,3,6
180,Itamari,0,0,0,0,0,1,0,0,1,0,0,0
181,Itambé,5,3,4,2,16,3,9,7,1,1,1,0
182,Itanhém,7,4,17,51,19,23,43,28,8,6,18,16
183,Itaparica,2,0,5,3,17,11,0,0,0,0,0,0
184,Itapé,1,0,0,14,54,35,13,8,0,0,0,2
185,Itapebi,0,0,4,0,0,2,1,1,0,0,0,0
186,Itapetinga,29,15,45,53,50,41,22,12,4,6,12,10
187,Itapicuru,5,16,10,6,7,3,2,3,2,0,1,0
188,Itapitanga,0,0,0,3,4,0,0,0,0,0,0,0
189,Itaquara,2,0,1,1,4,5,0,0,0,0,0,0
190,Itarantim,0,0,0,0,0,0,0,3,0,1,0,0
191,Itatim,1,4,5,2,6,9,6,3,2,0,1,0
192,Itiruçu,0,0,0,1,0,0,3,0,0,0,0,0
