,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,0,0,0,1,1,0,0,0,0,0,0
1,Abaré,0,0,1,12,96,188,24,0,0,0,0,0
2,Acajutiba,0,9,1,4,11,8,7,1,3,1,0,0
3,Adustina,4,6,4,11,3,4,2,3,1,2,0,0
4,Água Fria,2,0,0,18,39,29,10,8,0,0,0,0
5,Aiquara,4,0,2,1,3,4,2,0,0,0,0,0
6,Alagoinhas,20,24,14,105,223,358,369,100,23,11,14,14
7,Alcobaça,2,1,8,12,10,7,4,0,0,0,1,0
8,Almadina,0,0,13,20,9,6,1,0,1,0,0,0
9,Amargosa,15,113,489,505,271,60,10,7,1,3,0,0
10,Amélia Rodrigues,5,0,1,7,8,4,4,6,9,0,0,0
11,América Dourada,4,1,0,8,32,19,8,1,3,0,1,1
12,Anagé,0,0,0,10,13,1,0,0,1,0,0,1
13,Andaraí,4,54,19,10,13,19,1,0,0,0,0,0
14,Andorinha,0,0,3,5,19,15,7,5,3,1,1,0
15,Angical,0,0,0,0,3,5,6,3,4,1,1,2
16,Anguera,0,0,1,5,36,43,15,0,5,0,0,1
17,Antas,7,2,18,5,4,3,2,2,0,0,0,1
18,Antônio Cardoso,0,0,4,10,10,8,10,2,0,0,3,0
19,Antônio Gonçalves,1,3,7,10,13,55,12,5,2,2,2,1
20,Aporá,2,3,1,0,11,0,0,0,0,0,0,0
21,Apuarema,1,0,5,14,23,11,8,2,1,3,0,0
22,Araças,1,0,1,1,0,5,2,0,0,0,2,1
23,Aracatu,0,0,3,9,15,6,9,1,2,1,2,8
24,Araci,16,41,64,37,51,67,47,3,9,20,8,10
25,Aramari,0,1,0,1,0,0,0,0,0,0,0,0
26,Arataca,0,0,0,0,2,0,0,0,0,0,0,0
27,Aratuípe,0,0,0,2,0,0,0,0,0,0,0,0
28,Aurelino Leal,0,0,0,10,2,5,2,2,0,0,0,0
29,Baianópolis,1,2,1,1,1,1,6,2,1,0,0,1
30,Baixa Grande,2,2,25,26,150,108,20,14,4,1,0,0
31,Banzaê,0,0,0,0,0,1,0,0,0,0,0,0
32,Barra,2,2,4,3,6,8,3,2,5,1,4,1
33,Barra da Estiva,0,0,0,8,4,7,6,2,3,5,2,0
34,Barra do Choça,0,0,2,8,5,5,9,0,4,3,1,0
35,Barra do Mendes,0,1,4,10,59,29,5,1,1,1,0,0
36,Barra do Rocha,4,13,94,198,102,21,14,4,2,0,0,4
37,Barreiras,55,109,111,77,153,146,108,29,30,12,17,41
38,Barro Alto,2,0,21,46,34,23,1,0,0,0,0,0
39,Barro Preto,0,0,2,28,10,15,0,1,0,0,0,0
40,Barrocas,4,3,17,41,169,150,70,5,0,0,0,0
41,Belmonte,4,0,0,2,3,0,1,0,0,0,0,1
42,Belo Campo,0,3,2,5,5,1,5,0,1,1,0,1
43,Biritinga,1,12,70,167,149,49,5,0,0,1,0,0
44,Boa Nova,0,0,1,64,81,11,9,3,3,1,22,11
45,Boa Vista do Tupim,0,0,47,40,26,3,0,1,0,1,0,0
46,Bom Jesus da Lapa,1,2,11,18,72,68,56,25,20,0,0,1
47,Bom Jesus da Serra,4,7,1,5,2,6,2,0,0,0,0,0
48,Boninal,0,0,0,0,3,4,4,0,0,1,0,0
49,Bonito,0,3,2,2,10,5,2,0,0,1,2,0
50,Boquira,1,0,12,249,123,11,7,0,1,1,0,0
51,Botuporã,7,8,32,5,8,1,4,4,1,0,0,0
52,Brejões,0,2,13,50,72,79,17,6,7,2,1,5
53,Brejolândia,0,0,0,0,0,23,18,2,0,0,0,0
54,Brotas de Macaúbas,6,7,1,11,1,5,2,5,1,0,0,2
55,Brumado,12,13,72,355,610,307,103,15,11,8,8,4
56,Buerarema,2,6,5,9,12,7,3,0,0,0,1,1
57,Caatiba,0,0,18,23,16,6,2,2,0,0,0,0
58,Cabaceiras do Paraguaçu,0,0,0,12,50,34,6,0,0,0,0,0
59,Cachoeira,1,1,7,30,58,27,2,1,1,0,0,1
60,Caculé,19,54,130,56,17,3,0,3,1,0,0,1
61,Caém,0,0,4,3,2,1,0,0,0,0,0,0
62,Caetanos,1,0,7,29,33,12,5,0,1,0,0,0
63,Caetité,1,8,50,134,125,61,42,9,4,0,0,0
64,Cafarnaum,4,0,0,3,6,5,2,3,1,1,2,0
65,Cairu,2,18,49,22,4,0,0,0,1,0,0,0
66,Caldeirão Grande,2,2,2,3,17,8,0,1,1,0,0,0
67,Camacan,4,6,14,37,48,27,13,3,0,1,0,1
68,Camaçari,74,54,194,138,166,158,72,54,35,25,12,11
69,Camamu,1,3,22,14,38,12,0,0,0,0,0,0
70,Campo Alegre de Lourdes,0,1,0,1,0,0,0,0,1,0,0,0
71,Campo Formoso,2,2,28,79,108,90,25,2,4,3,1,0
72,Canápolis,1,1,0,6,18,21,5,3,0,0,0,0
73,Canarana,2,7,5,72,46,49,10,2,0,1,4,0
74,Canavieiras,0,28,47,30,7,1,5,1,0,0,0,0
75,Candeal,0,4,0,5,6,2,0,0,0,0,0,0
76,Candeias,6,46,90,62,154,134,62,9,15,11,13,2
77,Candiba,0,1,0,2,5,5,5,0,1,0,0,0
78,Cândido Sales,47,144,66,76,33,10,2,3,1,2,1,6
79,Cansanção,0,3,8,34,61,18,13,3,1,3,0,0
80,Canudos,0,0,0,0,0,0,0,0,0,1,0,0
81,Capela do Alto Alegre,0,1,0,0,4,3,1,1,1,0,3,0
82,Capim Grosso,20,52,92,45,78,53,1,1,0,0,0,1
83,Caraíbas,0,11,4,7,3,7,6,5,0,0,0,1
84,Caravelas,10,5,22,8,45,15,1,3,2,0,0,0
85,Cardeal da Silva,0,0,1,0,0,0,4,2,5,1,0,0
86,Carinhanha,1,1,2,25,34,23,13,1,2,6,0,2
87,Casa Nova,0,0,6,57,97,97,35,3,1,1,5,0
88,Castro Alves,1,15,3,4,10,5,2,0,0,1,2,0
89,Catolândia,0,0,0,0,0,0,0,0,0,0,1,0
90,Catu,14,8,16,43,80,86,44,12,3,1,3,1
91,Caturama,0,0,1,7,3,1,0,0,0,1,7,7
92,Central,2,0,0,2,23,44,9,3,1,0,1,4
93,Chorrochó,0,0,0,0,2,8,5,0,0,0,0,0
94,Cícero Dantas,4,4,4,6,3,24,5,10,12,1,0,0
95,Cipó,0,0,0,4,29,11,5,1,2,0,0,0
96,Coaraci,0,0,24,6,11,11,2,1,0,0,0,0
97,Cocos,0,0,0,1,0,0,0,0,0,0,0,0
98,Conceição da Feira,16,33,98,320,89,26,3,1,1,0,0,0
99,Conceição do Almeida,2,3,3,20,58,74,37,14,0,0,0,0
100,Conceição do Coité,0,0,40,221,221,55,138,2,6,2,1,1
101,Conceição do Jacuípe,10,5,53,133,204,156,56,13,4,6,3,1
102,Conde,0,1,1,3,13,12,5,1,1,1,0,0
103,Condeúba,11,20,89,86,40,5,4,1,1,0,0,0
104,Contendas do Sincorá,0,0,5,13,26,59,19,5,0,0,0,0
105,Coração de Maria,2,6,20,108,115,62,24,8,3,1,1,0
106,Cordeiros,0,0,1,0,3,0,0,0,0,0,0,0
107,Coribe,1,25,73,39,17,9,6,2,0,0,0,3
108,Coronel João Sá,2,1,3,0,2,3,3,16,6,16,21,15
109,Correntina,9,32,46,133,58,30,4,3,0,4,1,2
110,Cotegipe,0,0,0,1,11,12,33,12,5,1,1,0
111,Cravolândia,0,4,1,4,26,26,4,0,0,0,0,0
112,Crisópolis,4,0,0,0,1,6,0,1,0,0,0,0
113,Cristópolis,0,1,1,4,2,1,3,0,0,0,0,0
114,Cruz das Almas,4,11,24,86,336,198,44,14,10,1,2,2
115,Curaçá,0,2,1,4,89,79,57,12,0,0,0,0
116,Dário Meira,0,1,0,27,30,19,1,2,2,8,6,2
117,Dias d'Ávila,2,10,10,21,35,29,12,2,2,9,10,4
118,Dom Basílio,0,2,0,6,26,33,23,4,0,0,1,0
119,Dom Macedo Costa,0,0,3,5,13,8,2,0,0,0,0,0
120,Elísio Medrado,0,0,0,21,2,0,0,0,0,1,0,0
121,Encruzilhada,5,9,32,64,28,17,2,5,1,1,1,1
122,Entre Rios,4,26,57,20,33,42,11,10,1,2,0,0
123,Érico Cardoso,5,3,2,0,31,23,9,4,0,0,0,0
