,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,1,0
1,Abaré,0,0,2,2
2,Acajutiba,0,0,6,10
3,Adustina,0,0,123,208
4,Água Fria,0,0,6,15
5,Aiquara,0,0,8,3
6,Alagoinhas,0,0,20,39
7,Alcobaça,0,0,26,27
8,Almadina,0,0,4,6
9,Amargosa,0,0,12,14
10,Amélia Rodrigues,0,0,45,63
11,América Dourada,0,0,14,34
12,Anagé,0,0,42,52
13,Andaraí,0,0,31,45
14,Andorinha,0,0,29,53
15,Angical,0,0,8,4
16,Anguera,0,0,39,63
17,Antas,0,0,25,46
18,Antônio Cardoso,0,0,5,7
19,Antônio Gonçalves,0,0,31,76
20,Aporá,0,0,8,8
21,Apuarema,0,0,7,10
22,Araças,0,0,11,11
23,Aracatu,0,0,26,30
24,Araci,0,0,18,23
25,Aramari,0,0,0,2
26,Arataca,0,0,23,22
27,Aratuípe,0,0,2,2
28,Aurelino Leal,0,0,2,5
29,Baixa Grande,0,0,74,136
30,Banzaê,0,0,67,101
31,Barra,0,0,11,4
32,Barra da Estiva,0,0,7,9
33,Barra do Choça,0,0,16,18
34,Barra do Mendes,0,0,13,15
35,Barra do Rocha,0,0,7,8
36,Barreiras,0,0,189,217
37,Barro Alto,0,0,0,1
38,Barro Preto,0,0,32,48
39,Barrocas,0,0,42,63
40,Belmonte,0,0,9,11
41,Belo Campo,0,0,228,349
42,Biritinga,0,0,20,32
43,Boa Nova,0,0,2,6
44,Boa Vista do Tupim,0,0,7,4
45,Bom Jesus da Lapa,0,0,12,20
46,Bom Jesus da Serra,0,0,16,17
47,Bonito,0,0,9,15
48,Boquira,0,0,29,48
49,Botuporã,0,0,26,17
50,Brejões,0,0,7,11
51,Brejolândia,0,0,0,5
52,Brotas de Macaúbas,0,0,96,113
53,Brumado,0,0,132,157
54,Buerarema,0,0,174,274
55,Buritirama,0,0,1,1
56,Caatiba,0,0,3,6
57,Cabaceiras do Paraguaçu,0,0,3,4
58,Cachoeira,0,0,32,26
59,Caculé,0,0,29,36
60,Caém,0,0,12,23
61,Caetanos,0,0,38,45
62,Caetité,0,0,23,30
63,Cafarnaum,0,0,3,11
64,Cairu,0,0,53,69
65,Caldeirão Grande,0,0,56,103
66,Camacan,0,0,87,172
67,Camaçari,0,1,197,318
68,Camamu,0,0,4,4
69,Campo Alegre de Lourdes,0,0,3,13
70,Campo Formoso,0,0,72,129
71,Canápolis,0,0,0,2
72,Canarana,0,0,89,162
73,Canavieiras,0,0,44,62
74,Candeal,0,0,19,43
75,Candeias,0,0,48,89
76,Candiba,0,0,16,17
77,Cândido Sales,0,0,1,8
78,Cansanção,0,0,14,24
79,Canudos,0,0,41,44
80,Capela do Alto Alegre,0,0,21,34
81,Capim Grosso,0,0,236,398
82,Caraíbas,0,0,0,2
83,Caravelas,0,0,112,153
84,Cardeal da Silva,0,0,3,4
85,Carinhanha,0,0,5,6
86,Casa Nova,0,0,31,25
87,Castro Alves,0,0,48,75
88,Catu,0,0,32,41
89,Caturama,0,0,2,2
90,Central,0,0,5,8
91,Chorrochó,0,0,8,24
92,Cícero Dantas,0,0,141,220
93,Cipó,0,0,17,43
94,Coaraci,0,0,152,194
95,Cocos,0,0,4,15
96,Conceição da Feira,0,0,13,15
97,Conceição do Almeida,0,0,15,25
98,Conceição do Coité,0,0,162,202
99,Conceição do Jacuípe,0,0,316,391
100,Conde,0,0,11,27
101,Condeúba,0,0,6,9
102,Coração de Maria,0,0,12,24
103,Cordeiros,0,0,46,61
104,Coribe,0,0,5,3
105,Coronel João Sá,0,0,8,19
106,Correntina,0,0,2,4
107,Cotegipe,0,0,11,3
108,Cravolândia,0,0,32,45
109,Crisópolis,0,0,5,2
110,Cristópolis,0,0,5,6
111,Cruz das Almas,0,0,60,139
112,Curaçá,0,0,8,7
113,Dário Meira,0,0,5,6
114,Dias d'Ávila,0,0,44,103
115,Dom Basílio,0,0,4,1
116,Dom Macedo Costa,0,0,1,5
117,Elísio Medrado,0,0,1,6
118,Encruzilhada,0,0,16,17
119,Entre Rios,0,0,46,74
120,Esplanada,0,0,21,33
121,Euclides da Cunha,0,0,49,79
122,Eunápolis,0,0,260,300
123,Fátima,0,0,83,146
124,Feira da Mata,0,0,15,13
125,Feira de Santana,1,0,2414,3117
126,Filadélfia,0,0,38,34
127,Firmino Alves,0,0,1,0
128,Floresta Azul,0,0,21,32
129,Formosa do Rio Preto,0,0,1,1
130,Gandu,0,0,11,17
131,Gavião,0,0,10,30
132,Gentio do Ouro,0,0,12,15
133,Glória,0,0,22,34
134,Gongogi,0,0,3,4
135,Governador Mangabeira,0,0,10,22
136,Guajeru,0,0,28,32
137,Guanambi,0,1,842,973
138,Guaratinga,0,1,6,0
139,Heliópolis,0,0,7,7
140,Iaçu,0,0,49,80
141,Ibiassucê,0,0,11,13
142,Ibicaraí,0,0,253,344
143,Ibicuí,0,0,7,4
144,Ibipeba,0,0,55,83
145,Ibipitanga,0,0,20,23
146,Ibiquera,0,0,6,10
147,Ibirapitanga,0,0,2,2
148,Ibirapuã,0,0,74,113
149,Ibirataia,0,0,143,219
150,Ibitiara,0,0,16,58
151,Ibititá,0,0,2,0
152,Ibotirama,0,0,5,2
153,Ichu,0,0,74,126
154,Igaporã,0,0,10,16
155,Igrapiúna,0,0,2,1
156,Iguaí,0,0,19,15
157,Ilhéus,0,1,1143,1452
158,Inhambupe,0,0,1,3
159,Ipecaetá,0,0,6,7
160,Ipiaú,0,0,146,187
161,Ipirá,0,0,59,142
162,Ipupiara,0,0,28,26
163,Irajuba,0,0,2,3
164,Iramaia,0,0,7,7
165,Iraquara,0,0,9,18
166,Irará,0,3,76,95
167,Irecê,0,0,68,106
168,Itabela,0,0,38,46
169,Itaberaba,0,0,333,448
170,Itabuna,2,0,2569,3911
171,Itacaré,0,0,41,39
172,Itaeté,0,0,5,13
173,Itagi,0,0,65,61
174,Itagibá,0,0,41,18
175,Itagimirim,0,0,1,1
176,Itaguaçu da Bahia,0,0,1,0
177,Itaju do Colônia,0,0,27,25
178,Itajuípe,0,0,218,416
179,Itamaraju,0,0,37,47
180,Itamari,0,0,1,1
181,Itambé,0,0,32,20
182,Itanhém,0,0,123,117
183,Itaparica,0,0,16,22
184,Itapé,0,0,56,71
185,Itapebi,0,0,5,3
186,Itapetinga,0,0,137,162
187,Itapicuru,0,0,28,27
188,Itapitanga,0,0,3,4
189,Itaquara,0,0,6,7
190,Itarantim,0,0,2,2
191,Itatim,0,0,12,27
192,Itiruçu,0,0,1,3
193,Itiúba,0,0,6,17
194,Itororó,0,0,2,5
195,Ituaçu,0,0,10,32
196,Ituberá,0,0,23,34
197,Iuiú,0,0,10,19
198,Jaborandi,0,0,12,6
199,Jacaraci,0,0,1,2
200,Jacobina,0,0,633,1023
201,Jaguaquara,0,0,10,8
202,Jaguarari,0,0,109,187
203,Jaguaripe,0,0,1,1
204,Jandaíra,0,0,15,7
205,Jequié,0,0,697,893
206,Jeremoabo,0,0,78,163
207,Jiquiriçá,0,0,2,3
208,Jitaúna,0,0,53,73
209,João Dourado,0,0,15,22
210,Juazeiro,0,0,156,250
211,Jucuruçu,0,0,6,2
212,Jussara,0,0,29,33
213,Jussari,0,0,18,42
214,Lafaiete Coutinho,0,0,28,32
215,Lagoa Real,0,0,70,82
216,Laje,0,0,3,6
217,Lajedão,0,0,39,120
218,Lajedinho,0,0,25,35
219,Lamarão,0,0,18,38
220,Lapão,0,0,23,23
221,Lauro de Freitas,0,2,310,366
222,Lençóis,0,0,3,3
223,Licínio de Almeida,0,0,44,78
224,Livramento de Nossa Senhora,0,0,18,23
225,Luís Eduardo Magalhães,0,0,206,199
226,Macajuba,0,0,60,98
227,Macarani,0,0,5,9
228,Macaúbas,0,0,14,19
229,Macururé,0,0,5,7
230,Madre de Deus,0,0,14,21
